City/Town,Ward,Pct,"Jack McMullen","Peter Moss","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,34,4,2,3,0,43
Albany,,,57,14,10,9,0,90
Alburgh,,,22,16,0,1,0,39
Andover,,,9,3,13,2,0,27
Arlington,,,47,15,18,2,0,82
Athens,,,4,0,8,0,0,12
Bakersfield,,,12,6,2,2,0,22
Baltimore,,,5,1,2,1,0,9
Barnard,,,19,0,5,0,0,24
Barnet,,,28,8,5,4,0,45
"Barre City",-,"Washington 3-1",64,9,7,1,0,81
"Barre City",-,"Washington 3-2",41,10,2,2,0,55
"Barre City",-,"Washington 3-3",4,1,0,0,0,5
"Barre Town",,,400,103,68,51,0,622
Barton,-,"Barton Memorial",39,17,10,25,0,91
Barton,-,"Orleans Memorial",68,22,6,35,0,131
Belvidere,,,13,2,0,1,0,16
Bennington,-,"Bennington 2-1",41,11,7,3,0,62
Bennington,-,"Bennington 2-1 Nb",5,1,0,1,0,7
Bennington,-,"Bennington 2-2",25,12,4,1,0,42
Bennington,-,"Bennington 5",8,0,1,0,0,9
Benson,,,18,0,3,1,0,22
Berkshire,,,15,4,3,0,0,22
Berlin,,,33,6,7,4,0,50
Bethel,,,37,3,9,8,0,57
Bloomfield,,,4,1,3,0,0,8
Bolton,,,11,4,3,0,0,18
Bradford,,,58,14,13,8,0,93
Braintree,,,27,0,0,1,0,28
Brandon,,,100,12,9,3,0,124
Brattleboro,-,"Windham 3-1",52,5,14,5,0,76
Brattleboro,-,"Windham 3-2",29,5,20,2,0,56
Brattleboro,-,"Windham 3-3",17,1,16,2,0,36
Bridgewater,,,30,0,4,0,0,34
Bridport,,,50,6,4,0,0,60
Brighton,,,32,5,5,3,0,45
Bristol,,,79,13,14,6,0,112
Brookfield,,,18,2,3,1,0,24
Brookline,,,12,2,8,0,0,22
Brownington,,,18,1,2,2,0,23
Brunswick,,,3,2,1,1,0,7
Burke,,,18,5,8,2,0,33
Burlington,-,"Chittenden 3-1",165,20,9,9,0,203
Burlington,-,"Chittenden 3-2",53,12,4,5,0,74
Burlington,-,"Chittenden 3-3",45,7,3,0,0,55
Burlington,-,"Chittenden 3-4",31,6,1,0,0,38
Burlington,-,"Chittenden 3-5",83,10,7,2,0,102
Burlington,-,"Chittenden 3-6",7,0,0,1,0,8
Cabot,,,10,2,0,0,0,12
Calais,,,18,3,2,1,0,24
Cambridge,,,33,13,2,9,0,57
Canaan,,,22,4,3,3,0,32
Castleton,,,54,6,5,1,0,66
Cavendish,,,20,1,13,2,0,36
Charleston,,,20,6,2,2,0,30
Charlotte,,,64,4,4,2,0,74
Chelsea,,,27,4,6,1,0,38
Chester,,,53,6,27,0,0,86
Chittenden,,,24,5,4,1,0,34
Clarendon,,,89,12,15,2,0,118
Colchester,-,"Chittenden 7-1",48,13,5,1,0,67
Colchester,-,"Chittenden 7-2",53,12,10,3,0,78
Concord,,,15,3,2,0,0,20
Corinth,,,26,2,6,2,0,36
Cornwall,,,27,4,3,2,0,36
Coventry,,,50,10,8,10,0,78
Craftsbury,,,43,11,11,8,0,73
Danby,,,48,12,8,1,0,69
Danville,,,45,19,9,3,0,76
Derby,,,97,12,5,23,0,137
Dorset,,,59,13,11,1,0,84
Dover,,,25,1,10,1,0,37
Dummerston,,,10,1,6,0,0,17
Duxbury,,,18,10,2,2,0,32
"E. Haven",,,8,1,0,0,0,9
"E. Montpelier",,,46,3,11,1,0,61
Eden,,,9,2,3,2,0,16
Elmore,,,22,4,1,2,0,29
Enosburgh,,,32,9,3,3,0,47
Essex,-,"Chittenden 6-1",66,30,10,5,0,111
Essex,-,"Chittenden 6-2",120,33,9,1,0,163
Essex,-,"Chittenden 6-3",24,8,2,1,0,35
"Fair Haven",,,43,13,11,7,0,74
Fairfax,,,28,26,11,2,0,67
Fairfield,,,25,14,3,14,0,56
Fairlee,,,24,1,4,3,0,32
Fayston,,,16,1,0,0,0,17
Ferrisburgh,,,77,11,6,2,0,96
Fletcher,,,7,9,0,0,0,16
Franklin,,,28,17,5,0,0,50
Georgia,,,47,32,8,2,0,89
Glover,,,37,18,11,13,0,79
Goshen,,,12,5,1,1,0,19
Grafton,,,12,1,8,0,0,21
Granby,,,13,0,0,2,0,15
"Grand Isle",,,59,20,5,9,0,93
Granville,,,3,0,0,0,0,3
Greensboro,,,22,5,5,3,0,35
Groton,,,33,4,4,3,0,44
Guildhall,,,16,3,0,0,0,19
Guilford,,,23,0,14,0,0,37
Halifax,,,20,2,4,0,0,26
Hancock,,,5,0,3,1,0,9
Hardwick,,,42,12,6,3,0,63
Hartford,-,"Windsor 6-1",17,1,3,0,0,21
Hartford,-,"Windsor 6-2",52,4,14,4,0,74
Hartland,,,50,7,11,4,0,72
Highgate,,,27,22,1,2,0,52
Hinesburg,-,"Chittenden 1-1",33,11,6,1,0,51
Hinesburg,-,"Chittenden 1-2",0,0,0,0,0,0
Holland,,,13,3,1,1,0,18
Hubbardton,,,17,1,0,1,0,19
Huntington,,,10,8,3,0,0,21
"Hyde Park",,,30,5,2,5,0,42
Ira,-,"Rutland Rutland 1-1",0,0,0,0,0,0
Ira,-,"Rutland Rutland 1-2",5,0,0,1,0,6
Irasburg,,,35,9,9,13,0,66
"Isle La Motte",,,9,3,0,3,0,15
Jamaica,,,16,4,9,3,0,32
Jay,,,3,0,2,3,0,8
Jericho,,,70,13,6,1,0,90
Johnson,,,41,10,1,1,0,53
Killington,,,24,2,2,1,0,29
Kirby,,,17,2,3,0,0,22
Landgrove,,,8,0,1,0,0,9
Leicester,,,30,6,2,0,0,38
Lemington,,,0,3,3,0,0,6
Lincoln,,,26,8,4,0,0,38
Londonderry,,,11,1,16,5,0,33
Lowell,,,13,1,1,2,0,17
Ludlow,,,72,10,21,4,0,107
Lunenburg,,,21,7,3,2,0,33
Lyndon,,,71,23,10,4,0,108
Maidstone,,,2,4,1,0,0,7
Manchester,,,105,16,23,0,0,144
Marlboro,,,8,1,7,0,0,16
Marshfield,,,14,3,4,2,0,23
Mendon,,,50,4,1,2,0,57
Middlebury,,,101,15,7,2,0,125
Middlesex,,,16,4,1,2,0,23
"Middletown Springs",,,14,2,1,2,0,19
Milton,-,"Chittenden 9",159,50,11,4,0,224
Milton,-,"Grand Isle-Chittenden 1-1",27,12,3,1,0,43
Monkton,,,33,9,3,1,0,46
Montgomery,,,1,6,1,2,0,10
Montpelier,,,86,15,8,8,0,117
Moretown,,,19,6,6,2,0,33
Morgan,,,16,3,3,1,0,23
Morristown,,,38,16,2,8,0,64
"Mount Holly",,,23,2,5,5,0,35
"Mount Tabor",,,2,0,0,0,0,2
"New Haven",,,155,23,17,13,0,208
Newark,,,9,1,1,0,0,11
Newbury,-,"Center Town House",20,4,9,1,0,34
Newbury,-,"Town Office",16,6,14,2,0,38
Newbury,-,"West River Village",20,3,4,1,0,28
Newfane,,,16,1,8,2,0,27
"Newport City",,,135,34,9,45,0,223
"Newport Town",,,32,14,9,9,0,64
"N. Hero",,,29,3,2,4,0,38
Northfield,,,40,23,19,7,0,89
Norton,,,7,0,0,0,0,7
Norwich,,,27,4,5,2,0,38
Orange,,,21,1,2,3,0,27
Orwell,,,37,3,0,9,0,49
Panton,,,17,3,1,2,0,23
Pawlet,,,56,6,9,2,0,73
Peacham,,,14,4,3,1,0,22
Peru,,,7,3,1,0,0,11
Pittsfield,,,16,1,4,0,0,21
Pittsford,,,29,7,6,1,0,43
Plainfield,,,14,4,3,0,0,21
Plymouth,,,13,2,3,0,0,18
Pomfret,,,21,2,5,3,0,31
Poultney,,,54,5,2,3,0,64
Pownal,,,18,7,4,1,0,30
Proctor,,,20,2,3,0,0,25
Putney,,,23,1,6,1,0,31
Randolph,,,64,21,16,1,0,102
Reading,,,14,0,3,0,0,17
Readsboro,,,22,3,1,0,0,26
Richford,,,10,9,2,2,0,23
Richmond,,,63,15,6,2,0,86
Ripton,,,8,3,0,0,0,11
Rochester,,,22,4,5,7,0,38
Rockingham,,,41,2,61,5,0,109
Roxbury,,,7,2,4,0,0,13
Royalton,,,50,10,12,1,0,73
Rupert,,,30,1,2,0,0,33
"Rutland City",-,"Rutland 5-1",62,5,12,3,0,82
"Rutland City",-,"Rutland 5-2",76,4,7,2,0,89
"Rutland City",-,"Rutland 5-3",29,9,3,2,0,43
"Rutland City",-,"Rutland 5-4",58,4,9,2,0,73
"Rutland Town",,,336,34,35,1,0,406
Ryegate,,,23,3,5,1,0,32
Salisbury,,,27,4,3,1,0,35
Sandgate,,,8,4,9,0,0,21
Searsburg,,,9,1,0,0,0,10
Shaftsbury,,,105,35,27,39,0,206
Sharon,,,14,4,5,3,0,26
Sheffield,,,14,3,3,1,0,21
Shelburne,-,"Chittenden 5-1",89,12,5,9,0,115
Shelburne,-,"Chittenden 5-2",74,7,2,3,0,86
Sheldon,,,21,16,3,2,0,42
Shoreham,,,28,0,2,3,0,33
Shrewsbury,,,28,1,6,1,0,36
"S. Burlington",-,"Chittenden 3-10",44,7,5,2,0,58
"S. Burlington",-,"Chittenden 3-7",63,6,4,2,0,75
"S. Burlington",-,"Chittenden 3-8",78,12,5,6,0,101
"S. Burlington",-,"Chittenden 3-9",56,12,3,3,0,74
"S. Hero",,,43,11,8,4,0,66
Springfield,-,"Windsor 1-1",2,0,0,0,0,2
Springfield,-,"Windsor 1-2",82,11,63,3,0,159
"St. Albans City",,,73,37,7,8,0,125
"St. Albans Town",,,66,22,4,7,0,99
"St. George",,,5,2,1,1,0,9
"St. Johnsbury",,,99,16,14,5,0,134
Stamford,,,7,3,2,0,0,12
Stannard,,,3,1,0,0,0,4
Starksboro,,,19,5,3,0,0,27
Stockbridge,,,5,1,4,0,0,10
Stowe,,,36,13,5,2,0,56
Strafford,,,18,4,3,0,0,25
Stratton,,,6,2,3,0,0,11
Sudbury,,,9,1,0,1,0,11
