City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
"Barre Town",,,-,2,0,2
Bennington,-,"Bennington 2-1",-,4,0,4
Bennington,-,"Bennington 2-1 Nb",-,1,0,1
Bennington,-,"Bennington 2-2",-,1,0,1
Berlin,,,-,2,0,2
Brandon,,,-,1,0,1
Brattleboro,-,"Windham 3-1",-,1,0,1
Brattleboro,-,"Windham 3-2",-,3,0,3
Brattleboro,-,"Windham 3-3",-,3,0,3
Bridgewater,,,-,1,0,1
Bristol,,,-,1,0,1
Burlington,,,-,14,0,14
Cabot,,,-,2,0,2
Cambridge,,,-,1,0,1
Charleston,,,-,2,0,2
Coventry,,,-,1,0,1
Derby,,,-,1,0,1
Dummerston,,,-,1,0,1
"E. Montpelier",,,-,1,0,1
Essex,,,-,1,0,1
"Fair Haven",,,-,1,0,1
Fairfield,,,-,1,0,1
Glover,,,-,2,0,2
Groton,,,-,3,0,3
Guilford,,,-,3,0,3
Hancock,,,-,1,0,1
Hartford,,,-,1,0,1
Hartland,,,-,1,0,1
Highgate,,,-,1,0,1
Hinesburg,,,-,1,0,1
Holland,,,-,3,0,3
Huntington,,,-,1,0,1
"Isle La Motte",,,-,1,0,1
Jericho,,,-,1,0,1
Johnson,,,-,1,0,1
Lowell,,,-,1,0,1
Ludlow,,,-,3,0,3
Lyndon,,,-,1,0,1
Marlboro,,,-,4,0,4
Marshfield,,,-,1,0,1
Middlebury,,,-,1,0,1
"Middletown Springs",,,-,1,0,1
Monkton,,,-,1,0,1
Montpelier,,,-,3,0,3
"Mount Holly",,,-,1,0,1
"New Haven",,,-,1,0,1
"Newport City",,,-,1,0,1
Norwich,,,-,6,0,6
Pawlet,,,-,1,0,1
Putney,,,-,2,0,2
Rockingham,,,-,2,0,2
Royalton,,,-,1,0,1
"Rutland City",,,-,1,0,1
Shaftsbury,,,-,2,0,2
Sharon,,,-,2,0,2
Shelburne,-,"Chittenden 5-1",-,1,0,1
Shelburne,-,"Chittenden 5-2",-,0,0,0
Shoreham,,,-,1,0,1
Springfield,,,-,1,0,1
"St. Albans City",,,-,1,0,1
"St. Johnsbury",,,-,1,0,1
Waitsfield,,,-,1,0,1
Wells,,,-,1,0,1
Westfield,,,-,1,0,1
Westminster,,,-,1,0,1
Weybridge,,,-,1,0,1
Williston,,,-,1,0,1
Windsor,,,-,1,0,1
Woodbury,,,-,1,0,1
TOTALS,,,-,115,0,115
