City/Town,Ward,Pct,"Dick Sears","Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,74,74,3,0,151
Bennington,-,"Bennington 2-1",117,74,5,0,196
Bennington,-,"Bennington 2-1 Nb",59,29,7,0,95
Bennington,-,"Bennington 2-2",140,90,13,0,243
Dorset,,,50,44,1,0,95
Landgrove,,,11,13,1,0,25
Manchester,,,103,84,4,0,191
Peru,,,17,16,0,0,33
Pownal,,,137,76,2,0,215
Readsboro,,,23,9,0,0,32
Rupert,-,"Bennington 5",4,3,0,0,7
Rupert,-,"Rutland 8",48,30,0,0,78
Sandgate,,,22,24,0,0,46
Searsburg,,,4,5,0,0,9
Shaftsbury,,,174,90,4,0,268
Stamford,,,36,13,0,0,49
Sunderland,,,24,23,1,0,48
Wilmington,,,49,38,2,0,89
Winhall,,,17,20,4,0,41
Woodford,,,13,13,0,0,26
TOTALS,,,"1,122",768,47,0,"1,937"
