City/Town,Ward,Pct,"Jane Kitchel","Matthew A. Choate",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Barnet,,,45,32,2,0,79
Bradford,,,227,159,15,0,401
Burke,,,23,15,0,0,38
Danville,,,77,39,0,0,116
Fairlee,,,71,45,1,0,117
Groton,,,28,16,3,0,47
Hardwick,,,135,77,2,0,214
Kirby,,,11,5,0,0,16
Lyndon,,,81,66,5,0,152
Newark,,,15,6,0,0,21
Newbury,-,"Center Town House",9,7,0,0,16
Newbury,-,"Town Office",86,55,0,0,141
Newbury,-,"West River Village",22,16,4,0,42
Orange,,,12,6,0,0,18
Peacham,,,65,33,1,0,99
Ryegate,,,38,27,0,0,65
Sheffield,,,18,15,0,0,33
"St. Johnsbury",,,132,106,8,0,246
Stannard,,,15,15,0,0,30
Sutton,,,20,15,0,0,35
Topsham,,,22,17,0,0,39
Walden,,,44,22,0,0,66
Waterford,,,19,11,0,0,30
"W. Fairlee",,,47,30,1,0,78
Wheelock,,,16,12,0,0,28
TOTALS,,,"1,278",847,42,0,"2,167"
