City/Town,Ward,Pct,"James Leddy","Virginia Lyons","Jim Condos","Hinda Miller","Edward Flanagan","Samuel P. Osborne",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,
Bolton,,,40,43,42,38,41,38,0,0,242
Burlington,-,"Burl Elec Dept",516,473,465,482,441,426,9,0,"2,812"
Burlington,-,"Chittenden 3-2",192,180,188,176,172,161,9,0,"1,078"
Burlington,-,"Chittenden 3-3",213,199,202,207,217,196,7,0,"1,241"
Burlington,-,"Chittenden 3-4",198,184,172,170,170,157,10,0,"1,061"
Burlington,-,"Chittenden 3-6",76,71,67,64,67,53,0,0,398
Burlington,-,"St. Marks Youth",407,385,391,370,388,355,13,0,"2,309"
Charlotte,,,351,348,345,347,339,301,6,0,"2,037"
Essex,-,"Chittenden 2-1",174,179,171,152,165,142,9,0,992
Essex,-,"Chittenden 2-3",212,208,208,199,196,187,0,0,"1,210"
Essex,-,"Chittenden 2-4",67,69,66,61,60,58,1,0,382
Hinesburg,-,"Chittenden 1-1",171,175,161,161,157,148,2,0,975
Hinesburg,-,"Chittenden 1-2",10,10,10,9,9,9,0,0,57
Huntington,,,103,110,95,100,101,90,2,0,601
Jericho,,,207,206,200,192,189,175,0,0,"1,169"
Milton,-,"Fire Station",36,36,37,31,34,30,0,0,204
Milton,-,"Mun. Complex",223,216,207,194,218,178,23,0,"1,259"
Richmond,,,194,196,182,177,183,161,5,0,"1,098"
Shelburne,-,"Chittenden 5-1",239,240,235,234,214,210,20,0,"1,392"
Shelburne,-,"Chittenden 5-2",128,125,121,121,110,101,23,0,729
"S. Burlington",-,"Chittenden 3-10",134,122,132,124,112,113,7,0,744
"S. Burlington",-,"Chittenden 3-7",232,212,234,204,199,186,2,0,"1,269"
"S. Burlington",-,"Chittenden 3-8",225,196,218,198,180,168,11,0,"1,196"
"S. Burlington",-,"Chittenden 3-9",153,143,160,126,135,121,1,0,839
"St. George",,,19,19,20,18,20,16,0,0,112
Underhill,,,250,239,238,235,232,212,2,0,"1,408"
Westford,,,50,52,50,51,41,46,1,0,291
Williston,,,290,333,282,277,275,251,7,0,"1,715"
Winooski,,,196,186,183,177,189,165,1,0,"1,097"
TOTALS,,,"5,306","5,155","5,082","4,895","4,854","4,454",171,0,"29,917"
