City/Town,Ward,Pct,"Robert A. Starr","Judith Bevans",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,31,32,3,0,66
Barton,-,"Barton Memorial",44,31,28,0,103
Barton,-,"Orleans Memorial",27,9,15,0,51
Bloomfield,,,8,1,0,0,9
Brighton,,,26,18,2,0,46
Brownington,,,20,26,1,0,47
Brunswick,,,7,1,0,0,8
Canaan,,,14,11,0,0,25
Charleston,,,10,12,1,0,23
Concord,,,12,16,0,0,28
Coventry,,,20,11,3,0,34
Craftsbury,,,43,65,4,0,112
Derby,,,86,61,15,0,162
"E. Haven",,,1,2,0,0,3
Eden,,,18,9,3,0,30
Glover,,,27,27,4,0,58
Granby,,,0,1,0,0,1
Greensboro,,,47,52,3,0,102
Guildhall,,,4,4,0,0,8
Holland,,,7,4,2,0,13
Irasburg,,,37,37,7,0,81
Jay,,,12,4,3,0,19
Lemington,,,0,1,0,0,1
Lowell,,,29,4,1,0,34
Lunenburg,,,13,14,3,0,30
Maidstone,,,3,1,2,0,6
Montgomery,,,36,27,4,0,67
Morgan,,,12,17,2,0,31
"Newport City",,,91,55,41,0,187
"Newport Town",,,43,15,10,0,68
Norton,,,3,1,4,0,8
Richford,,,47,23,2,0,72
Troy,,,38,8,1,0,47
Victory,,,3,3,1,0,7
Westfield,,,16,9,1,0,26
Westmore,,,14,14,0,0,28
Wolcott,,,26,43,2,0,71
TOTALS,,,875,669,168,0,"1,712"
