City/Town,Ward,Pct,"Al Wilkinson","Victoria P. Young","Mark Skakel",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,25,24,20,0,0,69
Castleton,,,36,42,36,0,0,114
Chittenden,,,20,18,20,0,0,58
Clarendon,,,64,66,75,7,0,212
Danby,,,53,53,50,6,0,162
"Fair Haven",,,36,35,33,8,0,112
Hubbardton,,,6,8,8,0,0,22
Ira,-,"Rutland 1-1",0,0,0,0,0,0
Ira,-,"Rutland 1-2",5,5,4,0,0,14
Killington,,,25,22,22,6,0,75
Mendon,,,30,34,29,0,0,93
"Middletown Springs",,,42,60,53,3,0,158
"Mount Holly",,,36,38,46,0,0,120
"Mount Tabor",,,6,6,7,0,0,19
Pawlet,,,63,64,66,1,0,194
Pittsfield,,,9,12,10,0,0,31
Pittsford,,,49,56,52,6,0,163
Poultney,,,36,35,35,6,0,112
Proctor,,,29,43,30,5,0,107
"Rutland City",-,"American Legion",54,42,32,7,0,135
"Rutland City",-,"Cal. Bib. Church",86,61,48,0,0,195
"Rutland City",-,"Christ King Sch",102,79,73,1,0,255
"Rutland City",-,"Godnick Adlt Ctr",131,98,90,8,0,327
"Rutland Town",,,118,108,95,0,0,321
Shrewsbury,,,34,38,60,0,0,132
Sudbury,,,15,16,13,1,0,45
Tinmouth,,,25,21,32,0,0,78
Wallingford,,,45,43,62,0,0,150
Wells,,,24,26,23,0,0,73
"W. Haven",,,4,4,4,0,0,12
"W. Rutland",,,37,32,31,0,0,100
TOTALS,,,"1,245","1,189","1,159",65,0,"3,658"
