City/Town,Ward,Pct,"Ann Cummings","Kimberly B. Cheney","Michael Roche",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",-,"Washington 3-1",118,86,81,11,0,296
"Barre City",-,"Washington 3-2",72,62,50,6,0,190
"Barre City",-,"Washington 3-3",17,13,9,0,0,39
"Barre Town",,,274,215,188,42,0,719
Berlin,,,71,59,48,6,0,184
Cabot,,,63,51,38,6,0,158
Calais,,,256,188,148,8,0,600
Duxbury,,,60,48,49,3,0,160
"E. Montpelier",,,123,93,74,4,0,294
Fayston,,,43,36,32,0,0,111
Marshfield,,,112,95,75,5,0,287
Middlesex,,,72,69,47,1,0,189
Montpelier,,,618,480,395,19,0,"1,512"
Moretown,,,51,41,35,3,0,130
Northfield,,,126,94,81,5,0,306
Plainfield,,,120,78,65,0,0,263
Roxbury,,,20,18,14,2,0,54
Waitsfield,,,85,73,57,4,0,219
Warren,,,65,56,47,5,0,173
Waterbury,,,218,182,195,5,0,600
Woodbury,,,53,42,39,1,0,135
Worcester,,,64,45,38,1,0,148
TOTALS,,,"2,701","2,124","1,805",137,0,"6,767"
