City/Town,Ward,Pct,"Julius D. Canns","Bernier L. Mayo",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Barnet,,,43,40,2,0,85
Bradford,,,78,53,4,0,135
Burke,,,37,35,1,0,73
Danville,,,78,70,6,0,154
Fairlee,,,26,16,2,0,44
Groton,,,47,31,1,0,79
Hardwick,,,57,47,1,0,105
Kirby,,,20,17,0,0,37
Lyndon,,,100,99,2,0,201
Newark,,,11,9,0,0,20
Newbury,-,"Center Town House",28,26,0,0,54
Newbury,-,"Town Office",31,23,1,0,55
Newbury,-,"West River Village",31,22,0,0,53
Orange,,,25,23,0,0,48
Peacham,,,17,21,3,0,41
Ryegate,,,30,22,0,0,52
Sheffield,,,18,18,0,0,36
"St. Johnsbury",,,134,144,2,0,280
Stannard,,,4,4,0,0,8
Sutton,,,21,20,1,0,42
Topsham,,,35,24,0,0,59
Walden,,,24,23,1,0,48
Waterford,,,44,45,0,0,89
"W. Fairlee",,,9,8,0,0,17
Wheelock,,,24,19,0,0,43
TOTALS,,,972,859,27,0,"1,858"
