City/Town,Ward,Pct,"J. Dennis Delaney","Diane B. Snelling","Kate Purcell","Michael Quaid",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Bolton,,,18,16,15,16,0,0,65
Burlington,-,"Burl Elec Dept",80,80,78,71,26,0,335
Burlington,-,"Chittenden 3-2",62,59,49,43,19,0,232
Burlington,-,"Chittenden 3-3",35,38,33,30,15,0,151
Burlington,-,"Chittenden 3-4",32,27,29,31,12,0,131
Burlington,-,"Chittenden 3-6",7,7,6,6,2,0,28
Burlington,-,"St. Marks Youth",174,145,145,142,26,0,632
Charlotte,,,76,61,57,58,40,0,292
Essex,-,"Chittenden 2-1",100,92,90,88,31,0,401
Essex,-,"Chittenden 2-3",146,137,131,137,18,0,569
Essex,-,"Chittenden 2-4",33,33,27,28,9,0,130
Hinesburg,-,"Chittenden 1-1",43,42,38,42,21,0,186
Hinesburg,-,"Chittenden 1-2",0,0,0,0,0,0,0
Huntington,,,15,19,14,13,5,0,66
Jericho,,,81,77,79,74,31,0,342
Milton,-,"Fire Station",43,42,39,38,28,0,190
Milton,-,"Mun. Complex",212,185,178,168,79,0,822
Richmond,,,82,72,81,75,41,0,351
Shelburne,-,"Chittenden 5-1",102,116,97,83,16,0,414
Shelburne,-,"Chittenden 5-2",78,82,77,67,52,0,356
"S. Burlington",-,"Chittenden 3-10",51,50,51,44,9,0,205
"S. Burlington",-,"Chittenden 3-7",49,57,61,46,37,0,250
"S. Burlington",-,"Chittenden 3-8",68,64,86,65,26,0,309
"S. Burlington",-,"Chittenden 3-9",60,59,63,56,15,0,253
"St. George",,,4,4,4,3,2,0,17
Underhill,,,112,104,92,97,35,0,440
Westford,,,36,37,30,31,6,0,140
Williston,,,101,95,97,120,48,0,461
Winooski,,,48,36,42,41,35,0,202
TOTALS,,,"1,948","1,836","1,789","1,713",684,0,"7,970"
