City/Town,Ward,Pct,"Vince Illuzzi","Jeannine A. Young",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,82,73,4,0,159
Barton,-,"Barton Memorial",73,70,25,0,168
Barton,-,"Orleans Memorial",125,85,16,0,226
Bloomfield,,,7,5,0,0,12
Brighton,,,35,31,3,0,69
Brownington,,,17,17,2,0,36
Brunswick,,,7,5,0,0,12
Canaan,,,26,22,1,0,49
Charleston,,,32,25,3,0,60
Concord,,,23,12,0,0,35
Coventry,,,75,51,7,0,133
Craftsbury,,,62,51,7,0,120
Derby,,,110,120,17,0,247
"E. Haven",,,4,7,0,0,11
Eden,,,9,11,3,0,23
Glover,,,58,60,11,0,129
Granby,,,14,8,0,0,22
Greensboro,,,31,27,0,0,58
Guildhall,,,20,13,2,0,35
Holland,,,17,18,0,0,35
Irasburg,,,61,47,10,0,118
Jay,,,7,3,1,0,11
Lemington,,,4,4,0,0,8
Lowell,,,9,11,2,0,22
Lunenburg,,,23,27,3,0,53
Maidstone,,,6,5,1,0,12
Montgomery,,,8,6,2,0,16
Morgan,,,19,23,0,0,42
"Newport City",,,216,176,39,0,431
"Newport Town",,,56,45,8,0,109
Norton,,,8,4,0,0,12
Richford,,,23,21,0,0,44
Troy,,,14,11,1,0,26
Victory,,,1,2,0,0,3
Westfield,,,9,4,5,0,18
Westmore,,,5,2,0,0,7
Wolcott,,,7,7,0,0,14
TOTALS,,,"1,303","1,109",173,0,"2,585"
