City/Town,Ward,Pct,"William Bill Doyle","Phil Scott","J. Paul Giuliani",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",-,"Washington 3-1",92,79,74,2,0,247
"Barre City",-,"Washington 3-2",56,41,41,1,0,139
"Barre City",-,"Washington 3-3",6,5,6,0,0,17
"Barre Town",,,673,613,569,25,0,"1,880"
Berlin,,,53,50,43,1,0,147
Cabot,,,11,11,10,2,0,34
Calais,,,24,25,22,0,0,71
Duxbury,,,39,38,30,0,0,107
"E. Montpelier",,,62,64,62,0,0,188
Fayston,,,15,16,15,0,0,46
Marshfield,,,20,14,15,0,0,49
Middlesex,,,23,22,20,0,0,65
Montpelier,,,110,113,117,1,0,341
Moretown,,,35,33,28,3,0,99
Northfield,,,91,88,72,7,0,258
Plainfield,,,18,16,15,6,0,55
Roxbury,,,12,12,10,3,0,37
Waitsfield,,,61,47,42,1,0,151
Warren,,,17,17,19,1,0,54
Waterbury,,,83,82,73,0,0,238
Woodbury,,,28,24,21,0,0,73
Worcester,,,25,24,21,0,0,70
TOTALS,,,"1,554","1,434","1,325",53,0,"4,366"
