City/Town,Ward,Pct,"Mike Hebert",Write-Ins,Blanks,"Total Votes Cast"
,,,
Athens,,,12,2,0,14
Brattleboro,-,"Windham 3-1",80,5,0,85
Brattleboro,-,"Windham 3-2",55,4,0,59
Brattleboro,-,"Windham 3-3",34,2,0,36
Brookline,,,22,1,0,23
Dover,,,38,1,0,39
Dummerston,,,18,2,0,20
Grafton,,,17,0,0,17
Guilford,,,40,4,0,44
Halifax,,,26,2,0,28
Jamaica,,,34,5,0,39
Londonderry,,,36,1,0,37
Marlboro,,,17,2,0,19
Newfane,,,25,3,0,28
Putney,,,29,2,0,31
Rockingham,,,96,5,0,101
Stratton,,,11,0,0,11
Townshend,,,25,0,0,25
Vernon,,,110,5,0,115
Wardsboro,,,16,0,0,16
Westminster,-,"Windham 4",6,2,0,8
Westminster,-,"Windham 5",51,6,0,57
Whitingham,,,33,4,0,37
Windham,,,15,1,0,16
TOTALS,,,846,59,0,905
