City/Town,Ward,Pct,"John Macgovern","Charlie Kimbell","Fred Baldwin",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Andover,,,11,9,24,3,0,47
Baltimore,,,3,3,7,3,0,16
Barnard,,,10,21,12,2,0,45
Bethel,,,44,31,34,2,0,111
Bridgewater,,,23,32,22,3,0,80
Cavendish,,,27,25,29,8,0,89
Chester,,,54,47,82,3,0,186
Hartford,-,"Windsor 6-1",14,18,10,3,0,45
Hartford,-,"Windsor 6-2",65,49,45,4,0,163
Hartland,,,54,48,37,10,0,149
Ludlow,,,82,65,86,5,0,238
Norwich,,,27,27,21,0,0,75
Plymouth,,,12,10,11,0,0,33
Pomfret,,,14,32,13,2,0,61
Reading,,,12,11,10,0,0,33
Rochester,,,30,21,25,8,0,84
Royalton,,,47,52,37,1,0,137
Sharon,,,14,18,11,3,0,46
Springfield,-,"Windsor 1-1",2,0,0,0,0,2
Springfield,-,"Windsor 1-2",117,87,116,3,0,323
Stockbridge,,,8,7,4,0,0,19
Weathersfield,,,55,25,37,3,0,120
"W. Windsor",,,30,30,22,2,0,84
Weston,,,14,13,16,0,0,43
Windsor,,,59,34,32,9,0,134
Woodstock,,,52,81,42,6,0,181
TOTALS,,,880,796,785,83,0,"2,544"
