City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Baltimore,,,-,1,0,1
"Barre City",,,-,1,0,1
"Barre Town",,,-,2,0,2
Bennington,-,"Bennington 2-1",-,5,0,5
Bennington,-,"Bennington 2-1 Nb",-,0,0,0
Bennington,-,"Bennington 2-2",-,0,0,0
Berlin,,,-,2,0,2
Bethel,,,-,1,0,1
Brandon,,,-,1,0,1
Brattleboro,-,"Windham 3-1",-,1,0,1
Brattleboro,-,"Windham 3-2",-,0,0,0
Brattleboro,-,"Windham 3-3",-,1,0,1
Bridgewater,,,-,2,0,2
Burlington,,,-,9,0,9
Cabot,,,-,2,0,2
Castleton,,,-,1,0,1
Charleston,,,-,1,0,1
Colchester,,,-,1,0,1
Coventry,,,-,1,0,1
Derby,,,-,1,0,1
"E. Montpelier",,,-,2,0,2
Essex,,,-,1,0,1
"Fair Haven",,,-,1,0,1
Fairfield,,,-,1,0,1
Franklin,,,-,1,0,1
Glover,,,-,2,0,2
Groton,,,-,2,0,2
Guilford,,,-,2,0,2
Halifax,,,-,1,0,1
Hancock,,,-,1,0,1
Hartford,,,-,1,0,1
Hartland,,,-,1,0,1
Highgate,,,-,2,0,2
Holland,,,-,3,0,3
"Isle La Motte",,,-,1,0,1
Londonderry,,,-,1,0,1
Lowell,,,-,1,0,1
Ludlow,,,-,3,0,3
Lyndon,,,-,1,0,1
Marlboro,,,-,4,0,4
Marshfield,,,-,1,0,1
Middlebury,,,-,1,0,1
Monkton,,,-,1,0,1
Montpelier,,,-,2,0,2
"Mount Holly",,,-,1,0,1
"New Haven",,,-,1,0,1
"Newport City",,,-,1,0,1
Norwich,,,-,4,0,4
Pawlet,,,-,1,0,1
Putney,,,-,1,0,1
Rockingham,,,-,1,0,1
Royalton,,,-,1,0,1
"Rutland City",,,-,1,0,1
Shaftsbury,,,-,2,0,2
Sharon,,,-,2,0,2
Shelburne,-,"Chittenden 5-1",-,1,0,1
Shelburne,-,"Chittenden 5-2",-,1,0,1
Shoreham,,,-,1,0,1
Springfield,,,-,1,0,1
"St. Albans City",,,-,1,0,1
Stamford,,,-,1,0,1
Waitsfield,,,-,1,0,1
Waterbury,,,-,1,0,1
"W. Windsor",,,-,1,0,1
Westfield,,,-,2,0,2
Westminster,,,-,2,0,2
Williston,,,-,1,0,1
TOTALS,,,-,100,0,100
