City/Town,Ward,Pct,"Randy Brock","Thomas M. Salmon","Martha Abbott","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
Addison,,,424,215,36,4,0,0,679
Albany,,,205,163,35,7,0,0,410
Alburgh,,,419,308,42,13,0,0,782
Andover,,,109,125,13,5,0,0,252
Arlington,,,364,576,48,21,0,0,"1,009"
Athens,,,33,59,5,5,0,0,102
Bakersfield,,,266,185,58,10,2,0,521
Baltimore,,,51,38,2,2,0,0,93
Barnard,,,207,229,40,11,0,0,487
Barnet,,,401,318,50,13,0,0,782
"Barre City",-,"Washington 3-1",874,622,126,14,0,0,"1,636"
"Barre City",-,"Washington 3-2",615,563,102,15,2,0,"1,297"
"Barre City",-,"Washington 3-3",127,95,22,5,0,0,249
"Barre Town",,,"2,146","1,228",198,19,3,0,"3,594"
Barton,,,620,367,68,16,0,0,"1,071"
Belvidere,,,62,52,6,2,0,0,122
Bennington,-,"Bennington 2-1",536,"1,237",110,60,0,0,"1,943"
Bennington,-,"Bennington 2-1 Nb",82,323,36,18,0,0,459
Bennington,-,"Bennington 2-2",664,"1,513",157,88,2,0,"2,424"
Bennington,-,"Bennington 5",26,16,2,2,0,0,46
Benson,,,203,163,31,10,0,0,407
Berkshire,,,315,191,41,6,0,0,553
Berlin,,,615,401,76,15,0,0,"1,107"
Bethel,,,420,369,67,19,0,0,875
Bloomfield,,,35,39,5,4,0,0,83
Bolton,,,223,185,100,7,0,0,515
Bradford,,,424,420,71,30,1,0,946
Braintree,,,274,196,52,4,0,0,526
Brandon,,,899,711,94,20,0,0,"1,724"
Brattleboro,-,"Windham 3-1",475,"1,006",166,87,1,0,"1,735"
Brattleboro,-,"Windham 3-2",287,827,147,130,1,0,"1,392"
Brattleboro,-,"Windham 3-3",246,835,206,92,0,0,"1,379"
Bridgewater,,,172,202,24,6,0,0,404
Bridport,,,363,198,34,18,0,0,613
Brighton,,,250,226,44,6,0,0,526
Bristol,,,779,640,181,18,0,0,"1,618"
Brookfield,,,304,240,63,7,0,0,614
Brookline,,,88,118,11,13,0,0,230
Brownington,,,174,90,33,13,0,0,310
Brunswick,,,28,13,2,0,0,0,43
Burke,,,324,274,41,10,0,0,649
Burlington,-,"Chittenden 3-1","1,397","1,446",390,27,3,0,"3,263"
