City/Town,Ward,Pct,"Jim Douglas","Scudder Parker","Cris Ericson","Jim Hogue","Benjamin Clarke","Bob Skold",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Green,"Vermont Localist","Liberty Union"
Addison,,,506,185,1,2,2,1,0,0,697
Albany,,,260,155,1,7,4,0,0,0,427
Alburgh,,,534,243,10,12,9,2,1,0,811
Andover,,,149,100,6,1,2,0,0,0,258
Arlington,,,628,407,22,12,2,5,0,0,"1,076"
Athens,,,55,43,4,1,1,1,0,0,105
Bakersfield,,,342,185,8,4,4,2,0,0,545
Baltimore,,,68,23,2,1,0,0,0,0,94
Barnard,,,296,199,5,7,2,0,0,0,509
Barnet,,,475,326,3,10,3,4,2,0,823
"Barre City",-,"Washington 3-1","1,017",635,9,10,2,5,1,0,"1,679"
"Barre City",-,"Washington 3-2",767,539,10,12,2,3,0,0,"1,333"
"Barre City",-,"Washington 3-3",155,93,3,1,0,1,0,0,253
"Barre Town",,,"2,573","1,052",11,18,15,2,2,0,"3,673"
Barton,,,769,304,11,11,10,4,0,0,"1,109"
Belvidere,,,80,41,4,1,0,0,0,0,126
Bennington,-,"Bennington 2-1","1,015","1,001",20,13,12,5,0,0,"2,066"
Bennington,-,"Bennington 2-1 Nb",147,321,7,13,7,0,1,0,496
Bennington,-,"Bennington 2-2","1,275","1,220",51,18,16,15,0,0,"2,595"
Bennington,-,"Bennington 5",28,19,3,0,0,0,0,0,50
Benson,,,267,134,14,6,1,3,0,0,425
Berkshire,,,396,164,5,3,3,0,0,0,571
Berlin,,,712,418,9,12,6,1,0,0,"1,158"
Bethel,,,542,337,7,12,1,0,0,0,899
Bloomfield,,,52,29,2,2,2,1,0,0,88
Bolton,,,275,243,1,3,2,1,0,0,525
Bradford,,,574,397,12,8,4,2,0,0,997
Braintree,,,323,211,9,2,1,1,0,0,547
Brandon,,,"1,130",620,16,10,10,3,1,0,"1,790"
Brattleboro,-,"Windham 3-1",666,"1,115",11,9,10,7,0,0,"1,818"
Brattleboro,-,"Windham 3-2",409,"1,006",23,8,5,7,0,0,"1,458"
Brattleboro,-,"Windham 3-3",367,"1,034",14,14,9,7,0,0,"1,445"
Bridgewater,,,241,155,6,14,4,0,0,0,420
Bridport,,,436,179,3,6,1,2,0,0,627
Brighton,,,347,177,12,4,3,0,0,0,543
Bristol,,,959,701,16,5,3,2,1,0,"1,687"
Brookfield,,,352,272,7,6,0,1,0,0,638
Brookline,,,104,128,4,2,0,0,0,0,238
Brownington,,,209,97,4,4,4,1,0,0,319
