City/Town,Ward,Pct,"Brian E. Dubie","Matt Dunne","Marvin Malek","Mary Alice Herbert",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
Addison,,,483,202,8,4,0,0,697
Albany,,,227,182,13,2,0,0,424
Alburgh,,,491,291,8,14,0,0,804
Andover,,,134,114,5,4,1,0,258
Arlington,,,526,497,14,19,0,0,"1,056"
Athens,,,51,49,1,4,0,0,105
Bakersfield,,,311,212,8,6,0,0,537
Baltimore,,,52,39,1,2,0,0,94
Barnard,,,221,275,8,3,0,0,507
Barnet,,,455,318,23,7,0,0,803
"Barre City",-,"Washington 3-1",930,645,80,13,2,0,"1,670"
"Barre City",-,"Washington 3-2",703,560,57,12,0,0,"1,332"
"Barre City",-,"Washington 3-3",140,101,10,3,1,0,255
"Barre Town",,,"2,364","1,134",140,27,0,0,"3,665"
Barton,,,751,307,22,17,0,0,"1,097"
Belvidere,,,78,43,3,2,1,0,127
Bennington,-,"Bennington 2-1",858,"1,101",37,46,0,0,"2,042"
Bennington,-,"Bennington 2-1 Nb",127,328,23,5,0,0,483
Bennington,-,"Bennington 2-2","1,119","1,346",46,52,4,0,"2,567"
Bennington,-,"Bennington 5",31,15,0,2,0,0,48
Benson,,,252,139,9,18,0,0,418
Berkshire,,,370,180,10,6,0,0,566
Berlin,,,681,415,45,7,0,0,"1,148"
Bethel,,,449,422,20,5,0,0,896
Bloomfield,,,46,37,1,4,0,0,88
Bolton,,,271,238,15,1,0,0,525
Bradford,,,511,454,13,10,0,0,988
Braintree,,,314,216,6,6,0,0,542
Brandon,,,"1,010",715,28,21,0,0,"1,774"
Brattleboro,-,"Windham 3-1",587,"1,103",47,58,1,0,"1,796"
Brattleboro,-,"Windham 3-2",341,992,49,57,1,0,"1,440"
Brattleboro,-,"Windham 3-3",304,989,78,63,1,0,"1,435"
Bridgewater,,,186,221,5,7,0,0,419
Bridport,,,396,215,3,9,0,0,623
Brighton,,,317,200,13,8,0,0,538
Bristol,,,884,745,23,16,0,0,"1,668"
Brookfield,,,328,271,27,5,1,0,632
Brookline,,,91,133,5,8,0,0,237
Brownington,,,203,104,6,5,0,0,318
Brunswick,,,31,15,0,0,0,0,46
Burke,,,366,290,10,4,0,0,670
Burlington,-,"Chittenden 3-1","1,702","1,589",65,17,3,0,"3,376"
Burlington,-,"Chittenden 3-2",877,909,62,4,2,0,"1,854"
Burlington,-,"Chittenden 3-3",730,"1,969",275,60,9,0,"3,043"
Burlington,-,"Chittenden 3-4",447,"1,366",180,21,0,0,"2,014"
Burlington,-,"Chittenden 3-5","1,237","2,487",184,31,5,0,"3,944"
Burlington,-,"Chittenden 3-6",161,341,21,5,0,0,528
Cabot,,,295,316,40,8,0,0,659
Calais,,,309,526,62,6,0,0,903
Cambridge,,,843,644,30,15,0,0,"1,532"
Canaan,,,181,158,10,8,0,0,357
Castleton,,,910,528,23,19,2,0,"1,482"
Cavendish,,,275,268,7,6,0,0,556
Charleston,,,236,136,14,4,0,0,390
Charlotte,,,"1,000","1,078",22,9,0,0,"2,109"
Chelsea,,,352,246,11,6,0,0,615
Chester,,,621,787,17,22,1,0,"1,448"
Chittenden,,,366,208,10,11,0,0,595
Clarendon,,,718,315,16,7,1,0,"1,057"
Colchester,-,"Chittenden 7-1","1,798","1,040",26,18,0,0,"2,882"
Colchester,-,"Chittenden 7-2","2,232","1,275",34,22,0,0,"3,563"
Concord,,,353,132,11,13,0,0,509
Corinth,,,264,289,11,8,1,0,573
Cornwall,,,287,338,6,5,2,0,638
Coventry,,,224,116,5,8,0,0,353
Craftsbury,,,263,278,46,12,0,0,599
Danby,,,363,352,15,20,0,0,750
Danville,,,689,400,18,5,0,0,"1,112"
Derby,,,"1,209",553,25,21,0,0,"1,808"
Dorset,,,559,422,18,9,0,0,"1,008"
Dover,,,293,229,12,19,0,0,553
Dummerston,,,279,612,12,24,0,0,927
Duxbury,,,302,290,20,5,0,0,617
"E. Haven",,,100,35,6,5,0,0,146
"E. Montpelier",,,657,686,95,8,0,0,"1,446"
Eden,,,236,159,3,5,0,0,403
Elmore,,,186,210,13,3,0,0,412
Enosburgh,,,580,318,19,11,0,0,928
Essex,-,"Chittenden 6-1","2,481","1,184",29,9,0,0,"3,703"
Essex,-,"Chittenden 6-2","2,651","1,335",41,13,3,0,"4,043"
Essex,-,"Chittenden 6-3",770,435,15,3,1,0,"1,224"
"Fair Haven",,,615,363,11,22,0,0,"1,011"
Fairfax,,,"1,118",583,11,5,0,0,"1,717"
Fairfield,,,509,315,13,2,0,0,839
Fairlee,,,188,249,9,4,0,0,450
Fayston,,,286,299,23,7,0,0,615
Ferrisburgh,,,831,494,20,9,1,0,"1,355"
Fletcher,,,295,196,13,6,0,0,510
Franklin,,,342,144,7,4,0,0,497
Georgia,,,"1,273",540,15,8,0,0,"1,836"
Glover,,,261,200,20,8,0,0,489
Goshen,,,57,51,5,1,0,0,114
Grafton,,,132,165,6,5,0,0,308
Granby,,,26,7,0,1,0,0,34
"Grand Isle",,,662,362,10,13,1,0,"1,048"
Granville,,,48,80,1,0,0,0,129
Greensboro,,,182,170,10,7,0,0,369
Groton,,,263,104,14,0,0,0,381
Guildhall,,,75,27,3,9,0,0,114
Guilford,,,308,590,21,37,0,0,956
Halifax,,,120,188,9,13,0,0,330
Hancock,,,86,69,3,2,0,0,160
Hardwick,,,720,527,31,14,0,0,"1,292"
Hartford,-,"Windsor 6-1",366,517,11,8,0,0,902
Hartford,-,"Windsor 6-2",998,"1,787",26,19,1,0,"2,831"
Hartland,,,435,"1,113",7,2,0,0,"1,557"
Highgate,,,744,354,3,7,1,0,"1,109"
Hinesburg,-,"Chittenden 1-1",949,994,34,8,1,0,"1,986"
Hinesburg,-,"Chittenden 1-2",40,42,4,1,0,0,87
Holland,,,173,69,9,5,0,0,256
Hubbardton,,,147,124,2,2,0,0,275
Huntington,,,412,521,29,8,1,0,971
"Hyde Park",,,709,534,24,13,0,0,"1,280"
Ira,-,"Rutland Rutland 1-1",22,10,0,0,0,0,32
Ira,-,"Rutland Rutland 1-2",91,53,0,2,0,0,146
Irasburg,,,311,155,2,8,0,0,476
"Isle La Motte",,,160,108,5,1,0,0,274
Jamaica,,,204,201,8,19,0,0,432
Jay,,,93,66,2,2,0,0,163
Jericho,,,"1,509","1,133",30,11,2,0,"2,685"
Johnson,,,551,539,42,10,1,0,"1,143"
Killington,,,272,179,6,9,0,0,466
Kirby,,,104,88,3,1,0,0,196
Landgrove,,,41,62,3,2,0,0,108
Leicester,,,275,198,6,0,0,0,479
Lemington,,,35,12,2,0,0,0,49
Lincoln,,,292,382,19,10,0,0,703
Londonderry,,,389,338,19,15,0,0,761
Lowell,,,162,121,7,3,0,0,293
Ludlow,,,547,434,7,17,0,0,"1,005"
Lunenburg,,,266,145,6,7,0,0,424
Lyndon,,,"1,206",631,23,17,4,0,"1,881"
Maidstone,,,47,29,0,0,0,0,76
Manchester,,,971,785,15,24,0,0,"1,795"
Marlboro,,,91,359,24,15,0,0,489
Marshfield,,,341,385,49,3,1,0,779
Mendon,,,324,197,6,6,0,0,533
Middlebury,,,"1,151","1,603",45,15,1,0,"2,815"
Middlesex,,,360,520,54,10,0,0,944
"Middletown Springs",,,180,203,20,8,0,0,411
Milton,-,"Chittenden 9","2,238","1,047",24,21,2,0,"3,332"
Milton,-,"Grand Isle-Chittenden 1-1",370,172,0,7,1,0,550
Monkton,,,504,437,11,3,1,0,956
Montgomery,,,251,253,20,9,1,0,534
Montpelier,,,"1,356","2,439",246,33,5,0,"4,079"
Moretown,,,399,400,36,7,0,0,842
Morgan,,,214,95,5,3,0,0,317
Morristown,,,"1,198",928,39,30,1,0,"2,196"
"Mount Holly",,,324,297,8,5,0,0,634
"Mount Tabor",,,46,34,2,0,0,0,82
"New Haven",,,506,370,7,11,0,0,894
Newark,,,142,87,6,5,0,0,240
Newbury,-,"Center Town House",276,237,14,18,0,0,545
Newbury,-,"Town Office",91,84,6,1,0,0,182
Newbury,-,"West River Village",76,59,5,3,0,0,143
Newfane,,,260,552,23,16,0,0,851
"Newport City",,,920,461,25,8,1,0,"1,415"
"Newport Town",,,387,183,8,4,0,0,582
"N. Hero",,,338,159,11,6,1,0,515
Northfield,,,"1,197",711,66,18,0,0,"1,992"
Norton,,,51,20,1,1,0,0,73
Norwich,,,325,"1,536",37,9,1,0,"1,908"
Orange,,,283,134,26,4,0,0,447
Orwell,,,359,200,6,3,1,0,569
Panton,,,220,95,3,2,1,0,321
Pawlet,,,322,245,14,17,0,0,598
Peacham,,,178,207,8,0,0,0,393
Peru,,,79,88,7,4,1,0,179
Pittsfield,,,136,103,4,1,0,0,244
Pittsford,,,776,452,13,14,0,0,"1,255"
Plainfield,,,241,366,57,5,0,0,669
Plymouth,,,138,140,2,3,0,0,283
Pomfret,,,188,322,1,6,0,0,517
Poultney,,,641,473,30,25,1,0,"1,170"
Pownal,,,560,663,25,45,0,0,"1,293"
Proctor,,,447,280,8,9,0,0,744
Putney,,,191,822,21,90,0,0,"1,124"
Randolph,,,"1,057",901,39,19,0,0,"2,016"
Reading,,,132,202,1,5,0,0,340
Readsboro,,,100,168,7,11,0,0,286
Richford,,,460,296,9,11,1,0,777
Richmond,,,"1,060","1,033",36,10,1,0,"2,140"
Ripton,,,95,203,8,6,0,0,312
Rochester,,,269,324,30,8,0,0,631
Rockingham,,,608,"1,172",33,60,2,0,"1,875"
Roxbury,,,138,159,18,2,0,0,317
Royalton,,,535,559,16,11,0,0,"1,121"
Rupert,,,133,147,8,13,0,0,301
"Rutland City",-,"Rutland 5-1","1,128",742,15,16,0,0,"1,901"
"Rutland City",-,"Rutland 5-2",893,662,16,18,3,0,"1,592"
"Rutland City",-,"Rutland 5-3",572,463,15,19,1,0,"1,070"
"Rutland City",-,"Rutland 5-4",810,624,19,21,0,0,"1,474"
"Rutland Town",-,"Elem. School","1,018",485,10,7,2,0,"1,522"
"Rutland Town",-,"Town Hall",378,173,6,7,0,0,564
Ryegate,,,258,194,10,12,0,0,474
Salisbury,,,252,222,7,2,0,0,483
Sandgate,,,68,93,4,6,0,0,171
Searsburg,,,20,23,1,2,0,0,46
Shaftsbury,,,773,826,21,22,0,0,"1,642"
Sharon,,,230,330,7,2,1,0,570
Sheffield,,,157,101,3,10,1,0,272
Shelburne,-,"Chittenden 5-1",968,"1,076",34,11,1,0,"2,090"
Shelburne,-,"Chittenden 5-2",995,811,20,10,0,0,"1,836"
Sheldon,,,448,221,9,6,0,0,684
Shoreham,,,301,253,5,3,1,0,563
Shrewsbury,,,283,288,5,8,0,0,584
"S. Burlington",-,"Chittenden 3-10",791,807,27,8,1,0,"1,634"
"S. Burlington",-,"Chittenden 3-7",936,893,22,5,0,0,"1,856"
"S. Burlington",-,"Chittenden 3-8","1,473","1,091",21,10,2,0,"2,597"
"S. Burlington",-,"Chittenden 3-9","1,035",728,21,13,1,0,"1,798"
"S. Hero",,,588,399,16,6,0,0,"1,009"
Springfield,-,"Windsor 1-1",19,30,0,0,0,0,49
Springfield,-,"Windsor 1-2","1,444","1,868",54,59,2,0,"3,427"
"St. Albans City",,,"1,391",828,23,22,0,0,"2,264"
"St. Albans Town",,,"1,638",703,22,10,1,0,"2,374"
"St. George",,,159,99,1,1,0,0,260
"St. Johnsbury",,,"1,578",927,29,32,1,0,"2,567"
Stamford,,,115,169,3,8,0,0,295
Stannard,,,45,57,5,1,0,0,108
Starksboro,,,351,391,14,5,0,0,761
Stockbridge,,,153,155,8,4,0,0,320
Stowe,,,"1,295",957,42,14,0,0,"2,308"
Strafford,,,148,444,11,4,0,0,607
Stratton,,,62,32,3,1,0,0,98
Sudbury,,,144,139,4,2,0,0,289
Sunderland,,,181,191,11,4,0,0,387
Sutton,,,261,114,7,5,0,0,387
Swanton,,,"1,532",717,12,12,0,0,"2,273"
Thetford,,,378,877,21,9,0,0,"1,285"
Tinmouth,,,139,134,6,3,0,0,282
Topsham,,,265,153,17,4,0,0,439
Townshend,,,240,304,9,14,0,0,567
Troy,,,302,199,14,6,0,0,521
Tunbridge,,,302,283,11,13,0,0,609
Underhill,,,820,831,31,10,1,0,"1,693"
Vergennes,,,602,376,26,13,0,0,"1,017"
Vernon,,,491,307,9,26,1,0,834
Vershire,,,107,159,3,4,0,0,273
Victory,,,27,21,0,2,0,0,50
Waitsfield,,,410,489,37,12,0,0,948
Walden,,,224,202,12,5,1,0,444
Wallingford,,,605,412,14,15,1,0,"1,047"
Waltham,,,138,120,6,0,0,0,264
Wardsboro,,,142,165,7,5,0,0,319
Warren,,,353,491,45,12,1,0,902
Washington,,,267,151,25,3,0,0,446
Waterbury,,,"1,213","1,066",43,21,3,0,"2,346"
Waterford,,,393,181,7,8,0,0,589
Waterville,,,172,111,11,2,0,0,296
Weathersfield,,,529,667,24,17,1,0,"1,238"
Wells,,,241,176,13,6,0,0,436
"W. Fairlee",,,112,112,5,2,2,0,233
"W. Haven",,,67,40,3,2,0,0,112
"W. Rutland",,,522,322,11,11,0,0,866
"W. Windsor",,,205,364,2,5,0,0,576
Westfield,,,144,101,7,4,0,0,256
Westford,,,531,399,17,3,1,0,951
Westminster,-,"Windham 4",24,44,5,4,0,0,77
Westminster,-,"Windham 5",327,875,20,45,0,0,"1,267"
Westmore,,,100,83,2,1,0,0,186
Weston,,,151,195,7,2,0,0,355
Weybridge,,,216,277,6,1,0,0,500
Wheelock,,,170,105,6,2,0,0,283
Whiting,,,97,92,2,2,0,0,193
Whitingham,,,250,203,18,17,0,0,488
Williamstown,,,798,439,60,11,1,0,"1,309"
Williston,,,"2,619","1,696",52,22,1,0,"4,390"
Wilmington,,,394,411,38,22,0,0,865
