City/Town,Ward,Pct,"Peter Welch","Martha Rainville","Dennis Morrisseau","Jerry Trudell","Bruce R. Marshall","Keith Stern","Jane Newton","Chris Karr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Impeach Bush Now",Independent,Green,Independent,"Liberty Union","We the People"
Addison,,,248,439,2,4,3,0,0,1,2,0,699
Albany,,,215,202,4,1,2,0,0,1,1,0,426
Alburgh,,,341,465,1,2,4,0,2,0,1,0,816
Andover,,,133,112,1,1,0,3,2,0,0,0,252
Arlington,,,570,450,17,5,11,11,4,2,1,0,"1,071"
Athens,,,49,47,0,0,1,3,4,0,0,0,104
Bakersfield,,,288,306,0,1,5,0,2,1,0,0,603
Baltimore,,,31,58,0,1,0,4,1,0,0,0,95
Barnard,,,291,211,5,2,0,2,0,0,0,0,511
Barnet,,,380,420,4,4,5,3,0,1,1,0,818
"Barre City",-,"Washington 3-1",831,813,9,3,1,4,4,4,3,0,"1,672"
"Barre City",-,"Washington 3-2",705,596,9,3,5,5,0,3,4,0,"1,330"
"Barre City",-,"Washington 3-3",126,123,2,0,0,1,0,4,0,0,256
"Barre Town",,,"1,519","2,123",4,3,4,4,3,6,6,0,"3,672"
Barton,,,459,627,7,4,1,2,0,8,1,0,"1,109"
Belvidere,,,57,70,0,0,0,0,0,0,0,0,127
Bennington,-,"Bennington 2-1","1,203",755,33,14,10,11,9,10,2,0,"2,047"
Bennington,-,"Bennington 2-1 Nb",370,107,5,5,6,1,2,0,1,0,497
Bennington,-,"Bennington 2-2","1,499",938,42,19,16,27,14,14,4,0,"2,573"
Bennington,-,"Bennington 5",20,24,1,0,0,2,0,0,0,0,47
Benson,,,199,205,4,0,7,6,1,1,0,0,423
Berkshire,,,216,348,1,4,1,0,0,2,0,0,572
Berlin,,,520,619,6,0,3,1,1,6,0,0,"1,156"
Bethel,,,488,396,2,0,8,4,1,2,0,0,901
Bloomfield,,,40,45,2,0,0,1,0,1,0,0,89
Bolton,,,280,245,0,1,2,1,1,0,0,0,530
Bradford,,,501,461,6,3,3,5,1,5,4,0,989
Braintree,,,247,291,2,2,3,1,0,0,0,0,546
Brandon,,,874,891,2,3,4,4,1,7,2,0,"1,788"
Brattleboro,-,"Windham 3-1","1,230",548,9,4,2,5,13,4,0,0,"1,815"
Brattleboro,-,"Windham 3-2","1,076",322,20,7,9,6,10,2,1,0,"1,453"
Brattleboro,-,"Windham 3-3","1,091",286,15,9,25,3,13,2,1,0,"1,445"
Bridgewater,,,234,178,4,1,1,2,2,3,0,0,425
Bridport,,,247,344,3,1,2,27,3,0,3,0,630
Brighton,,,224,300,4,1,2,1,1,2,1,0,536
Bristol,,,886,781,5,6,4,2,1,1,0,0,"1,686"
Brookfield,,,314,314,2,1,3,1,1,1,0,0,637
Brookline,,,129,92,2,1,1,7,3,1,0,0,236
Brownington,,,128,181,2,0,3,1,0,3,0,0,318
Brunswick,,,19,25,0,1,0,1,0,0,0,0,46
Burke,,,308,352,5,4,3,2,0,0,2,0,676
Burlington,-,"Chittenden 3-1","1,942","1,406",13,12,5,0,0,5,6,0,"3,389"
Burlington,-,"Chittenden 3-2","1,153",697,8,5,3,2,3,3,0,0,"1,874"
Burlington,-,"Chittenden 3-3","2,368",606,42,26,34,6,14,14,3,0,"3,113"
Burlington,-,"Chittenden 3-4","1,626",347,21,15,31,7,3,8,1,0,"2,059"
Burlington,-,"Chittenden 3-5","2,932",989,28,9,11,1,4,5,8,0,"3,987"
Burlington,-,"Chittenden 3-6",401,117,8,3,6,0,0,0,0,0,535
Cabot,,,383,262,5,1,6,2,1,5,0,0,665
Calais,,,610,286,2,1,0,1,1,7,0,0,908
Cambridge,,,817,703,7,3,7,3,2,1,1,0,"1,544"
Canaan,,,165,193,2,2,3,2,0,3,0,0,370
Castleton,,,670,809,4,3,4,4,1,2,0,0,"1,497"
Cavendish,,,274,268,4,0,4,3,4,2,0,0,559
Charleston,,,170,222,0,0,1,2,1,0,0,0,396
Charlotte,,,"1,310",818,7,1,5,0,1,1,0,0,"2,143"
Chelsea,,,257,352,2,0,2,0,1,0,1,0,615
Chester,,,823,580,18,8,6,21,6,2,0,0,"1,464"
Chittenden,,,288,304,0,0,1,3,5,0,2,0,603
Clarendon,,,398,631,7,3,6,4,3,1,2,0,"1,055"
Colchester,-,"Chittenden 7-1","1,425","1,457",3,15,1,0,3,4,2,0,"2,910"
Colchester,-,"Chittenden 7-2","1,658","1,897",6,12,5,2,3,4,2,0,"3,589"
Concord,,,179,314,3,3,6,1,1,5,0,0,512
Corinth,,,316,256,2,1,3,3,3,3,0,0,587
Cornwall,,,405,229,3,0,3,1,0,1,6,0,648
Coventry,,,143,206,2,1,2,0,1,1,0,0,356
Craftsbury,,,339,257,1,1,2,2,1,3,0,0,606
Danby,,,292,341,15,5,2,3,3,2,0,0,663
Danville,,,465,630,6,7,2,0,2,3,1,0,"1,116"
Derby,,,755,"1,033",7,5,4,6,4,4,3,0,"1,821"
Dorset,,,537,442,13,6,7,5,1,2,2,0,"1,015"
Dover,,,258,269,8,9,4,3,11,2,0,0,564
Dummerston,,,622,255,8,34,5,3,2,1,0,0,930
Duxbury,,,358,262,4,0,2,2,0,0,0,0,628
"E. Haven",,,46,92,3,2,2,0,1,2,0,0,148
"E. Montpelier",,,865,559,2,2,3,3,4,13,0,0,"1,451"
Eden,,,197,205,2,0,0,1,0,1,0,0,406
Elmore,,,270,137,2,2,1,1,1,2,0,0,416
Enosburgh,,,403,514,3,1,2,1,2,4,2,0,932
Essex,-,"Chittenden 6-1","1,746","1,946",13,3,4,3,1,2,2,0,"3,720"
Essex,-,"Chittenden 6-2","1,942","2,092",6,9,5,1,2,2,4,0,"4,063"
Essex,-,"Chittenden 6-3",606,616,3,4,1,1,0,0,2,0,"1,233"
"Fair Haven",,,461,528,6,6,4,5,0,1,0,0,"1,011"
Fairfax,,,712,991,9,2,0,2,2,4,2,0,"1,724"
Fairfield,,,427,408,5,4,1,1,2,0,0,0,848
Fairlee,,,255,190,4,1,4,2,0,0,0,0,456
Fayston,,,377,240,2,3,2,1,0,0,0,0,625
Ferrisburgh,,,624,723,7,5,0,1,1,0,0,0,"1,361"
Fletcher,,,255,254,1,2,1,2,0,0,1,0,516
Franklin,,,171,327,2,0,2,3,0,0,0,0,505
Georgia,,,672,"1,166",3,4,3,2,2,4,1,0,"1,857"
Glover,,,249,239,2,1,1,1,0,1,0,0,494
Goshen,,,58,54,2,1,0,0,0,0,0,0,115
Grafton,,,171,120,4,4,2,6,3,0,0,0,310
Granby,,,7,27,0,1,0,0,0,0,0,0,35
"Grand Isle",,,473,571,3,1,2,0,0,1,3,0,"1,054"
Granville,,,79,47,1,0,4,0,0,0,0,0,131
Greensboro,,,210,154,4,0,3,1,0,1,2,0,375
Groton,,,138,240,2,2,1,2,0,2,0,0,387
Guildhall,,,41,62,0,2,0,2,4,1,0,0,112
Guilford,,,648,293,4,6,4,7,7,1,0,0,970
Halifax,,,204,106,1,1,2,4,2,1,0,0,321
Hancock,,,85,71,2,1,2,0,0,0,0,0,161
Hardwick,,,636,638,6,3,6,1,2,10,2,0,"1,304"
Hartford,-,"Windsor 6-1",517,378,1,3,2,5,1,2,0,0,909
Hartford,-,"Windsor 6-2","1,799",997,8,9,8,26,4,3,2,0,"2,856"
Hartland,,,"1,016",519,4,0,3,5,2,0,4,0,"1,553"
Highgate,,,424,685,4,0,1,1,1,2,0,0,"1,118"
Hinesburg,-,"Chittenden 1-1","1,164",831,7,2,3,0,0,2,1,0,"2,010"
Hinesburg,-,"Chittenden 1-2",51,39,0,0,0,0,0,0,0,0,90
Holland,,,106,147,1,0,0,1,0,1,0,0,256
Hubbardton,,,137,137,1,0,0,1,1,0,0,0,277
Huntington,,,608,366,6,3,3,1,0,1,0,0,988
"Hyde Park",,,675,583,7,5,6,4,2,1,1,0,"1,284"
Ira,-,"Rutland Rutland 1-1",15,17,0,0,0,0,0,0,0,0,32
Ira,-,"Rutland Rutland 1-2",69,75,1,1,0,1,0,0,0,0,147
Irasburg,,,204,266,3,2,3,1,0,0,0,0,479
"Isle La Motte",,,122,152,1,0,2,0,2,0,0,0,279
Jamaica,,,219,181,7,1,4,3,19,2,0,0,436
Jay,,,98,65,0,1,2,1,0,0,0,0,167
Jericho,,,"1,413","1,273",3,10,1,1,3,2,1,0,"2,707"
Johnson,,,638,486,12,1,9,2,5,3,1,0,"1,157"
