City/Town,Ward,Pct,"Bernard Sanders","Rich Tarrant","Cris Ericson","Craig Hill","Peter Moss","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,Independent,Green,"Anti-Bushist Candidate","Liberty Union"
Addison,,,378,313,2,2,2,1,1,0,699
Albany,,,285,132,3,6,0,0,0,0,426
Alburgh,,,489,306,3,7,4,3,0,0,812
Andover,,,152,99,4,3,0,1,0,0,259
Arlington,,,653,378,20,10,11,2,0,0,"1,074"
Athens,,,64,32,3,2,2,1,0,0,104
Bakersfield,,,362,168,6,2,5,1,1,0,545
Baltimore,,,46,39,3,2,1,1,0,0,92
Barnard,,,333,162,2,3,7,2,0,0,509
Barnet,,,492,305,5,9,4,5,1,0,821
"Barre City",-,"Washington 3-1","1,063",579,8,10,4,6,3,0,"1,673"
"Barre City",-,"Washington 3-2",889,414,4,12,5,4,6,0,"1,334"
"Barre City",-,"Washington 3-3",155,88,4,2,2,2,0,0,253
"Barre Town",,,"2,042","1,565",15,17,11,7,5,0,"3,662"
Barton,,,670,421,5,8,3,2,2,0,"1,111"
Belvidere,,,75,49,1,0,0,0,0,0,125
Bennington,-,"Bennington 2-1","1,324",635,21,21,34,15,0,0,"2,050"
Bennington,-,"Bennington 2-1 Nb",382,88,7,12,4,1,0,0,494
Bennington,-,"Bennington 2-2","1,694",769,40,20,37,26,3,0,"2,589"
Bennington,-,"Bennington 5",18,26,2,2,1,0,0,0,49
Benson,,,276,134,4,2,6,1,0,0,423
Berkshire,,,355,210,1,2,3,0,2,0,573
Berlin,,,737,392,5,11,5,3,4,0,"1,157"
Bethel,,,629,254,5,5,4,1,0,0,898
Bloomfield,,,53,29,2,0,2,1,0,0,87
Bolton,,,369,142,4,1,0,1,0,0,517
Bradford,,,677,288,6,4,8,2,1,0,986
Braintree,,,352,171,1,4,15,1,0,0,544
Brandon,,,"1,164",577,17,10,9,5,3,0,"1,785"
Brattleboro,-,"Windham 3-1","1,359",417,6,8,8,18,1,0,"1,817"
Brattleboro,-,"Windham 3-2","1,186",230,8,14,5,16,0,0,"1,459"
Brattleboro,-,"Windham 3-3","1,183",221,12,11,8,19,0,0,"1,454"
Bridgewater,,,273,135,4,0,7,1,1,0,421
Bridport,,,359,257,5,3,0,0,3,0,627
Brighton,,,308,208,7,9,4,1,1,0,538
Bristol,,,"1,175",479,9,6,6,6,2,0,"1,683"
Brookfield,,,428,198,2,4,3,2,0,0,637
Brookline,,,139,86,5,1,4,2,1,0,238
Brownington,,,194,121,3,2,0,0,0,0,320
Brunswick,,,31,13,1,0,1,0,0,0,46
Burke,,,419,243,2,2,3,3,1,0,673
Burlington,-,"Chittenden 3-1","2,269","1,086",8,7,3,5,5,0,"3,383"
Burlington,-,"Chittenden 3-2","1,313",536,2,4,4,0,6,0,"1,865"
Burlington,-,"Chittenden 3-3","2,666",376,16,25,23,10,10,0,"3,126"
Burlington,-,"Chittenden 3-4","1,750",288,7,12,9,6,3,0,"2,075"
Burlington,-,"Chittenden 3-5","3,042",898,6,19,11,4,11,0,"3,991"
Burlington,-,"Chittenden 3-6",458,74,2,2,0,0,1,0,537
Cabot,,,469,174,3,7,5,6,0,0,664
Calais,,,713,178,4,5,1,1,3,0,905
Cambridge,,,"1,058",461,10,8,4,1,2,0,"1,544"
Canaan,,,232,114,8,8,3,1,0,0,366
Castleton,,,868,590,15,9,7,4,2,0,"1,495"
Cavendish,,,347,193,9,1,7,1,0,0,558
Charleston,,,240,143,3,1,2,0,0,0,389
Charlotte,,,"1,387",725,3,12,7,4,2,0,"2,140"
Chelsea,,,359,244,3,4,0,3,0,0,613
Chester,,,996,405,31,11,14,5,0,0,"1,462"
Chittenden,,,354,234,5,2,2,1,1,0,599
Clarendon,,,569,451,12,8,3,1,5,0,"1,049"
Colchester,-,"Chittenden 7-1","1,750","1,126",9,5,9,5,6,0,"2,910"
Colchester,-,"Chittenden 7-2","1,943","1,598",10,13,9,5,4,0,"3,582"
Concord,,,299,194,5,4,8,4,0,0,514
Corinth,,,410,157,3,4,4,2,3,0,583
Cornwall,,,462,180,2,0,1,1,0,0,646
Coventry,,,227,116,2,5,0,3,0,0,353
Craftsbury,,,438,154,2,5,4,3,0,0,606
Danby,,,382,257,10,1,9,3,0,0,662
Danville,,,627,458,4,8,7,5,1,0,"1,110"
Derby,,,"1,036",747,8,14,10,8,0,0,"1,823"
Dorset,,,567,417,16,11,7,0,0,0,"1,018"
Dover,,,287,244,12,6,16,4,0,0,569
Dummerston,,,705,197,4,7,11,8,0,0,932
Duxbury,,,455,154,4,7,3,2,1,0,626
"E. Haven",,,92,47,0,3,1,3,0,0,146
"E. Montpelier",,,"1,024",400,4,13,4,3,2,0,"1,450"
Eden,,,283,119,0,1,0,1,0,0,404
Elmore,,,316,93,1,3,1,1,0,0,415
Enosburgh,,,614,296,4,6,6,3,1,0,930
Essex,-,"Chittenden 6-1","2,090","1,581",13,11,11,4,3,0,"3,713"
Essex,-,"Chittenden 6-2","2,421","1,581",15,13,14,4,6,0,"4,054"
Essex,-,"Chittenden 6-3",722,494,5,1,3,1,6,0,"1,232"
"Fair Haven",,,663,311,13,7,9,2,0,0,"1,005"
Fairfax,,,996,702,6,4,14,2,2,0,"1,726"
Fairfield,,,571,264,4,0,1,2,1,0,843
Fairlee,,,323,115,5,7,6,0,0,0,456
Fayston,,,429,184,1,6,2,2,0,0,624
Ferrisburgh,,,832,515,9,1,1,1,0,0,"1,359"
Fletcher,,,344,160,5,2,4,0,0,0,515
Franklin,,,283,206,4,2,4,0,0,0,499
Georgia,,,"1,033",787,4,5,15,4,1,0,"1,849"
Glover,,,349,133,4,3,1,1,0,0,491
Goshen,,,74,39,0,0,1,1,0,0,115
Grafton,,,200,95,11,2,1,0,1,0,310
Granby,,,14,18,0,1,0,0,0,0,33
"Grand Isle",,,657,381,3,3,7,1,0,0,"1,052"
Granville,,,101,29,0,1,0,0,0,0,131
Greensboro,,,244,120,2,0,3,2,0,0,371
Groton,,,198,172,2,5,4,3,1,0,385
Guildhall,,,59,44,4,1,2,3,0,0,113
Guilford,,,703,241,7,8,6,6,0,0,971
Halifax,,,220,93,6,2,6,5,0,0,332
Hancock,,,117,41,0,0,2,2,0,0,162
Hardwick,,,917,355,6,13,7,5,2,0,"1,305"
Hartford,-,"Windsor 6-1",563,327,4,10,1,1,3,0,909
Hartford,-,"Windsor 6-2","2,004",758,32,22,25,11,1,0,"2,853"
Hartland,,,"1,054",464,6,6,7,2,1,0,"1,540"
Highgate,,,736,371,3,2,2,2,0,0,"1,116"
Hinesburg,-,"Chittenden 1-1","1,370",610,5,6,10,2,4,0,"2,007"
Hinesburg,-,"Chittenden 1-2",66,23,0,0,1,0,0,0,90
Holland,,,167,85,1,2,1,1,0,0,257
Hubbardton,,,167,105,1,1,2,0,0,0,276
Huntington,,,750,234,2,2,3,0,2,0,993
"Hyde Park",,,893,369,2,9,10,3,0,0,"1,286"
Ira,-,"Rutland Rutland 1-1",20,12,0,0,0,0,0,0,32
Ira,-,"Rutland Rutland 1-2",106,39,0,1,0,2,0,0,148
Irasburg,,,291,179,6,2,2,1,0,0,481
"Isle La Motte",,,157,101,2,4,5,1,0,0,270
Jamaica,,,294,126,8,3,5,2,1,0,439
Jay,,,116,49,1,2,0,0,0,0,168
Jericho,,,"1,698",964,17,9,9,1,3,0,"2,701"
Johnson,,,871,261,3,11,13,0,0,0,"1,159"
Killington,,,246,211,7,3,3,1,0,0,471
Kirby,,,135,56,0,1,4,0,0,0,196
Landgrove,,,66,31,0,0,0,1,0,0,98
Leicester,,,317,156,7,4,1,0,0,0,485
Lemington,,,31,17,0,1,1,1,0,0,51
Lincoln,,,519,177,1,6,3,1,0,0,707
Londonderry,,,439,299,13,10,12,1,0,0,774
Lowell,,,201,91,1,1,3,0,0,0,297
Ludlow,,,577,409,18,5,8,2,0,0,"1,019"
Lunenburg,,,254,161,7,5,2,3,0,0,432
Lyndon,,,"1,087",768,11,10,4,5,2,0,"1,887"
Maidstone,,,41,33,1,1,1,0,0,0,77
Manchester,,,982,771,33,10,23,5,2,0,"1,826"
Marlboro,,,395,84,4,4,2,3,0,0,492
Marshfield,,,529,235,4,6,3,4,0,0,781
Mendon,,,284,238,5,4,4,1,1,0,537
Middlebury,,,"2,159",637,3,12,17,8,5,0,"2,841"
Middlesex,,,718,212,1,6,2,8,0,0,947
"Middletown Springs",,,278,121,4,5,1,4,0,0,413
Milton,-,"Chittenden 9","1,963","1,348",9,11,17,4,3,0,"3,355"
Milton,-,"Grand Isle-Chittenden 1-1",294,252,2,2,2,1,0,0,553
Monkton,,,675,272,6,7,0,1,1,0,962
Montgomery,,,379,145,1,5,4,2,1,0,537
Montpelier,,,"3,146",876,11,25,12,9,3,0,"4,082"
Moretown,,,612,214,8,10,2,5,0,0,851
Morgan,,,163,147,4,1,2,2,0,0,319
Morristown,,,"1,573",599,10,6,13,13,4,0,"2,218"
"Mount Holly",,,409,208,4,7,7,2,1,0,638
"Mount Tabor",,,55,25,3,1,0,1,0,0,85
"New Haven",,,619,263,2,3,4,4,1,0,896
Newark,,,155,80,1,5,0,1,0,0,242
Newbury,-,"Center Town House",359,173,4,6,5,3,0,0,550
Newbury,-,"Town Office",128,49,0,2,1,0,0,0,180
Newbury,-,"West River Village",98,42,0,1,1,1,0,0,143
Newfane,,,657,190,7,5,3,5,0,0,867
"Newport City",,,860,532,8,11,4,2,2,0,"1,419"
"Newport Town",,,352,227,2,3,0,0,0,0,584
"N. Hero",,,266,244,1,3,2,1,0,0,517
Northfield,,,"1,333",649,14,11,8,6,1,0,"2,022"
Norton,,,35,32,0,1,2,1,0,0,71
Norwich,,,"1,600",288,16,9,12,3,1,0,"1,929"
Orange,,,254,186,2,5,0,0,0,0,447
Orwell,,,346,227,2,1,0,0,0,0,576
Panton,,,189,131,2,1,0,0,0,0,323
Pawlet,,,376,221,10,8,7,0,0,0,622
Peacham,,,280,115,1,1,2,2,0,0,401
Peru,,,119,51,3,2,2,0,0,0,177
Pittsfield,,,135,102,1,2,4,0,0,0,244
Pittsford,,,780,472,10,2,6,2,2,0,"1,274"
Plainfield,,,497,164,1,11,2,1,1,0,677
Plymouth,,,173,106,0,2,2,0,0,0,283
Pomfret,,,363,143,3,3,4,4,0,0,520
Poultney,,,795,358,6,4,15,4,1,0,"1,183"
Pownal,,,828,394,33,23,27,13,0,0,"1,318"
Proctor,,,481,252,8,3,4,4,0,0,752
Putney,,,955,161,5,1,8,6,1,0,"1,137"
Randolph,,,"1,375",599,15,13,16,2,4,0,"2,024"
Reading,,,230,99,5,6,5,0,0,0,345
Readsboro,,,177,74,11,4,16,4,0,0,286
Richford,,,575,197,2,2,5,4,1,0,786
Richmond,,,"1,477",653,10,7,5,3,2,0,"2,157"
Ripton,,,258,51,2,1,0,1,0,0,313
Rochester,,,479,146,2,4,4,1,0,0,636
Rockingham,,,"1,408",403,33,16,17,23,0,0,"1,900"
Roxbury,,,238,73,2,2,4,0,0,0,319
Royalton,,,792,313,9,14,5,2,0,0,"1,135"
Rupert,,,183,100,8,3,8,5,0,0,307
"Rutland City",-,"Rutland 5-1","1,164",717,7,9,9,3,2,0,"1,911"
"Rutland City",-,"Rutland 5-2",972,578,11,8,15,5,6,0,"1,595"
"Rutland City",-,"Rutland 5-3",726,325,13,4,7,0,3,0,"1,078"
"Rutland City",-,"Rutland 5-4",925,520,15,9,2,7,6,0,"1,484"
"Rutland Town",-,"Elem. School",817,699,7,4,1,4,4,0,"1,536"
"Rutland Town",-,"Town Hall",304,254,5,0,1,4,1,0,569
Ryegate,,,289,166,3,3,1,2,0,0,464
Salisbury,,,320,155,3,3,1,3,0,0,485
Sandgate,,,103,62,2,2,2,0,0,0,171
Searsburg,,,26,14,1,1,2,2,0,0,46
Shaftsbury,,,"1,004",596,19,8,25,5,0,0,"1,657"
Sharon,,,399,161,2,4,2,0,1,0,569
Sheffield,,,189,77,3,2,2,1,0,0,274
Shelburne,-,"Chittenden 5-1","1,325",752,9,9,9,2,2,0,"2,108"
Shelburne,-,"Chittenden 5-2","1,029",799,1,8,8,5,1,0,"1,851"
Sheldon,,,446,220,6,3,6,3,0,0,684
Shoreham,,,386,168,4,6,1,0,4,0,569
Shrewsbury,,,394,188,4,4,2,0,0,0,592
