City/Town,Ward,Pct,"John S. Rodgers","John Morley, III","Nancy Potak","Benjamin Todd",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive/Democratic,Republican
Albany,,,232,204,204,103,1,0,744
Barton,-,"Barton Memorial",576,736,301,308,1,0,"1,922"
Barton,-,"Orleans Memorial",0,0,0,0,0,0,0
Craftsbury,,,351,180,373,98,2,0,"1,004"
Glover,,,308,225,221,124,0,0,878
Greensboro,,,198,112,229,86,0,0,625
Sheffield,,,148,104,134,68,2,0,456
Wheelock,,,127,109,142,92,0,0,470
TOTALS,,,"1,940","1,670","1,604",879,6,0,"6,099"
