City/Town,Ward,Pct,"Jeb Spaulding","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,"Liberty Union"
Addison,,,648,12,2,0,662
Albany,,,377,21,0,0,398
Alburgh,,,721,49,0,0,770
Andover,,,227,13,0,0,240
Arlington,,,934,54,2,0,990
Athens,,,88,8,0,0,96
Bakersfield,,,480,31,2,0,513
Baltimore,,,89,3,0,0,92
Barnard,,,415,73,1,0,489
Barnet,,,725,37,2,0,764
"Barre City",-,"Washington 3-1","1,555",62,2,0,"1,619"
"Barre City",-,"Washington 3-2","1,226",52,3,0,"1,281"
"Barre City",-,"Washington 3-3",236,12,0,0,248
"Barre Town",,,"3,414",113,12,0,"3,539"
Barton,,,991,52,1,0,"1,044"
Belvidere,,,113,9,0,0,122
Bennington,-,"Bennington 2-1","1,780",118,2,0,"1,900"
Bennington,-,"Bennington 2-1 Nb",386,50,2,0,438
Bennington,-,"Bennington 2-2","2,217",152,5,0,"2,374"
Bennington,-,"Bennington 5",42,2,0,0,44
Benson,,,351,38,0,0,389
Berkshire,,,526,20,0,0,546
Berlin,,,"1,062",46,4,0,"1,112"
Bethel,,,810,52,0,0,862
Bloomfield,,,76,7,0,0,83
Bolton,,,473,24,0,0,497
Bradford,,,867,73,1,0,941
Braintree,,,499,24,0,0,523
Brandon,,,"1,571",93,1,0,"1,665"
Brattleboro,-,"Windham 3-1","1,480",149,2,0,"1,631"
Brattleboro,-,"Windham 3-2","1,157",161,2,0,"1,320"
Brattleboro,-,"Windham 3-3","1,340",133,3,0,"1,476"
Bridgewater,,,315,90,1,0,406
Bridport,,,565,34,3,0,602
Brighton,,,488,31,0,0,519
Bristol,,,"1,497",77,4,0,"1,578"
Brookfield,,,563,34,2,0,599
Brookline,,,201,21,0,0,222
Brownington,,,287,18,0,0,305
Brunswick,,,43,0,0,0,43
Burke,,,603,35,0,0,638
Burlington,-,"Chittenden 3-1","3,040",122,7,0,"3,169"
Burlington,-,"Chittenden 3-2","1,624",85,7,0,"1,716"
Burlington,-,"Chittenden 3-3","2,278",368,23,0,"2,669"
Burlington,-,"Chittenden 3-4","1,534",194,16,0,"1,744"
Burlington,-,"Chittenden 3-5","3,361",196,28,0,"3,585"
Burlington,-,"Chittenden 3-6",449,32,3,0,484
Cabot,,,590,34,1,0,625
Calais,,,824,36,0,0,860
Cambridge,,,"1,368",82,2,0,"1,452"
Canaan,,,314,24,0,0,338
Castleton,,,"1,298",81,6,0,"1,385"
Cavendish,,,477,50,0,0,527
Charleston,,,354,17,1,0,372
Charlotte,,,"1,869",76,2,0,"1,947"
Chelsea,,,546,36,0,0,582
Chester,,,"1,273",75,3,0,"1,351"
Chittenden,,,533,32,0,0,565
Clarendon,,,939,63,2,0,"1,004"
Colchester,-,"Chittenden 7-1","2,589",96,6,0,"2,691"
Colchester,-,"Chittenden 7-2","3,170",111,6,0,"3,287"
Concord,,,426,49,1,0,476
Corinth,,,498,46,0,0,544
Cornwall,,,579,15,2,0,596
Coventry,,,320,22,0,0,342
Craftsbury,,,524,32,3,0,559
Danby,,,567,48,0,0,615
Danville,,,983,91,0,0,"1,074"
Derby,,,"1,636",72,0,0,"1,708"
Dorset,,,877,45,2,0,924
Dover,,,486,38,3,0,527
Dummerston,,,803,68,1,0,872
Duxbury,,,566,23,2,0,591
"E. Haven",,,121,12,0,0,133
"E. Montpelier",,,"1,327",55,4,0,"1,386"
Eden,,,358,25,0,0,383
Elmore,,,375,26,1,0,402
Enosburgh,,,838,52,1,0,891
Essex,-,"Chittenden 6-1","3,332",80,15,0,"3,427"
Essex,-,"Chittenden 6-2","3,632",105,13,0,"3,750"
Essex,-,"Chittenden 6-3","1,095",33,3,0,"1,131"
"Fair Haven",,,904,50,3,0,957
Fairfax,,,"1,559",60,9,0,"1,628"
Fairfield,,,779,31,0,0,810
Fairlee,,,390,33,0,0,423
Fayston,,,551,26,1,0,578
Ferrisburgh,,,"1,238",46,1,0,"1,285"
