City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,46,1,0,47
Albany,,,26,1,0,27
Alburgh,,,69,4,0,73
Andover,,,40,0,0,40
Arlington,,,77,0,0,77
Athens,,,17,0,0,17
Bakersfield,,,54,3,0,57
Baltimore,,,12,1,0,13
Barnard,,,70,1,0,71
Barnet,,,73,1,0,74
"Barre City",-,"Washington 3-1",159,9,0,168
"Barre City",-,"Washington 3-2",124,6,0,130
"Barre City",-,"Washington 3-3",28,1,0,29
"Barre Town",,,292,15,0,307
Barton,,,85,7,0,92
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",206,3,0,209
Bennington,-,"Bennington 2-1 Nb",54,0,0,54
Bennington,-,"Bennington 2-2",218,3,0,221
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,35,1,0,36
Berkshire,,,47,1,0,48
Berlin,,,120,0,0,120
Bethel,,,111,1,0,112
Bloomfield,,,11,0,0,11
Bolton,,,66,1,0,67
Bradford,,,129,5,0,134
Braintree,,,59,0,0,59
Brandon,,,192,2,0,194
Brattleboro,-,"Windham 3-1",225,4,0,229
Brattleboro,-,"Windham 3-2",260,3,0,263
Brattleboro,-,"Windham 3-3",223,7,0,230
Bridgewater,,,65,4,0,69
Bridport,,,68,2,0,70
Brighton,,,78,1,0,79
Bristol,,,161,3,0,164
Brookfield,,,63,1,0,64
Brookline,,,32,0,0,32
Brownington,,,25,1,0,26
Brunswick,,,9,1,0,10
Burke,,,38,0,0,38
Burlington,-,"Chittenden 3-1",637,13,0,650
Burlington,-,"Chittenden 3-2",335,6,0,341
Burlington,-,"Chittenden 3-3",463,7,0,470
Burlington,-,"Chittenden 3-4",269,7,0,276
Burlington,-,"Chittenden 3-5",924,11,0,935
Burlington,-,"Chittenden 3-6",106,2,0,108
Cabot,,,60,1,0,61
Calais,,,165,0,0,165
Cambridge,,,77,5,0,82
Canaan,,,38,1,0,39
Castleton,,,62,0,0,62
Cavendish,,,89,0,0,89
Charleston,,,23,1,0,24
Charlotte,,,425,0,0,425
Chelsea,,,67,2,0,69
Chester,,,232,2,0,234
Chittenden,,,34,0,0,34
Clarendon,,,72,0,0,72
Colchester,-,"Chittenden 7-1",176,4,0,180
Colchester,-,"Chittenden 7-2",329,5,0,334
Concord,,,38,0,0,38
Corinth,,,93,0,0,93
Cornwall,,,97,2,0,99
Coventry,,,32,1,0,33
Craftsbury,,,81,3,0,84
Danby,,,108,3,0,111
Danville,,,94,2,0,96
Derby,,,138,15,0,153
Dorset,,,74,1,0,75
Dover,,,30,0,0,30
Dummerston,,,216,4,0,220
Duxbury,,,58,2,0,60
"E. Haven",,,18,0,0,18
"E. Montpelier",,,134,2,0,136
Eden,,,44,4,0,48
Elmore,,,53,3,0,56
Enosburgh,,,82,1,0,83
Essex,-,"Chittenden 6-1",191,2,0,193
Essex,-,"Chittenden 6-2",295,6,0,301
Essex,-,"Chittenden 6-3",86,3,0,89
"Fair Haven",,,42,0,0,42
Fairfax,,,97,2,0,99
Fairfield,,,91,9,0,100
Fairlee,,,60,0,0,60
Fayston,,,41,0,0,41
Ferrisburgh,,,139,1,0,140
Fletcher,,,36,0,0,36
Franklin,,,62,4,0,66
Georgia,,,104,1,0,105
Glover,,,46,2,0,48
Goshen,,,12,3,0,15
Grafton,,,46,0,0,46
Granby,,,3,0,0,3
"Grand Isle",,,113,7,0,120
Granville,,,16,0,0,16
Greensboro,,,62,1,0,63
Groton,,,34,2,0,36
Guildhall,,,3,0,0,3
Guilford,,,114,2,0,116
Halifax,,,26,2,0,28
Hancock,,,15,2,0,17
Hardwick,,,148,6,0,154
