City/Town,Ward,Pct,"Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bakersfield,,,1,0,0,1
"Barre City",-,"Washington 3-1",2,0,0,2
"Barre City",-,"Washington 3-2",0,0,0,0
"Barre City",-,"Washington 3-3",0,0,0,0
Barton,-,"Barton Memorial",1,0,0,1
Barton,-,"Orleans Memorial",0,0,0,0
Bennington,-,"Bennington 2-1",1,0,0,1
Bennington,-,"Bennington 2-1 Nb",0,0,0,0
Bennington,-,"Bennington 2-2",2,1,0,3
Bennington,-,"Bennington 5",1,0,0,1
Berkshire,,,1,0,0,1
Berlin,,,1,1,0,2
Brandon,,,2,0,0,2
Brattleboro,-,"Windham 3-1",3,0,0,3
Brattleboro,-,"Windham 3-2",3,0,0,3
Brattleboro,-,"Windham 3-3",1,0,0,1
Brighton,,,1,0,0,1
Burlington,-,"Chittenden 3-1",1,0,0,1
Burlington,-,"Chittenden 3-2",1,0,0,1
Burlington,-,"Chittenden 3-3",0,0,0,0
Burlington,-,"Chittenden 3-4",1,0,0,1
Burlington,-,"Chittenden 3-5",0,0,0,0
Burlington,-,"Chittenden 3-6",0,0,0,0
Castleton,,,1,0,0,1
Chittenden,,,1,0,0,1
Colchester,-,"Chittenden 7-1",2,0,0,2
Colchester,-,"Chittenden 7-2",0,0,0,0
Concord,,,1,0,0,1
Corinth,,,1,0,0,1
Danby,,,1,0,0,1
Danville,,,1,0,0,1
Dorset,,,1,0,0,1
Dummerston,,,1,0,0,1
"E. Haven",,,1,0,0,1
Elmore,,,0,1,0,1
Fairfax,,,1,0,0,1
Fairfield,,,1,0,0,1
Groton,,,1,0,0,1
Hancock,,,1,0,0,1
Hardwick,,,2,0,0,2
Lincoln,,,1,0,0,1
Londonderry,,,2,0,0,2
Ludlow,,,1,0,0,1
Lunenburg,,,0,1,0,1
Manchester,,,1,0,0,1
Middlebury,,,1,0,0,1
Milton,-,"Chittenden 9",1,0,0,1
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Montpelier,,,1,0,0,1
Newbury,-,"Center Town House",2,0,0,2
Newbury,-,"Town Office",0,0,0,0
Newbury,-,"West River Village",0,0,0,0
Newfane,,,2,0,0,2
Northfield,,,1,0,0,1
Norwich,,,1,0,0,1
Orange,,,1,0,0,1
Orwell,,,1,0,0,1
Peru,,,1,0,0,1
Plymouth,,,1,0,0,1
Pomfret,,,1,0,0,1
Putney,,,1,0,0,1
Richford,,,1,0,0,1
Rockingham,,,3,0,0,3
Shaftsbury,,,2,0,0,2
Shoreham,,,1,0,0,1
"S. Burlington",-,"Chittenden 3-10",0,0,0,0
"S. Burlington",-,"Chittenden 3-7",1,1,0,2
"S. Burlington",-,"Chittenden 3-8",0,0,0,0
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",2,0,0,2
"St. Albans Town",,,2,0,0,2
Stowe,,,1,0,0,1
Swanton,,,1,0,0,1
Tinmouth,,,1,0,0,1
Townshend,,,2,0,0,2
Vernon,,,2,0,0,2
Waitsfield,,,1,0,0,1
Westminster,-,"Windham 4",2,0,0,2
Westminster,-,"Windham 5",1,0,0,1
Wilmington,,,2,0,0,2
Windham,,,1,0,0,1
Woodford,,,1,0,0,1
Woodstock,,,1,1,0,2
TOTALS,,,88,6,0,94
