City/Town,Ward,Pct,"Dennis Carver","Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,77,52,4,0,133
Albany,,,46,12,4,0,62
Alburgh,,,73,25,9,0,107
Andover,,,23,13,0,0,36
Arlington,,,74,42,2,0,118
Athens,,,7,4,0,0,11
Bakersfield,,,42,13,2,0,57
Baltimore,,,8,6,0,0,14
Barnard,,,26,26,0,0,52
Barnet,,,77,26,3,0,106
"Barre City",-,"Washington 3-1",181,76,16,0,273
"Barre City",-,"Washington 3-2",143,48,14,0,205
"Barre City",-,"Washington 3-3",20,11,3,0,34
"Barre Town",,,441,157,84,0,682
Barton,,,93,33,29,0,155
Belvidere,,,11,10,2,0,23
Bennington,-,"Bennington 2-1",112,69,5,0,186
Bennington,-,"Bennington 2-1 Nb",14,16,1,0,31
Bennington,-,"Bennington 2-2",125,69,2,0,196
Bennington,-,"Bennington 5",5,4,0,0,9
Benson,,,21,14,1,0,36
Berkshire,,,38,15,3,0,56
Berlin,,,100,38,8,0,146
Bethel,,,60,33,5,0,98
Bloomfield,,,7,1,0,0,8
Bolton,,,34,22,2,0,58
Bradford,,,103,41,4,0,148
Braintree,,,39,42,3,0,84
Brandon,,,130,114,4,0,248
Brattleboro,-,"Windham 3-1",40,39,4,0,83
Brattleboro,-,"Windham 3-2",42,17,4,0,63
Brattleboro,-,"Windham 3-3",36,23,2,0,61
Bridgewater,,,30,23,5,0,58
Bridport,,,107,25,6,0,138
Brighton,,,67,34,28,0,129
Bristol,,,127,66,8,0,201
Brookfield,,,56,34,3,0,93
Brookline,,,9,9,0,0,18
Brownington,,,24,9,0,0,33
Brunswick,,,10,1,0,0,11
Burke,,,61,22,2,0,85
Burlington,-,"Chittenden 3-1",292,110,7,0,409
Burlington,-,"Chittenden 3-2",121,57,12,0,190
Burlington,-,"Chittenden 3-3",69,31,6,0,106
Burlington,-,"Chittenden 3-4",45,36,8,0,89
Burlington,-,"Chittenden 3-5",189,67,11,0,267
Burlington,-,"Chittenden 3-6",15,6,0,0,21
Cabot,,,32,22,3,0,57
Calais,,,70,29,2,0,101
Cambridge,,,85,34,13,0,132
Canaan,,,33,17,1,0,51
Castleton,,,91,60,3,0,154
Cavendish,,,47,24,2,0,73
Charleston,,,30,9,2,0,41
Charlotte,,,116,50,4,0,170
Chelsea,,,81,40,2,0,123
Chester,,,81,55,2,0,138
Chittenden,,,43,17,1,0,61
