City/Town,Ward,Pct,"Scudder Parker",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,49,6,0,55
Albany,,,24,1,0,25
Alburgh,,,48,21,0,69
Andover,,,37,1,0,38
Arlington,,,77,1,0,78
Athens,,,16,2,0,18
Bakersfield,,,48,6,0,54
Baltimore,,,13,3,0,16
Barnard,,,63,7,0,70
Barnet,,,76,4,0,80
"Barre City",-,"Washington 3-1",171,10,0,181
"Barre City",-,"Washington 3-2",113,15,0,128
"Barre City",-,"Washington 3-3",25,3,0,28
"Barre Town",,,259,45,0,304
Barton,,,75,22,0,97
Belvidere,,,6,0,0,6
Bennington,-,"Bennington 2-1",192,16,0,208
Bennington,-,"Bennington 2-1 Nb",61,0,0,61
Bennington,-,"Bennington 2-2",218,18,0,236
Bennington,-,"Bennington 5",1,0,0,1
Benson,,,30,2,0,32
Berkshire,,,43,4,0,47
Berlin,,,111,7,0,118
Bethel,,,119,6,0,125
Bloomfield,,,8,0,0,8
Bolton,,,59,4,0,63
Bradford,,,122,14,0,136
Braintree,,,59,1,0,60
Brandon,,,189,7,0,196
Brattleboro,-,"Windham 3-1",243,7,0,250
Brattleboro,-,"Windham 3-2",265,3,0,268
Brattleboro,-,"Windham 3-3",271,2,0,273
Bridgewater,,,59,9,0,68
Bridport,,,64,4,0,68
Brighton,,,70,3,0,73
Bristol,,,169,10,0,179
Brookfield,,,65,3,0,68
Brookline,,,34,0,0,34
Brownington,,,24,2,0,26
Brunswick,,,6,3,0,9
Burke,,,37,1,0,38
Burlington,-,"Chittenden 3-1",652,21,0,673
Burlington,-,"Chittenden 3-2",368,16,0,384
Burlington,-,"Chittenden 3-3",523,15,0,538
Burlington,-,"Chittenden 3-4",328,7,0,335
Burlington,-,"Chittenden 3-5","1,037",15,0,"1,052"
Burlington,-,"Chittenden 3-6",118,1,0,119
Cabot,,,65,2,0,67
Calais,,,179,4,0,183
Cambridge,,,78,10,0,88
Canaan,,,33,4,0,37
Castleton,,,51,2,0,53
Cavendish,,,74,2,0,76
Charleston,,,21,3,0,24
Charlotte,,,461,6,0,467
Chelsea,,,73,4,0,77
Chester,,,209,6,0,215
Chittenden,,,38,0,0,38
Clarendon,,,63,2,0,65
Colchester,-,"Chittenden 7-1",201,13,0,214
Colchester,-,"Chittenden 7-2",336,14,0,350
Concord,,,40,4,0,44
Corinth,,,99,2,0,101
Cornwall,,,99,3,0,102
Coventry,,,33,3,0,36
Craftsbury,,,83,5,0,88
Danby,,,96,9,0,105
Danville,,,94,5,0,99
Derby,,,131,31,0,162
Dorset,,,82,2,0,84
Dover,,,30,1,0,31
Dummerston,,,244,9,0,253
Duxbury,,,68,0,0,68
"E. Haven",,,16,2,0,18
"E. Montpelier",,,148,3,0,151
Eden,,,42,9,0,51
Elmore,,,54,10,0,64
Enosburgh,,,72,7,0,79
Essex,-,"Chittenden 6-1",191,4,0,195
Essex,-,"Chittenden 6-2",309,5,0,314
Essex,-,"Chittenden 6-3",88,2,0,90
"Fair Haven",,,38,2,0,40
Fairfax,,,93,11,0,104
Fairfield,,,63,31,0,94
Fairlee,,,58,1,0,59
Fayston,,,51,0,0,51
Ferrisburgh,,,144,6,0,150
Fletcher,,,41,0,0,41
Franklin,,,48,10,0,58
Georgia,,,99,10,0,109
Glover,,,43,12,0,55
Goshen,,,9,5,0,14
Grafton,,,41,0,0,41
Granby,,,3,0,0,3
"Grand Isle",,,91,33,0,124
Granville,,,17,1,0,18
Greensboro,,,80,1,0,81
Groton,,,33,5,0,38
Guildhall,,,2,1,0,3
Guilford,,,131,5,0,136
Halifax,,,27,2,0,29
Hancock,,,12,3,0,15
Hardwick,,,149,17,0,166
Hartford,-,"Windsor 6-1",84,2,0,86
Hartford,-,"Windsor 6-2",326,21,0,347
Hartland,,,368,33,0,401
Highgate,,,73,38,0,111
Hinesburg,-,"Chittenden 1-1",245,4,0,249
Hinesburg,-,"Chittenden 1-2",11,0,0,11
Holland,,,11,6,0,17
Hubbardton,,,13,1,0,14
Huntington,,,166,0,0,166
"Hyde Park",,,92,7,0,99
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",20,0,0,20
Irasburg,,,20,9,0,29
"Isle La Motte",,,35,5,0,40
Jamaica,,,42,4,0,46
Jay,,,14,1,0,15
Jericho,,,296,3,0,299
Johnson,,,49,5,0,54
Killington,,,23,3,0,26
Kirby,,,19,2,0,21
Landgrove,,,21,1,0,22
Leicester,,,50,5,0,55
Lemington,,,4,0,0,4
Lincoln,,,123,2,0,125
Londonderry,,,57,5,0,62
Lowell,,,24,8,0,32
Ludlow,,,199,9,0,208
Lunenburg,,,50,15,0,65
Lyndon,,,123,10,0,133
Maidstone,,,5,2,0,7
Manchester,,,118,0,0,118
Marlboro,,,112,0,0,112
Marshfield,,,66,3,0,69
Mendon,,,40,1,0,41
Middlebury,,,410,3,0,413
Middlesex,,,130,1,0,131
"Middletown Springs",,,81,0,0,81
Milton,-,"Chittenden 9",209,12,0,221
Milton,-,"Grand Isle-Chittenden 1-1",33,2,0,35
Monkton,,,64,4,0,68
Montgomery,,,33,8,0,41
Montpelier,,,782,3,0,785
Moretown,,,131,2,0,133
Morgan,,,27,4,0,31
Morristown,,,251,11,0,262
"Mount Holly",,,124,1,0,125
"Mount Tabor",,,14,0,0,14
"New Haven",,,110,2,0,112
Newark,,,18,1,0,19
Newbury,-,"Center Town House",64,4,0,68
Newbury,-,"Town Office",28,2,0,30
Newbury,-,"West River Village",20,2,0,22
Newfane,,,183,5,0,188
"Newport City",,,148,11,0,159
"Newport Town",,,52,5,0,57
"N. Hero",,,34,4,0,38
Northfield,,,217,5,0,222
Norton,,,3,2,0,5
Norwich,,,753,11,0,764
Orange,,,13,8,0,21
Orwell,,,42,11,0,53
Panton,,,29,5,0,34
Pawlet,,,49,6,0,55
Peacham,,,63,1,0,64
Peru,,,31,0,0,31
Pittsfield,,,25,1,0,26
Pittsford,,,77,5,0,82
Plainfield,,,88,0,0,88
Plymouth,,,34,0,0,34
Pomfret,,,83,6,0,89
Poultney,,,77,3,0,80
Pownal,,,114,6,0,120
Proctor,,,41,2,0,43
Putney,,,383,3,0,386
Randolph,,,245,13,0,258
Reading,,,58,0,0,58
Readsboro,,,44,0,0,44
Richford,,,78,5,0,83
Richmond,,,338,5,0,343
Ripton,,,63,2,0,65
Rochester,,,101,5,0,106
Rockingham,,,391,21,0,412
Roxbury,,,35,1,0,36
Royalton,,,127,6,0,133
Rupert,,,42,0,0,42
"Rutland City",-,"Rutland 5-1",146,5,0,151
"Rutland City",-,"Rutland 5-2",127,4,0,131
"Rutland City",-,"Rutland 5-3",77,4,0,81
"Rutland City",-,"Rutland 5-4",145,10,0,155
"Rutland Town",-,"Elem. School",93,5,0,98
"Rutland Town",-,"Town Hall",35,2,0,37
Ryegate,,,41,2,0,43
Salisbury,,,57,1,0,58
Sandgate,,,35,1,0,36
Searsburg,,,4,0,0,4
Shaftsbury,,,229,7,0,236
Sharon,,,118,5,0,123
Sheffield,,,21,6,0,27
Shelburne,-,"Chittenden 5-1",359,19,0,378
Shelburne,-,"Chittenden 5-2",216,11,0,227
Sheldon,,,34,20,0,54
Shoreham,,,51,3,0,54
Shrewsbury,,,63,1,0,64
"S. Burlington",-,"Chittenden 3-10",228,3,0,231
"S. Burlington",-,"Chittenden 3-7",310,10,0,320
"S. Burlington",-,"Chittenden 3-8",317,13,0,330
"S. Burlington",-,"Chittenden 3-9",234,7,0,241
"S. Hero",,,131,16,0,147
Springfield,-,"Windsor 1-1",6,0,0,6
