City/Town,Ward,Pct,"Matt Dunne","John Patrick Tracy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,27,24,4,0,55
Albany,,,13,11,1,0,25
Alburgh,,,26,28,15,0,69
Andover,,,32,8,0,0,40
Arlington,,,41,38,0,0,79
Athens,,,10,7,0,0,17
Bakersfield,,,29,24,3,0,56
Baltimore,,,8,7,1,0,16
Barnard,,,67,4,5,0,76
Barnet,,,46,34,2,0,82
"Barre City",-,"Washington 3-1",117,56,12,0,185
"Barre City",-,"Washington 3-2",71,54,8,0,133
"Barre City",-,"Washington 3-3",14,12,2,0,28
"Barre Town",,,145,118,47,0,310
Barton,,,41,35,19,0,95
Belvidere,,,2,5,0,0,7
Bennington,-,"Bennington 2-1",130,85,9,0,224
Bennington,-,"Bennington 2-1 Nb",37,21,0,0,58
Bennington,-,"Bennington 2-2",130,110,8,0,248
Bennington,-,"Bennington 5",1,1,0,0,2
Benson,,,17,18,0,0,35
Berkshire,,,20,25,1,0,46
Berlin,,,65,59,2,0,126
Bethel,,,116,21,0,0,137
Bloomfield,,,3,6,0,0,9
Bolton,,,29,32,3,0,64
Bradford,,,88,45,9,0,142
Braintree,,,44,15,2,0,61
Brandon,,,117,81,4,0,202
Brattleboro,-,"Windham 3-1",213,52,3,0,268
Brattleboro,-,"Windham 3-2",214,77,1,0,292
Brattleboro,-,"Windham 3-3",224,51,4,0,279
Bridgewater,,,56,14,2,0,72
Bridport,,,43,25,1,0,69
Brighton,,,45,37,0,0,82
Bristol,,,100,73,6,0,179
Brookfield,,,50,12,3,0,65
Brookline,,,24,8,0,0,32
Brownington,,,24,1,0,0,25
Brunswick,,,4,2,2,0,8
Burke,,,20,17,1,0,38
Burlington,-,"Chittenden 3-1",186,571,10,0,767
Burlington,-,"Chittenden 3-2",112,304,8,0,424
Burlington,-,"Chittenden 3-3",161,427,5,0,593
Burlington,-,"Chittenden 3-4",153,203,3,0,359
Burlington,-,"Chittenden 3-5",407,730,6,0,"1,143"
Burlington,-,"Chittenden 3-6",45,78,0,0,123
Cabot,,,35,30,0,0,65
Calais,,,121,68,0,0,189
Cambridge,,,44,43,8,0,95
Canaan,,,23,15,1,0,39
Castleton,,,37,27,1,0,65
Cavendish,,,84,13,1,0,98
Charleston,,,18,7,0,0,25
Charlotte,,,190,267,1,0,458
Chelsea,,,57,14,2,0,73
Chester,,,218,36,2,0,256
Chittenden,,,22,18,0,0,40
Clarendon,,,35,35,2,0,72
Colchester,-,"Chittenden 7-1",64,159,10,0,233
Colchester,-,"Chittenden 7-2",103,265,8,0,376
Concord,,,21,18,3,0,42
Corinth,,,74,24,2,0,100
Cornwall,,,65,43,1,0,109
Coventry,,,17,17,3,0,37
Craftsbury,,,58,21,5,0,84
Danby,,,49,51,4,0,104
Danville,,,62,32,2,0,96
Derby,,,90,51,24,0,165
Dorset,,,53,29,1,0,83
Dover,,,20,9,0,0,29
Dummerston,,,211,34,7,0,252
Duxbury,,,40,28,0,0,68
"E. Haven",,,9,8,1,0,18
"E. Montpelier",,,96,61,5,0,162
Eden,,,21,23,8,0,52
Elmore,,,33,22,7,0,62
Enosburgh,,,29,51,3,0,83
Essex,-,"Chittenden 6-1",88,126,3,0,217
Essex,-,"Chittenden 6-2",160,173,5,0,338
Essex,-,"Chittenden 6-3",47,47,3,0,97
"Fair Haven",,,24,18,2,0,44
Fairfax,,,37,64,8,0,109
Fairfield,,,27,46,22,0,95
Fairlee,,,44,20,2,0,66
Fayston,,,26,22,0,0,48
Ferrisburgh,,,84,60,4,0,148
Fletcher,,,22,21,0,0,43
Franklin,,,26,32,5,0,63
Georgia,,,33,70,7,0,110
Glover,,,27,16,7,0,50
Goshen,,,7,4,3,0,14
Grafton,,,28,15,1,0,44
Granby,,,3,0,0,0,3
"Grand Isle",,,35,64,22,0,121
Granville,,,11,4,0,0,15
Greensboro,,,66,13,0,0,79
Groton,,,25,5,4,0,34
Guildhall,,,2,1,0,0,3
Guilford,,,109,27,1,0,137
Halifax,,,22,4,2,0,28
Hancock,,,12,3,2,0,17
Hardwick,,,77,63,15,0,155
Hartford,-,"Windsor 6-1",98,15,0,0,113
Hartford,-,"Windsor 6-2",377,29,5,0,411
Hartland,,,493,23,1,0,517
Highgate,,,39,43,31,0,113
Hinesburg,-,"Chittenden 1-1",121,131,1,0,253
Hinesburg,-,"Chittenden 1-2",8,2,0,0,10
Holland,,,5,5,5,0,15
Hubbardton,,,12,2,1,0,15
Huntington,,,84,81,1,0,166
"Hyde Park",,,80,23,4,0,107
Ira,-,"Rutland Rutland 1-1",0,1,0,0,1
Ira,-,"Rutland Rutland 1-2",11,9,0,0,20
Irasburg,,,18,6,5,0,29
"Isle La Motte",,,14,28,3,0,45
Jamaica,,,36,9,0,0,45
Jay,,,8,5,2,0,15
Jericho,,,108,182,3,0,293
Johnson,,,24,31,3,0,58
Killington,,,19,11,0,0,30
Kirby,,,9,12,1,0,22
Landgrove,,,11,12,0,0,23
Leicester,,,29,25,4,0,58
Lemington,,,2,2,1,0,5
Lincoln,,,70,43,3,0,116
Londonderry,,,42,20,1,0,63
Lowell,,,19,9,8,0,36
Ludlow,,,241,47,3,0,291
Lunenburg,,,24,27,13,0,64
Lyndon,,,74,50,7,0,131
Maidstone,,,2,4,0,0,6
Manchester,,,110,32,0,0,142
Marlboro,,,82,22,1,0,105
Marshfield,,,52,11,4,0,67
Mendon,,,18,29,0,0,47
Middlebury,,,270,149,3,0,422
Middlesex,,,93,40,0,0,133
"Middletown Springs",,,49,19,3,0,71
Milton,-,"Chittenden 9",89,170,4,0,263
Milton,-,"Grand Isle-Chittenden 1-1",15,20,0,0,35
Monkton,,,35,31,0,0,66
Montgomery,,,12,25,7,0,44
Montpelier,,,599,214,1,0,814
Moretown,,,73,59,0,0,132
Morgan,,,17,13,4,0,34
Morristown,,,137,115,13,0,265
"Mount Holly",,,74,53,8,0,135
"Mount Tabor",,,7,7,0,0,14
"New Haven",,,57,56,2,0,115
Newark,,,13,4,1,0,18
Newbury,-,"Center Town House",38,26,2,0,66
