City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,148,0,0,148
Albany,,,73,0,0,73
Alburgh,,,139,1,0,140
Andover,,,42,0,0,42
Arlington,,,133,0,0,133
Athens,,,13,0,0,13
Bakersfield,,,60,1,0,61
Baltimore,,,15,0,0,15
Barnard,,,58,1,0,59
Barnet,,,125,1,0,126
"Barre City",-,"Washington 3-1",308,9,0,317
"Barre City",-,"Washington 3-2",244,5,0,249
"Barre City",-,"Washington 3-3",37,1,0,38
"Barre Town",,,756,13,0,769
Barton,,,178,4,0,182
Belvidere,,,26,1,0,27
Bennington,-,"Bennington 2-1",229,4,0,233
Bennington,-,"Bennington 2-1 Nb",37,3,0,40
Bennington,-,"Bennington 2-2",259,3,0,262
Bennington,-,"Bennington 5",11,0,0,11
Benson,,,43,0,0,43
Berkshire,,,69,1,0,70
Berlin,,,186,2,0,188
Bethel,,,101,1,0,102
Bloomfield,,,9,0,0,9
Bolton,,,65,2,0,67
Bradford,,,168,2,0,170
Braintree,,,91,1,0,92
Brandon,,,298,0,0,298
Brattleboro,-,"Windham 3-1",107,0,0,107
Brattleboro,-,"Windham 3-2",73,1,0,74
Brattleboro,-,"Windham 3-3",69,2,0,71
Bridgewater,,,62,3,0,65
Bridport,,,156,1,0,157
Brighton,,,125,1,0,126
Bristol,,,217,4,0,221
Brookfield,,,102,3,0,105
Brookline,,,20,0,0,20
Brownington,,,40,0,0,40
Brunswick,,,11,0,0,11
Burke,,,100,0,0,100
Burlington,-,"Chittenden 3-1",512,2,0,514
Burlington,-,"Chittenden 3-2",226,4,0,230
Burlington,-,"Chittenden 3-3",127,4,0,131
Burlington,-,"Chittenden 3-4",101,12,0,113
Burlington,-,"Chittenden 3-5",340,9,0,349
Burlington,-,"Chittenden 3-6",36,1,0,37
Cabot,,,52,2,0,54
Calais,,,97,2,0,99
Cambridge,,,181,5,0,186
Canaan,,,54,1,0,55
Castleton,,,168,1,0,169
Cavendish,,,74,3,0,77
Charleston,,,47,0,0,47
Charlotte,,,231,2,0,233
Chelsea,,,141,0,0,141
Chester,,,166,2,0,168
Chittenden,,,75,2,0,77
Clarendon,,,137,0,0,137
Colchester,-,"Chittenden 7-1",317,6,0,323
Colchester,-,"Chittenden 7-2",558,5,0,563
Concord,,,61,1,0,62
Corinth,,,72,0,0,72
Cornwall,,,81,2,0,83
Coventry,,,83,1,0,84
Craftsbury,,,77,1,0,78
Danby,,,154,3,0,157
Danville,,,204,1,0,205
Derby,,,251,4,0,255
Dorset,,,129,0,0,129
Dover,,,64,0,0,64
Dummerston,,,50,1,0,51
Duxbury,,,82,1,0,83
"E. Haven",,,46,0,0,46
"E. Montpelier",,,210,3,0,213
Eden,,,73,3,0,76
Elmore,,,38,1,0,39
Enosburgh,,,89,1,0,90
Essex,-,"Chittenden 6-1",485,4,0,489
Essex,-,"Chittenden 6-2",514,3,0,517
Essex,-,"Chittenden 6-3",147,1,0,148
"Fair Haven",,,90,0,0,90
Fairfax,,,206,3,0,209
Fairfield,,,64,2,0,66
Fairlee,,,53,1,0,54
Fayston,,,47,0,0,47
Ferrisburgh,,,266,4,0,270
Fletcher,,,51,0,0,51
Franklin,,,95,1,0,96
Georgia,,,262,2,0,264
Glover,,,75,3,0,78
Goshen,,,22,1,0,23
Grafton,,,30,1,0,31
Granby,,,17,0,0,17
"Grand Isle",,,184,5,0,189
Granville,,,14,0,0,14
Greensboro,,,53,1,0,54
Groton,,,83,1,0,84
Guildhall,,,43,0,0,43
Guilford,,,56,1,0,57
Halifax,,,33,0,0,33
Hancock,,,19,0,0,19
Hardwick,,,120,5,0,125
Hartford,-,"Windsor 6-1",66,3,0,69
Hartford,-,"Windsor 6-2",204,1,0,205
Hartland,,,144,18,0,162
Highgate,,,118,1,0,119
Hinesburg,-,"Chittenden 1-1",178,3,0,181
Hinesburg,-,"Chittenden 1-2",6,0,0,6
Holland,,,42,0,0,42
Hubbardton,,,32,0,0,32
Huntington,,,88,0,0,88
"Hyde Park",,,152,4,0,156
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",21,0,0,21
Irasburg,,,53,2,0,55
"Isle La Motte",,,51,0,0,51
Jamaica,,,42,2,0,44
Jay,,,31,0,0,31
Jericho,,,388,4,0,392
Johnson,,,81,10,0,91
Killington,,,61,1,0,62
Kirby,,,23,2,0,25
Landgrove,,,17,0,0,17
Leicester,,,77,1,0,78
Lemington,,,8,0,0,8
Lincoln,,,108,4,0,112
Londonderry,,,69,3,0,72
Lowell,,,35,1,0,36
Ludlow,,,97,0,0,97
Lunenburg,,,96,2,0,98
Lyndon,,,273,1,0,274
Maidstone,,,21,0,0,21
Manchester,,,219,2,0,221
Marlboro,,,31,1,0,32
Marshfield,,,71,8,0,79
Mendon,,,92,0,0,92
Middlebury,,,306,8,0,314
Middlesex,,,97,1,0,98
"Middletown Springs",,,51,1,0,52
Milton,-,"Chittenden 9",406,3,0,409
Milton,-,"Grand Isle-Chittenden 1-1",81,0,0,81
Monkton,,,108,0,0,108
Montgomery,,,37,4,0,41
Montpelier,,,460,12,0,472
Moretown,,,117,1,0,118
Morgan,,,72,0,0,72
Morristown,,,251,3,0,254
"Mount Holly",,,86,0,0,86
"Mount Tabor",,,10,0,0,10
"New Haven",,,129,3,0,132
Newark,,,43,0,0,43
Newbury,-,"Center Town House",84,2,0,86
Newbury,-,"Town Office",37,1,0,38
Newbury,-,"West River Village",33,1,0,34
Newfane,,,59,1,0,60
"Newport City",,,313,4,0,317
"Newport Town",,,115,0,0,115
"N. Hero",,,101,0,0,101
Northfield,,,379,4,0,383
Norton,,,19,0,0,19
Norwich,,,68,3,0,71
Orange,,,110,0,0,110
Orwell,,,115,3,0,118
Panton,,,62,0,0,62
Pawlet,,,69,0,0,69
Peacham,,,59,0,0,59
Peru,,,30,0,0,30
Pittsfield,,,57,0,0,57
Pittsford,,,151,2,0,153
Plainfield,,,56,1,0,57
Plymouth,,,31,0,0,31
Pomfret,,,47,0,0,47
Poultney,,,265,2,0,267
Pownal,,,122,1,0,123
Proctor,,,91,0,0,91
Putney,,,39,0,0,39
Randolph,,,404,12,0,416
Reading,,,31,1,0,32
Readsboro,,,33,0,0,33
Richford,,,86,0,0,86
Richmond,,,254,0,0,254
Ripton,,,16,0,0,16
Rochester,,,74,1,0,75
Rockingham,,,109,3,0,112
Roxbury,,,39,1,0,40
Royalton,,,101,2,0,103
Rupert,,,33,0,0,33
