City/Town,Ward,Pct,"Martha Rainville","Mark Shepard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,116,45,0,0,161
Albany,,,59,16,1,0,76
Alburgh,,,112,23,3,0,138
Andover,,,28,17,0,0,45
Arlington,,,55,105,0,0,160
Athens,,,8,5,0,0,13
Bakersfield,,,50,20,0,0,70
Baltimore,,,14,1,0,0,15
Barnard,,,51,11,0,0,62
Barnet,,,88,49,0,0,137
"Barre City",-,"Washington 3-1",252,82,6,0,340
"Barre City",-,"Washington 3-2",190,97,2,0,289
"Barre City",-,"Washington 3-3",31,8,0,0,39
"Barre Town",,,605,195,12,0,812
Barton,,,135,50,7,0,192
Belvidere,,,18,11,0,0,29
Bennington,-,"Bennington 2-1",96,195,4,0,295
Bennington,-,"Bennington 2-1 Nb",21,36,0,0,57
Bennington,-,"Bennington 2-2",111,207,0,0,318
Bennington,-,"Bennington 5",2,10,0,0,12
Benson,,,27,19,1,0,47
Berkshire,,,63,10,0,0,73
Berlin,,,158,41,2,0,201
Bethel,,,86,21,0,0,107
Bloomfield,,,7,2,0,0,9
Bolton,,,64,13,0,0,77
Bradford,,,123,60,4,0,187
Braintree,,,72,25,0,0,97
Brandon,,,246,82,0,0,328
Brattleboro,-,"Windham 3-1",80,35,2,0,117
Brattleboro,-,"Windham 3-2",55,28,1,0,84
Brattleboro,-,"Windham 3-3",57,26,0,0,83
Bridgewater,,,48,14,4,0,66
Bridport,,,117,40,2,0,159
Brighton,,,106,29,0,0,135
Bristol,,,182,50,2,0,234
Brookfield,,,96,18,2,0,116
Brookline,,,11,9,0,0,20
Brownington,,,30,9,0,0,39
Brunswick,,,8,4,1,0,13
Burke,,,83,28,0,0,111
Burlington,-,"Chittenden 3-1",434,126,0,0,560
Burlington,-,"Chittenden 3-2",191,68,1,0,260
Burlington,-,"Chittenden 3-3",109,41,2,0,152
Burlington,-,"Chittenden 3-4",75,55,1,0,131
Burlington,-,"Chittenden 3-5",296,86,2,0,384
Burlington,-,"Chittenden 3-6",28,15,0,0,43
Cabot,,,51,20,1,0,72
Calais,,,92,30,0,0,122
Cambridge,,,149,43,0,0,192
Canaan,,,47,9,0,0,56
Castleton,,,122,64,1,0,187
Cavendish,,,54,28,1,0,83
Charleston,,,36,16,0,0,52
Charlotte,,,205,47,0,0,252
Chelsea,,,131,12,2,0,145
Chester,,,85,90,1,0,176
Chittenden,,,39,43,1,0,83
Clarendon,,,108,40,0,0,148
Colchester,-,"Chittenden 7-1",268,81,0,0,349
Colchester,-,"Chittenden 7-2",470,144,2,0,616
Concord,,,46,19,0,0,65
Corinth,,,46,32,0,0,78
Cornwall,,,59,29,0,0,88
Coventry,,,66,20,1,0,87
Craftsbury,,,63,24,0,0,87
Danby,,,116,46,0,0,162
Danville,,,165,66,0,0,231
Derby,,,188,74,4,0,266
Dorset,,,76,63,0,0,139
Dover,,,34,29,1,0,64
Dummerston,,,45,7,0,0,52
Duxbury,,,77,15,0,0,92
"E. Haven",,,40,7,1,0,48
"E. Montpelier",,,174,66,1,0,241
Eden,,,71,12,1,0,84
Elmore,,,32,9,1,0,42
Enosburgh,,,77,21,0,0,98
Essex,-,"Chittenden 6-1",392,131,2,0,525
Essex,-,"Chittenden 6-2",412,136,0,0,548
Essex,-,"Chittenden 6-3",117,47,0,0,164
"Fair Haven",,,65,33,1,0,99
Fairfax,,,162,62,0,0,224
Fairfield,,,55,15,1,0,71
Fairlee,,,48,11,1,0,60
Fayston,,,46,10,0,0,56
Ferrisburgh,,,213,77,2,0,292
Fletcher,,,39,20,0,0,59
Franklin,,,84,16,0,0,100
Georgia,,,221,53,0,0,274
Glover,,,63,19,1,0,83
Goshen,,,18,6,0,0,24
Grafton,,,23,11,0,0,34
Granby,,,11,6,0,0,17
"Grand Isle",,,173,31,2,0,206
Granville,,,13,1,0,0,14
Greensboro,,,36,21,0,0,57
Groton,,,63,26,1,0,90
Guildhall,,,31,8,0,0,39
Guilford,,,49,15,0,0,64
Halifax,,,11,23,0,0,34
Hancock,,,16,4,0,0,20
Hardwick,,,98,32,0,0,130
Hartford,-,"Windsor 6-1",60,13,0,0,73
Hartford,-,"Windsor 6-2",160,57,1,0,218
Hartland,,,103,72,6,0,181
Highgate,,,109,16,1,0,126
Hinesburg,-,"Chittenden 1-1",138,66,0,0,204
Hinesburg,-,"Chittenden 1-2",4,2,0,0,6
Holland,,,33,11,1,0,45
Hubbardton,,,24,10,0,0,34
Huntington,,,74,32,0,0,106
"Hyde Park",,,133,32,0,0,165
Ira,-,"Rutland Rutland 1-1",2,0,0,0,2
Ira,-,"Rutland Rutland 1-2",11,11,0,0,22
Irasburg,,,32,18,5,0,55
"Isle La Motte",,,46,10,2,0,58
Jamaica,,,37,15,0,0,52
Jay,,,24,11,1,0,36
Jericho,,,316,112,1,0,429
Johnson,,,71,45,6,0,122
Killington,,,55,13,2,0,70
Kirby,,,14,16,0,0,30
Landgrove,,,17,4,0,0,21
Leicester,,,61,20,0,0,81
Lemington,,,6,2,0,0,8
Lincoln,,,93,23,4,0,120
Londonderry,,,60,21,0,0,81
Lowell,,,29,9,0,0,38
Ludlow,,,76,23,1,0,100
Lunenburg,,,78,21,3,0,102
Lyndon,,,196,97,0,0,293
Maidstone,,,18,3,0,0,21
Manchester,,,123,124,0,0,247
Marlboro,,,23,16,0,0,39
Marshfield,,,56,45,0,0,101
Mendon,,,82,24,0,0,106
Middlebury,,,244,65,1,0,310
Middlesex,,,69,50,1,0,120
"Middletown Springs",,,32,26,0,0,58
Milton,-,"Chittenden 9",357,90,1,0,448
Milton,-,"Grand Isle-Chittenden 1-1",62,24,0,0,86
Monkton,,,98,25,0,0,123
Montgomery,,,29,21,0,0,50
Montpelier,,,388,207,3,0,598
Moretown,,,100,35,0,0,135
Morgan,,,58,23,0,0,81
Morristown,,,195,82,1,0,278
"Mount Holly",,,79,15,0,0,94
"Mount Tabor",,,8,3,0,0,11
"New Haven",,,109,33,1,0,143
Newark,,,25,23,0,0,48
Newbury,-,"Center Town House",65,24,0,0,89
Newbury,-,"Town Office",26,13,1,0,40
Newbury,-,"West River Village",26,9,0,0,35
Newfane,,,31,19,1,0,51
"Newport City",,,244,93,4,0,341
"Newport Town",,,90,31,0,0,121
"N. Hero",,,88,16,0,0,104
Northfield,,,338,77,0,0,415
Norton,,,16,2,1,0,19
Norwich,,,49,26,1,0,76
Orange,,,77,41,2,0,120
Orwell,,,88,24,6,0,118
Panton,,,54,8,0,0,62
Pawlet,,,47,26,1,0,74
Peacham,,,43,27,0,0,70
Peru,,,21,11,1,0,33
Pittsfield,,,53,8,0,0,61
Pittsford,,,107,61,0,0,168
Plainfield,,,55,24,0,0,79
Plymouth,,,26,3,0,0,29
Pomfret,,,40,11,1,0,52
Poultney,,,189,98,1,0,288
Pownal,,,42,101,0,0,143
Proctor,,,67,33,1,0,101
Putney,,,29,13,0,0,42
Randolph,,,336,121,5,0,462
Reading,,,23,7,1,0,31
Readsboro,,,6,29,0,0,35
Richford,,,75,17,0,0,92
Richmond,,,219,65,0,0,284
Ripton,,,14,7,0,0,21
Rochester,,,65,18,0,0,83
Rockingham,,,93,32,2,0,127
Roxbury,,,25,18,0,0,43
Royalton,,,88,23,0,0,111
Rupert,,,12,24,0,0,36
"Rutland City",-,"Rutland 5-1",178,87,1,0,266
"Rutland City",-,"Rutland 5-2",140,66,3,0,209
"Rutland City",-,"Rutland 5-3",49,43,0,0,92
"Rutland City",-,"Rutland 5-4",124,50,1,0,175
"Rutland Town",-,"Elem. School",209,69,1,0,279
"Rutland Town",-,"Town Hall",76,31,0,0,107
Ryegate,,,51,18,1,0,70
Salisbury,,,63,18,0,0,81
Sandgate,,,7,25,0,0,32
Searsburg,,,3,12,0,0,15
Shaftsbury,,,89,175,6,0,270
Sharon,,,49,10,0,0,59
Sheffield,,,30,14,0,0,44
Shelburne,-,"Chittenden 5-1",296,57,4,0,357
Shelburne,-,"Chittenden 5-2",260,40,0,0,300
Sheldon,,,76,15,4,0,95
Shoreham,,,70,24,0,0,94
Shrewsbury,,,54,29,1,0,84
"S. Burlington",-,"Chittenden 3-10",163,46,1,0,210
"S. Burlington",-,"Chittenden 3-7",259,48,0,0,307
"S. Burlington",-,"Chittenden 3-8",333,77,3,0,413
"S. Burlington",-,"Chittenden 3-9",265,89,0,0,354
"S. Hero",,,188,36,4,0,228
Springfield,-,"Windsor 1-1",2,1,0,0,3
Springfield,-,"Windsor 1-2",232,101,3,0,336
"St. Albans City",,,245,90,2,0,337
"St. Albans Town",,,320,77,1,0,398
"St. George",,,27,13,0,0,40
"St. Johnsbury",,,298,165,1,0,464
Stamford,,,8,29,0,0,37
Stannard,,,14,1,0,0,15
Starksboro,,,62,17,1,0,80
Stockbridge,,,36,4,0,0,40
Stowe,,,285,71,2,0,358
Strafford,,,33,11,0,0,44
Stratton,,,7,7,0,0,14
Sudbury,,,34,10,1,0,45
Sunderland,,,18,27,0,0,45
Sutton,,,44,19,1,0,64
Swanton,,,413,73,3,0,489
Thetford,,,65,19,3,0,87
Tinmouth,,,25,16,1,0,42
Topsham,,,58,31,2,0,91
Townshend,,,28,24,0,0,52
Troy,,,27,20,0,0,47
Tunbridge,,,92,19,2,0,113
Underhill,,,185,70,0,0,255
Vergennes,,,163,64,14,0,241
Vernon,,,111,45,1,0,157
Vershire,,,36,10,0,0,46
Victory,,,6,3,0,0,9
Waitsfield,,,91,28,3,0,122
Walden,,,45,16,0,0,61
Wallingford,,,85,37,0,0,122
Waltham,,,32,13,0,0,45
Wardsboro,,,21,10,0,0,31
Warren,,,72,30,0,0,102
Washington,,,58,19,1,0,78
Waterbury,,,193,81,0,0,274
Waterford,,,76,46,0,0,122
Waterville,,,35,12,0,0,47
Weathersfield,,,78,43,1,0,122
Wells,,,33,10,0,0,43
"W. Fairlee",,,20,9,0,0,29
"W. Haven",,,12,7,0,0,19
"W. Rutland",,,80,37,0,0,117
"W. Windsor",,,56,15,3,0,74
Westfield,,,28,18,4,0,50
Westford,,,87,30,0,0,117
Westminster,-,"Windham 4",4,0,0,0,4
Westminster,-,"Windham 5",63,20,1,0,84
Westmore,,,20,3,0,0,23
Weston,,,29,2,0,0,31
Weybridge,,,64,18,1,0,83
Wheelock,,,33,15,0,0,48
Whiting,,,13,14,1,0,28
Whitingham,,,10,46,0,0,56
Williamstown,,,125,57,2,0,184
Williston,,,533,131,1,0,665
Wilmington,,,28,75,0,0,103
Windham,,,4,6,3,0,13
Windsor,,,48,64,3,0,115
Winhall,,,27,25,0,0,52
Winooski,,,178,73,1,0,252
Wolcott,,,59,19,0,0,78
Woodbury,,,55,31,1,0,87
Woodford,,,9,19,0,0,28
Woodstock,,,169,43,1,0,213
Worcester,,,51,14,0,0,65
TOTALS,,,"26,199","10,285",258,0,"36,742"
