City/Town,Ward,Pct,"Bernard Sanders","Louis W. Thabault","Craig Hill","Larry Drown","Peter Moss",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,
Addison,,,62,1,1,0,2,0,0,66
Albany,,,27,0,1,0,0,0,0,28
Alburgh,,,75,0,1,1,2,1,0,80
Andover,,,40,1,1,0,2,0,0,44
Arlington,,,81,2,1,3,2,0,0,89
Athens,,,14,0,0,1,3,0,0,18
Bakersfield,,,69,0,0,0,0,0,0,69
Baltimore,,,13,1,0,1,1,0,0,16
Barnard,,,79,1,1,1,0,1,0,83
Barnet,,,88,0,0,1,2,0,0,91
"Barre City",-,"Washington 3-1",183,0,7,2,1,2,0,195
"Barre City",-,"Washington 3-2",145,1,5,2,0,2,0,155
"Barre City",-,"Washington 3-3",29,1,0,0,0,2,0,32
"Barre Town",,,333,1,8,1,2,2,0,347
Barton,,,104,0,2,1,2,1,0,110
Belvidere,,,9,0,0,0,0,0,0,9
Bennington,-,"Bennington 2-1",240,1,0,6,3,2,0,252
Bennington,-,"Bennington 2-1 Nb",65,0,0,1,0,0,0,66
Bennington,-,"Bennington 2-2",254,3,2,7,7,1,0,274
Bennington,-,"Bennington 5",2,0,0,0,0,0,0,2
Benson,,,36,1,3,0,0,0,0,40
Berkshire,,,55,0,0,0,1,0,0,56
Berlin,,,129,1,4,0,1,2,0,137
Bethel,,,137,3,1,2,2,0,0,145
Bloomfield,,,11,0,0,0,0,0,0,11
Bolton,,,68,0,1,0,0,1,0,70
Bradford,,,153,2,1,2,3,1,0,162
Braintree,,,65,1,3,0,2,0,0,71
Brandon,,,230,2,3,2,1,1,0,239
Brattleboro,-,"Windham 3-1",281,5,2,1,3,3,0,295
Brattleboro,-,"Windham 3-2",302,2,5,3,2,0,0,314
Brattleboro,-,"Windham 3-3",277,3,4,0,6,1,0,291
Bridgewater,,,71,0,2,1,0,3,0,77
Bridport,,,75,0,2,2,1,0,0,80
Brighton,,,80,1,6,1,0,2,0,90
Bristol,,,208,1,0,1,0,0,0,210
Brookfield,,,70,1,0,0,0,0,0,71
Brookline,,,37,0,0,1,0,1,0,39
Brownington,,,26,0,0,0,1,0,0,27
Brunswick,,,13,0,0,0,0,0,0,13
Burke,,,43,0,0,1,2,0,0,46
Burlington,-,"Chittenden 3-1",737,40,1,5,6,3,0,792
Burlington,-,"Chittenden 3-2",420,9,4,7,1,4,0,445
Burlington,-,"Chittenden 3-3",574,19,4,3,4,5,0,609
Burlington,-,"Chittenden 3-4",349,14,8,1,0,3,0,375
Burlington,-,"Chittenden 3-5","1,084",45,15,4,10,6,0,"1,164"
Burlington,-,"Chittenden 3-6",131,4,0,1,1,1,0,138
Cabot,,,70,0,2,2,0,0,0,74
Calais,,,177,0,9,4,0,0,0,190
Cambridge,,,111,0,0,0,0,2,0,113
Canaan,,,41,2,0,0,1,0,0,44
Castleton,,,72,1,0,1,0,0,0,74
Cavendish,,,96,0,0,3,2,0,0,101
Charleston,,,28,0,0,0,1,0,0,29
Charlotte,,,488,16,7,7,3,1,0,522
Chelsea,,,76,0,0,2,1,0,0,79
Chester,,,257,4,4,1,0,3,0,269
Chittenden,,,52,0,0,0,0,0,0,52
Clarendon,,,80,0,0,1,0,2,0,83
Colchester,-,"Chittenden 7-1",252,6,6,1,1,2,0,268
Colchester,-,"Chittenden 7-2",413,19,6,4,2,4,0,448
Concord,,,46,1,2,1,0,1,0,51
Corinth,,,101,0,5,0,2,0,0,108
Cornwall,,,115,1,1,0,1,0,0,118
Coventry,,,44,0,1,1,0,0,0,46
Craftsbury,,,93,0,1,0,0,0,0,94
Danby,,,124,6,2,0,1,1,0,134
Danville,,,105,0,0,0,2,0,0,107
Derby,,,177,1,0,2,2,4,0,186
Dorset,,,93,3,0,0,2,1,0,99
Dover,,,28,3,2,0,1,0,0,34
Dummerston,,,256,3,2,3,2,6,0,272
Duxbury,,,73,0,1,0,0,2,0,76
"E. Haven",,,20,1,0,1,0,1,0,23
"E. Montpelier",,,161,1,5,0,0,1,0,168
Eden,,,57,0,0,2,0,1,0,60
Elmore,,,72,0,0,0,0,0,0,72
Enosburgh,,,88,2,1,0,4,0,0,95
Essex,-,"Chittenden 6-1",235,8,2,1,5,1,0,252
Essex,-,"Chittenden 6-2",355,10,5,5,8,3,0,386
Essex,-,"Chittenden 6-3",105,1,0,1,2,1,0,110
"Fair Haven",,,54,0,0,1,1,0,0,56
Fairfax,,,114,0,2,1,6,3,0,126
Fairfield,,,79,3,1,7,6,6,0,102
Fairlee,,,65,0,0,2,0,0,0,67
Fayston,,,55,0,1,1,0,0,0,57
Ferrisburgh,,,172,0,0,0,2,0,0,174
Fletcher,,,42,0,0,0,1,0,0,43
Franklin,,,76,1,0,1,2,1,0,81
Georgia,,,127,1,2,3,5,3,0,141
Glover,,,58,1,0,0,0,0,0,59
Goshen,,,14,0,0,2,0,0,0,16
Grafton,,,41,0,1,3,0,0,0,45
Granby,,,3,0,0,0,0,0,0,3
"Grand Isle",,,140,0,0,0,2,2,0,144
Granville,,,21,0,0,0,0,0,0,21
Greensboro,,,87,0,0,0,1,0,0,88
Groton,,,39,0,0,0,2,0,0,41
Guildhall,,,6,0,0,0,0,0,0,6
Guilford,,,140,0,2,0,0,1,0,143
