City/Town,Ward,Pct,"Rich Tarrant","Greg Parke","Eric Ericson",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,78,68,6,3,0,155
Albany,,,40,23,6,4,0,73
Alburgh,,,81,40,10,5,0,136
Andover,,,29,7,7,0,0,43
Arlington,,,116,25,7,1,0,149
Athens,,,9,3,0,1,0,13
Bakersfield,,,36,24,1,6,0,67
Baltimore,,,8,3,2,2,0,15
Barnard,,,44,13,6,0,0,63
Barnet,,,90,35,3,3,0,131
"Barre City",-,"Washington 3-1",194,103,13,21,0,331
"Barre City",-,"Washington 3-2",122,101,14,15,0,252
"Barre City",-,"Washington 3-3",15,17,1,4,0,37
"Barre Town",,,491,221,25,58,0,795
Barton,,,119,40,5,26,0,190
Belvidere,,,16,8,3,0,0,27
Bennington,-,"Bennington 2-1",204,35,14,12,0,265
Bennington,-,"Bennington 2-1 Nb",27,10,7,2,0,46
Bennington,-,"Bennington 2-2",203,51,20,6,0,280
Bennington,-,"Bennington 5",7,0,2,0,0,9
Benson,,,26,14,3,3,0,46
Berkshire,,,58,12,0,2,0,72
Berlin,,,103,70,7,5,0,185
Bethel,,,66,26,5,5,0,102
Bloomfield,,,7,1,1,1,0,10
Bolton,,,43,27,1,3,0,74
Bradford,,,92,50,19,13,0,174
Braintree,,,58,27,3,3,0,91
Brandon,,,192,111,10,5,0,318
Brattleboro,-,"Windham 3-1",72,35,8,4,0,119
Brattleboro,-,"Windham 3-2",61,10,5,3,0,79
Brattleboro,-,"Windham 3-3",54,18,10,1,0,83
Bridgewater,,,43,17,2,2,0,64
Bridport,,,87,55,3,7,0,152
Brighton,,,87,27,7,5,0,126
Bristol,,,111,100,8,10,0,229
Brookfield,,,69,32,4,6,0,111
Brookline,,,13,2,5,0,0,20
Brownington,,,30,7,0,1,0,38
Brunswick,,,3,4,3,1,0,11
Burke,,,60,32,7,4,0,103
Burlington,-,"Chittenden 3-1",380,141,11,5,0,537
Burlington,-,"Chittenden 3-2",171,65,10,5,0,251
Burlington,-,"Chittenden 3-3",92,45,8,6,0,151
Burlington,-,"Chittenden 3-4",73,43,12,1,0,129
Burlington,-,"Chittenden 3-5",283,81,16,5,0,385
Burlington,-,"Chittenden 3-6",25,14,2,1,0,42
Cabot,,,35,24,3,7,0,69
Calais,,,63,41,6,0,0,110
Cambridge,,,88,72,10,11,0,181
Canaan,,,32,9,3,10,0,54
Castleton,,,111,65,5,5,0,186
Cavendish,,,51,21,10,1,0,83
Charleston,,,32,14,1,2,0,49
Charlotte,,,181,62,10,2,0,255
Chelsea,,,105,22,6,4,0,137
Chester,,,105,45,22,2,0,174
Chittenden,,,41,37,5,1,0,84
Clarendon,,,77,62,7,0,0,146
Colchester,-,"Chittenden 7-1",211,109,11,4,0,335
Colchester,-,"Chittenden 7-2",441,148,11,6,0,606
Concord,,,39,21,2,1,0,63
Corinth,,,40,21,11,2,0,74
Cornwall,,,47,29,8,3,0,87
