City/Town,Ward,Pct,"Dick Sears","Robert M. Hartwell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,79,48,0,59,186
Bennington,-,"Bennington 2-1",238,136,2,144,520
Bennington,-,"Bennington 2-1 Nb",61,43,1,31,136
Bennington,-,"Bennington 2-2",257,149,3,201,610
Dorset,,,72,71,4,64,211
Landgrove,,,16,12,0,22,50
Manchester,,,116,99,1,118,334
Peru,,,23,25,0,24,72
Pownal,,,145,71,1,99,316
Readsboro,,,44,17,0,33,94
Rupert,-,"Bennington 5",2,1,0,1,4
Rupert,-,"Rutland 8",40,36,0,18,94
Sandgate,,,30,19,0,33,82
Searsburg,,,2,2,1,0,5
Shaftsbury,,,254,133,0,151,538
Stamford,,,33,15,0,24,72
Sunderland,,,34,26,0,16,76
Winhall,,,26,28,0,36,90
Woodford,,,18,4,0,16,38
TOTALS,,,"1,490",935,13,"1,090","3,528"
