City/Town,Ward,Pct,"Doug Racine","Edward Flanagan","Virginia Lyons","Jim Condos","Hinda Miller","Dennis McMahon","Timothy J. Palmer","Sean Starfighter",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,,
Bolton,,,57,55,55,47,41,18,37,11,0,117,438
Burlington,-,"Chittenden 3-1",279,286,256,249,181,140,106,98,3,0,"1,598"
Burlington,-,"Chittenden 3-2",116,114,99,97,79,65,47,23,1,0,641
Burlington,-,"Chittenden 3-3",332,341,277,282,220,171,156,104,14,0,"1,897"
Burlington,-,"Chittenden 3-4",423,443,367,353,296,238,193,185,28,0,"2,526"
Burlington,-,"Chittenden 3-5",622,641,516,555,441,374,242,218,19,0,"3,628"
Burlington,-,"Chittenden 3-6",961,937,843,833,684,436,383,237,17,0,"5,331"
Charlotte,,,408,382,393,350,341,156,172,85,2,998,"3,287"
Essex,-,"Chittenden 6-1",205,191,191,179,135,106,104,56,5,412,"1,584"
Essex,-,"Chittenden 6-2",319,300,267,263,227,148,143,75,4,648,"2,394"
Essex,-,"Chittenden 6-3",91,83,82,79,63,36,36,16,4,188,678
Hinesburg,-,"Chittenden 1-1",244,202,221,177,151,71,111,47,5,451,"1,680"
Hinesburg,-,"Chittenden 1-2",13,10,9,8,7,3,3,1,0,30,84
Huntington,,,161,135,145,111,103,41,50,34,1,341,"1,122"
Jericho,,,294,274,258,243,178,99,138,49,1,560,"2,094"
Milton,-,"Chittenden 9",216,203,169,170,143,92,87,68,9,739,"1,896"
Milton,-,"Grand Isle-Ch",31,29,26,24,21,16,14,7,0,84,252
Richmond,,,352,309,313,262,229,111,160,63,1,640,"2,440"
Shelburne,-,"Chittenden 5-1",357,324,323,307,299,135,160,67,21,617,"2,610"
Shelburne,-,"Chittenden 5-2",220,184,201,186,157,85,105,47,26,0,"1,211"
"S. Burlington",-,"Chittenden 3-10",226,218,192,210,151,101,82,58,1,477,"1,716"
"S. Burlington",-,"Chittenden 3-7",303,286,265,297,231,135,123,66,9,637,"2,352"
"S. Burlington",-,"Chittenden 3-8",334,289,303,298,241,153,128,55,16,775,"2,592"
"S. Burlington",-,"Chittenden 3-9",235,231,200,203,170,127,113,65,5,493,"1,842"
"St. George",,,30,28,32,25,20,10,21,6,0,0,172
Underhill,,,186,176,170,149,144,80,79,56,4,346,"1,390"
Westford,,,89,87,83,66,62,32,34,18,0,249,720
Williston,,,494,472,546,428,342,182,328,84,5,941,"3,822"
Winooski,,,277,259,214,217,176,137,117,65,2,786,"2,250"
TOTALS,,,"7,875","7,489","7,016","6,668","5,533","3,498","3,472","1,964",203,"10,529","54,247"
