City/Town,Ward,Pct,"Bill Carris","Hope Blucher","Joe Tilden",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,21,27,18,1,56,123
Castleton,,,49,36,41,1,110,237
Chittenden,,,33,28,24,0,74,159
Clarendon,,,66,47,45,2,89,249
Danby,,,55,102,53,4,196,410
"Fair Haven",,,35,23,24,4,88,174
Hubbardton,,,12,9,8,4,15,48
Ira,-,"Rutland Rutland 1-1",2,1,1,0,2,6
Ira,-,"Rutland Rutland 1-2",18,16,16,0,16,66
Killington,,,21,11,14,8,57,111
Mendon,,,38,25,27,0,60,150
"Middletown Springs",,,60,55,45,3,92,255
"Mount Holly",,,84,89,78,0,211,462
"Mount Tabor",,,5,14,4,0,29,52
Pawlet,,,41,44,40,1,63,189
Pittsfield,,,13,14,11,1,60,99
Pittsford,,,75,62,59,6,107,309
Poultney,,,66,62,69,6,151,354
Proctor,,,44,31,37,0,77,189
"Rutland City",-,"Rutland 5-1",156,119,128,7,196,606
"Rutland City",-,"Rutland 5-2",110,84,112,3,189,498
"Rutland City",-,"Rutland 5-3",47,49,70,7,154,327
"Rutland City",-,"Rutland 5-4",136,109,125,9,230,609
"Rutland Town",-,"Elem. School",88,72,78,3,161,402
"Rutland Town",-,"Town Hall",34,22,22,1,68,147
Shrewsbury,,,52,45,37,0,79,213
Sudbury,,,31,27,32,0,39,129
Tinmouth,,,26,30,16,0,60,132
Wallingford,,,87,81,77,2,140,387
Wells,,,15,26,15,0,64,120
"W. Haven",,,6,6,4,3,5,24
"W. Rutland",,,45,28,34,3,55,165
TOTALS,,,"1,571","1,394","1,364",79,"2,993","7,401"
