City/Town,Ward,Pct,"Peter Shumlin","Jeanette White",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,15,12,0,11,38
Brattleboro,-,"Windham 3-1",229,229,0,146,604
Brattleboro,-,"Windham 3-2",256,229,0,155,640
Brattleboro,-,"Windham 3-3",227,235,2,138,602
Brookline,,,33,28,0,19,80
Dover,,,20,24,0,27,71
Dummerston,,,235,215,6,96,552
Grafton,,,33,39,0,28,100
Guilford,,,122,115,1,52,290
Halifax,,,20,23,0,25,68
Jamaica,,,36,34,2,37,109
Londonderry,,,53,43,0,58,154
Marlboro,,,92,93,0,57,242
Newfane,,,162,136,1,111,410
Putney,,,356,382,1,125,864
Rockingham,,,393,373,2,227,995
Stratton,,,4,4,0,12,20
Townshend,,,78,60,1,57,196
Vernon,,,60,55,2,59,176
Wardsboro,,,32,33,2,25,92
Westminster,-,"Windham 4",18,17,0,7,42
Westminster,-,"Windham 5",318,323,7,140,788
Whitingham,,,29,30,1,48,108
Windham,,,26,24,1,15,66
TOTALS,,,"2,847","2,756",29,"1,675","7,307"
