City/Town,Ward,Pct,"Aaron Diamondstone","Benjamin Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brattleboro,-,"Windham 3-1",3,3,0,0,6
Brattleboro,-,"Windham 3-2",1,3,0,4,8
Brattleboro,-,"Windham 3-3",1,1,0,2,4
Dummerston,,,1,1,0,0,2
Londonderry,,,1,0,0,1,2
Newfane,,,2,1,1,0,4
Putney,,,1,1,0,0,2
Rockingham,,,4,3,0,2,9
Townshend,,,2,2,0,0,4
Vernon,,,0,1,0,5,6
Westminster,-,"Windham 4",2,1,0,1,4
Westminster,-,"Windham 5",1,1,0,12,14
Whitingham,,,0,0,0,2,2
Windham,,,1,0,0,1,2
TOTALS,,,20,18,1,30,69
