City/Town,Ward,Pct,"Winfield P. Gates, Jr","Alan Miles Macdougall",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,79,81,1,165,326
Bennington,-,"Bennington 2-1",106,144,23,329,602
Bennington,-,"Bennington 2-1 Nb",21,19,4,74,118
Bennington,-,"Bennington 2-2",147,169,9,325,650
Bennington,-,"Bennington 5",10,6,0,8,24
Dorset,,,87,78,1,17,183
Landgrove,,,13,12,0,17,42
Manchester,,,162,113,2,221,498
Peru,,,23,11,0,32,66
Pownal,,,66,69,3,156,294
Readsboro,,,11,24,0,37,72
Rupert,,,22,15,0,37,74
Sandgate,,,12,17,0,37,66
Searsburg,,,8,8,0,2,18
Shaftsbury,,,131,120,25,278,554
Stamford,,,12,29,0,33,74
Sunderland,,,31,20,0,49,100
Winhall,,,28,31,1,44,104
Woodford,,,16,13,0,27,56
TOTALS,,,985,979,69,"1,888","3,921"
