City/Town,Ward,Pct,"Hull Maynard","Kevin J. Mullin","Wendy Wilton",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,34,30,32,1,47,144
Castleton,,,145,126,131,3,168,573
Chittenden,,,63,61,56,3,67,250
Clarendon,,,112,102,108,2,123,447
Danby,,,126,100,103,14,149,492
"Fair Haven",,,76,78,73,0,73,300
Hubbardton,,,28,24,24,0,32,108
Ira,-,"Rutland Rutland 1-1",2,2,2,0,0,6
Ira,-,"Rutland Rutland 1-2",17,19,18,0,12,66
Killington,,,55,48,47,3,60,213
Mendon,,,85,76,76,1,80,318
"Middletown Springs",,,40,35,34,1,8,118
"Mount Holly",,,83,60,55,0,87,285
"Mount Tabor",,,9,7,4,0,13,33
Pawlet,,,46,42,46,0,94,228
Pittsfield,,,50,40,36,0,60,186
Pittsford,,,125,117,113,9,142,506
Poultney,,,223,174,179,4,356,936
Proctor,,,76,68,77,2,94,317
"Rutland City",-,"Rutland 5-1",184,198,192,12,215,801
"Rutland City",-,"Rutland 5-2",153,150,160,6,170,639
"Rutland City",-,"Rutland 5-3",58,54,55,6,112,285
"Rutland City",-,"Rutland 5-4",132,127,126,6,149,540
"Rutland Town",-,"Elem. School",221,250,220,0,164,855
"Rutland Town",-,"Town Hall",81,89,76,1,80,327
Shrewsbury,,,62,45,48,2,98,255
Sudbury,,,33,26,24,0,52,135
Tinmouth,,,25,19,17,1,67,129
Wallingford,,,92,84,88,0,108,372
Wells,,,23,25,27,0,54,129
"W. Haven",,,17,11,10,0,19,57
"W. Rutland",,,92,84,84,3,97,360
TOTALS,,,"2,568","2,371","2,341",80,"3,050","10,410"
