City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,5,7,0,12
Albany,,,5,1,0,6
Alburgh,,,16,3,0,19
Arlington,,,7,0,0,7
Athens,,,2,0,0,2
Bakersfield,,,3,0,0,3
Baltimore,,,2,0,0,2
Barnard,,,3,0,0,3
Barnet,,,4,2,0,6
"Barre City",-,"Washington 3-1",22,4,0,26
"Barre City",-,"Washington 3-2",22,10,0,32
"Barre City",-,"Washington 3-3",7,1,0,8
"Barre Town",,,134,13,0,147
Barton,,,51,3,0,54
Belvidere,,,2,0,0,2
Bennington,-,"Bennington 2-1",13,5,0,18
Bennington,-,"Bennington 2-1 Nb",2,1,0,3
Bennington,-,"Bennington 2-2",8,4,0,12
Bennington,-,"Bennington 5",0,0,0,0
Berkshire,,,4,1,0,5
Berlin,,,10,3,0,13
Bethel,,,4,3,0,7
Bolton,,,4,2,0,6
Bradford,,,28,2,0,30
Braintree,,,0,6,0,6
Brandon,,,9,3,0,12
Brattleboro,-,"Windham 3-1",9,1,0,10
Brattleboro,-,"Windham 3-2",5,1,0,6
Brattleboro,-,"Windham 3-3",5,2,0,7
Bridgewater,,,14,2,0,16
Bridport,,,14,4,0,18
Brighton,,,10,6,0,16
Bristol,,,12,4,0,16
Brookfield,,,0,13,0,13
Brookline,,,2,0,0,2
Brownington,,,1,3,0,4
Brunswick,,,1,0,0,1
Burke,,,5,2,0,7
Burlington,-,"Chittenden 3-1",9,13,0,22
Burlington,-,"Chittenden 3-2",14,8,0,22
Burlington,-,"Chittenden 3-3",9,6,0,15
Burlington,-,"Chittenden 3-4",2,7,0,9
Burlington,-,"Chittenden 3-5",5,9,0,14
Burlington,-,"Chittenden 3-6",1,3,0,4
Cabot,,,1,1,0,2
Calais,,,10,2,0,12
Cambridge,,,15,1,0,16
Canaan,,,4,0,0,4
Castleton,,,7,0,0,7
Cavendish,,,5,3,0,8
Charleston,,,8,0,0,8
Charlotte,,,3,5,0,8
Chelsea,,,10,1,0,11
Chester,,,7,5,0,12
Chittenden,,,0,4,0,4
Clarendon,,,4,1,0,5
Colchester,-,"Chittenden 7-1",5,1,0,6
Colchester,-,"Chittenden 7-2",9,8,0,17
Concord,,,3,1,0,4
Corinth,,,3,2,0,5
Cornwall,,,3,3,0,6
