City/Town,Ward,Pct,"Jim Douglas","Anthony Pollina","Gaye Symington","Tony O'Connor","Sam Young","Pete Diamondstone","Cris Ericson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent,Democratic,"Cheap Renewable Energy",Independent,"Liberty Union",Independent
Addison,,,553,95,100,5,3,0,4,0,0,760
Albany,,,262,122,64,3,29,3,1,0,0,484
Alburgh,,,620,189,152,9,6,5,4,0,0,985
Andover,,,167,67,66,0,0,2,4,0,0,306
Arlington,,,758,193,369,25,12,7,11,0,0,"1,375"
Athens,,,75,23,46,3,1,4,3,0,0,155
Bakersfield,,,381,152,99,8,3,3,0,0,0,646
Baltimore,,,75,20,23,2,0,2,4,1,0,127
Barnard,,,285,133,110,6,5,1,3,0,0,543
Barnet,,,548,209,175,9,12,1,2,0,0,956
"Barre City",-,"Washington 3-1","1,090",452,262,10,7,8,5,1,0,"1,835"
"Barre City",-,"Washington 3-2",851,400,226,14,11,6,8,0,0,"1,516"
"Barre City",-,"Washington 3-3",178,67,48,2,3,1,0,1,0,300
"Barre Town",,,"2,965",823,484,20,22,19,15,1,0,"4,349"
Barton,,,803,245,138,13,53,5,0,0,0,"1,257"
Belvidere,,,91,32,29,1,2,0,1,0,0,156
Bennington,-,"Bennington 2-1","1,546",354,"1,259",52,25,43,33,2,0,"3,314"
Bennington,-,"Bennington 2-2","1,649",355,"1,162",53,24,44,24,1,0,"3,312"
Bennington,-,"Bennington 5",39,4,15,2,0,0,2,0,0,62
Benson,,,296,119,98,7,2,2,8,0,0,532
Berkshire,,,428,122,99,4,2,4,1,0,0,660
Berlin,,,803,323,198,9,11,8,4,1,0,"1,357"
Bethel,,,535,300,150,4,8,5,5,0,0,"1,007"
Bloomfield,,,59,13,34,0,3,1,0,0,0,110
Bolton,,,297,154,170,5,3,1,0,0,0,630
Bradford,,,775,160,333,9,9,1,6,1,0,"1,294"
Braintree,,,364,152,102,1,4,1,2,0,0,626
Brandon,,,"1,138",436,409,6,11,7,6,0,0,"2,013"
Brattleboro,-,"Windham 3-1",776,588,865,26,3,46,12,4,0,"2,320"
Brattleboro,-,"Windham 3-2",512,554,759,13,6,75,9,1,0,"1,929"
Brattleboro,-,"Windham 3-3",421,604,736,23,9,50,10,3,0,"1,856"
Bridgewater,,,285,99,128,6,1,2,6,0,0,527
Bridport,,,485,118,88,3,7,0,1,0,0,702
Brighton,,,375,119,82,9,7,3,4,0,0,599
Bristol,,,"1,141",459,393,14,11,3,7,1,0,"2,029"
Brookfield,,,364,212,131,9,8,5,5,1,0,735
Brookline,,,113,41,112,7,1,9,1,0,0,284
Brownington,,,243,88,47,11,19,2,0,0,0,410
Brunswick,,,45,4,10,1,0,0,1,0,0,61
Burke,,,487,186,100,9,21,1,4,0,0,808
Burlington,-,"Chittenden 3-1","2,066",841,954,21,17,17,9,7,0,"3,932"
Burlington,-,"Chittenden 3-2","1,021",616,545,7,15,6,6,5,0,"2,221"
Burlington,-,"Chittenden 3-3","1,002","1,561","1,401",77,40,30,23,12,0,"4,146"
