City/Town,Ward,Pct,"Brian E. Dubie","Thomas W. Costello","Richard Kemp","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
Addison,,,559,181,15,4,0,0,759
Albany,,,277,158,24,11,1,0,471
Alburgh,,,665,278,21,13,0,0,977
Andover,,,164,110,10,7,0,0,291
Arlington,,,666,588,57,13,1,0,"1,325"
Athens,,,57,72,7,12,0,0,148
Bakersfield,,,403,190,31,7,1,0,632
Baltimore,,,81,34,4,3,1,0,123
Barnard,,,302,185,23,11,0,0,521
Barnet,,,553,316,51,8,1,0,929
"Barre City",-,"Washington 3-1","1,153",594,55,15,1,0,"1,818"
"Barre City",-,"Washington 3-2",934,494,54,26,0,0,"1,508"
"Barre City",-,"Washington 3-3",191,95,9,3,0,0,298
"Barre Town",,,"3,140","1,083",80,22,0,0,"4,325"
Barton,,,886,281,34,23,0,0,"1,224"
Belvidere,,,109,41,4,0,1,0,155
Bennington,-,"Bennington 2-1","1,294","1,715",118,51,0,0,"3,178"
Bennington,-,"Bennington 2-2","1,436","1,592",122,46,0,0,"3,196"
Bennington,-,"Bennington 5",37,20,3,2,0,0,62
Benson,,,316,176,22,4,0,0,518
Berkshire,,,465,163,18,6,0,0,652
Berlin,,,882,399,47,10,1,0,"1,339"
Bethel,,,580,352,48,14,0,0,994
Bloomfield,,,55,49,3,0,0,0,107
Bolton,,,331,255,35,2,0,0,623
Bradford,,,752,452,35,13,0,0,"1,252"
Braintree,,,402,175,29,7,0,0,613
Brandon,,,"1,148",747,61,22,0,0,"1,978"
Brattleboro,-,"Windham 3-1",387,"1,317",105,62,0,0,"1,871"
Brattleboro,-,"Windham 3-2",387,"1,317",105,62,2,0,"1,873"
Brattleboro,-,"Windham 3-3",321,"1,327",123,49,0,0,"1,820"
Bridgewater,,,283,201,18,6,0,0,508
Bridport,,,466,195,12,10,0,0,683
Brighton,,,382,182,14,13,0,0,591
Bristol,,,"1,150",749,91,10,0,0,"2,000"
