City/Town,Ward,Pct,"Barack Obama","John McCain","Ralph Nader","Bob Barr","Chuck Baldwin","Roger Calero","Gloria Lariva","Brian Moore",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian,Constitution,"Socialist Workers","Socialism and Liberation","Liberty Union"
Addison,,,378,374,4,3,2,0,0,0,6,0,0,767
Albany,,,316,163,4,0,2,0,1,0,3,0,0,489
Alburgh,,,600,375,16,0,1,0,0,1,3,0,0,996
Andover,,,189,120,3,1,0,0,0,0,1,0,0,314
Arlington,,,895,476,7,4,0,0,1,0,10,0,0,"1,393"
Athens,,,97,55,2,1,0,0,0,0,1,0,0,156
Bakersfield,,,420,214,4,3,3,1,0,1,2,0,0,648
Baltimore,,,65,55,7,0,0,0,0,0,1,0,0,128
Barnard,,,365,180,3,0,0,0,3,0,4,0,0,555
Barnet,,,589,366,10,3,4,0,1,0,6,0,0,979
"Barre City",-,"Washington 3-1","1,169",646,18,14,5,1,0,0,12,0,0,"1,865"
"Barre City",-,"Washington 3-2",981,511,26,6,4,2,1,1,1,0,0,"1,533"
"Barre City",-,"Washington 3-3",189,106,5,2,0,1,1,0,1,0,0,305
"Barre Town",,,"2,437","1,868",37,14,4,0,2,1,11,0,0,"4,374"
Barton,,,802,441,13,6,2,0,0,0,7,0,0,"1,271"
Belvidere,,,79,68,5,1,0,0,1,0,2,0,0,156
Bennington,-,"Bennington 2-1","2,405",915,46,17,3,3,2,0,16,0,0,"3,407"
Bennington,-,"Bennington 2-2","2,297","1,026",48,13,3,1,3,2,12,0,0,"3,405"
Bennington,-,"Bennington 5",32,30,1,0,0,0,0,0,0,0,0,63
Benson,,,330,182,11,7,4,1,0,0,0,0,0,535
Berkshire,,,389,268,4,2,0,0,1,0,1,0,0,665
Berlin,,,835,503,22,6,5,0,0,0,4,0,0,"1,375"
Bethel,,,702,305,12,5,1,1,0,2,4,0,0,"1,032"
Bloomfield,,,78,35,1,0,0,0,0,0,3,0,0,117
Bolton,,,461,165,3,4,1,0,0,0,1,0,0,635
Bradford,,,848,443,10,8,3,0,1,1,8,0,0,"1,322"
Braintree,,,399,221,4,2,1,0,0,0,2,0,0,629
Brandon,,,"1,339",641,13,9,6,1,3,3,8,0,0,"2,023"
Brattleboro,-,"Windham 3-1","1,836",518,13,3,3,0,2,2,10,0,0,"2,387"
Brattleboro,-,"Windham 3-2","1,603",325,29,8,2,0,3,5,10,0,0,"1,985"
Brattleboro,-,"Windham 3-3","1,638",255,21,7,1,3,3,3,13,0,0,"1,944"
Bridgewater,,,342,183,6,1,0,0,0,0,0,0,0,532
Bridport,,,385,303,4,7,4,0,0,2,1,0,0,706
Brighton,,,352,243,8,1,5,0,0,1,2,0,0,612
Bristol,,,"1,379",622,24,3,3,0,1,1,13,0,0,"2,046"
Brookfield,,,479,237,11,4,0,0,0,0,4,0,0,735
Brookline,,,197,94,5,0,0,0,0,0,0,0,0,296
Brownington,,,260,148,5,2,1,0,0,0,1,0,0,417
Brunswick,,,35,23,0,0,1,2,0,0,0,0,0,61
Burke,,,491,312,11,1,1,0,0,0,4,0,0,820
Burlington,-,"Chittenden 3-1","2,896","1,029",44,13,4,2,0,0,21,0,0,"4,009"
Burlington,-,"Chittenden 3-2","1,687",520,29,7,2,5,0,0,10,0,0,"2,260"
Burlington,-,"Chittenden 3-3","3,823",371,81,26,5,4,4,3,57,0,0,"4,374"
Burlington,-,"Chittenden 3-4","3,953",357,56,16,0,2,0,0,21,0,0,"4,405"
Burlington,-,"Chittenden 3-5","4,266",724,56,19,1,1,2,0,32,0,0,"5,101"
Burlington,-,"Chittenden 3-6",632,85,8,0,0,1,1,0,2,0,0,729
Cabot,,,543,238,7,4,0,0,0,0,7,0,0,799
Calais,,,785,215,19,2,2,1,1,0,0,0,0,"1,025"
Cambridge,,,"1,316",546,11,5,2,0,0,1,15,0,0,"1,896"
Canaan,,,286,192,6,1,1,1,0,0,2,0,0,489
Castleton,,,"1,158",730,29,4,1,0,1,0,9,0,0,"1,932"
Cavendish,,,443,252,6,5,1,1,0,0,2,0,0,710
Charleston,,,282,185,8,1,0,0,2,0,1,0,0,479
Charlotte,,,"1,802",612,17,19,6,0,1,2,8,0,0,"2,467"
Chelsea,,,413,270,4,2,0,2,1,0,0,0,0,692
Chester,,,"1,174",535,25,5,6,0,0,0,8,0,0,"1,753"
Chittenden,,,430,308,8,3,3,1,0,0,0,0,0,753
Clarendon,,,721,597,14,3,3,2,1,1,7,0,0,"1,349"
Colchester,-,"Chittenden 7-1","2,535","1,143",24,22,0,1,2,2,25,0,0,"3,754"
Colchester,-,"Chittenden 7-2","2,682","1,549",22,13,5,2,2,3,16,0,0,"4,294"
Concord,,,313,221,9,2,0,4,0,1,5,0,0,555
Corinth,,,429,250,10,1,2,1,1,0,6,0,0,700
Cornwall,,,558,187,3,0,0,0,0,0,3,0,0,751
Coventry,,,342,154,6,0,0,0,0,0,1,0,0,503
Craftsbury,,,552,155,12,2,2,1,0,0,2,0,0,726
Danby,,,434,281,11,3,3,0,2,1,6,0,0,741
Danville,,,821,516,29,1,1,0,1,0,8,0,0,"1,377"
Derby,,,"1,392",870,23,7,6,3,2,1,10,0,0,"2,314"
Dorset,,,860,412,14,7,3,0,2,0,5,0,0,"1,303"
Dover,,,478,294,9,0,2,0,1,0,6,0,0,790
Dummerston,,,909,266,7,2,0,0,0,0,5,0,0,"1,189"
Duxbury,,,548,203,7,0,0,0,0,0,4,0,0,762
"E. Haven",,,89,63,0,0,0,0,0,0,1,0,0,153
"E. Montpelier",,,"1,209",434,15,4,0,2,0,0,5,0,0,"1,669"
Eden,,,331,166,8,2,0,0,0,0,4,0,0,511
Elmore,,,386,123,5,3,0,0,0,1,3,0,0,521
Enosburgh,,,766,443,18,2,2,1,0,0,6,0,0,"1,238"
Essex,-,"Chittenden 6-1","2,835","1,560",28,15,8,1,0,0,15,0,0,"4,462"
Essex,-,"Chittenden 6-2","3,323","1,614",29,15,6,1,0,0,25,0,0,"5,013"
Essex,-,"Chittenden 6-3",925,486,10,7,3,0,0,0,8,0,0,"1,439"
"Fair Haven",,,779,472,15,5,2,1,0,2,9,0,0,"1,285"
Fairfax,,,"1,338",826,31,6,3,1,0,1,10,0,0,"2,216"
Fairfield,,,641,309,9,3,2,1,0,0,4,0,0,969
Fairlee,,,402,159,4,1,1,0,0,0,2,0,0,569
Fayston,,,595,206,9,5,3,0,0,1,4,0,0,823
Ferrisburgh,,,948,559,9,5,4,1,0,2,9,0,0,"1,537"
Fletcher,,,437,211,4,4,0,0,0,0,3,0,0,659
Franklin,,,341,278,8,4,0,0,0,0,4,0,0,635
Georgia,,,"1,300",913,27,15,8,0,0,0,9,0,0,"2,272"
Glover,,,400,191,15,4,3,1,0,0,3,0,0,617
Goshen,,,87,33,2,1,0,0,0,0,1,0,0,124
Grafton,,,250,132,5,3,2,0,0,0,1,0,0,393
Granby,,,27,17,0,1,0,0,0,0,0,0,0,45
"Grand Isle",,,751,440,15,5,0,1,0,0,5,0,0,"1,217"
Granville,,,132,31,8,1,0,0,0,0,0,0,0,172
Greensboro,,,321,133,1,2,3,0,0,1,0,0,0,461
Groton,,,263,209,4,1,5,1,1,0,4,0,0,488
Guildhall,,,75,65,1,1,0,0,0,0,0,0,0,142
Guilford,,,909,294,10,2,2,0,0,0,4,0,0,"1,221"
Halifax,,,278,137,5,1,1,1,1,1,1,0,0,426
Hancock,,,133,62,2,2,1,1,0,0,0,0,0,201
Hardwick,,,972,460,20,6,2,2,2,1,11,0,0,"1,476"
