City/Town,Ward,Pct,"Peter Welch","Mike Bethel","Jerry Trudell","Thomas James Hermann","Cris Ericson","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent,"Energy Independence",Progressive,Independent,"Liberty Union"
Addison,,,608,29,14,15,17,6,15,0,704
Albany,,,383,19,18,16,12,8,5,0,461
Alburgh,,,768,46,35,21,31,17,9,0,927
Andover,,,201,11,6,4,43,17,1,0,283
Arlington,,,945,206,69,25,20,22,13,0,"1,300"
Athens,,,103,5,2,7,19,8,1,0,145
Bakersfield,,,524,19,26,13,13,12,5,0,612
Baltimore,,,92,5,2,0,19,2,1,0,121
Barnard,,,440,18,14,20,8,3,0,0,503
Barnet,,,736,47,33,34,18,22,5,0,895
"Barre City",-,"Washington 3-1","1,460",51,47,123,31,21,12,0,"1,745"
"Barre City",-,"Washington 3-2","1,243",39,20,102,23,20,3,0,"1,450"
"Barre City",-,"Washington 3-3",238,11,8,20,7,4,0,0,288
"Barre Town",,,"3,556",107,93,188,73,47,25,0,"4,089"
Barton,,,"1,010",30,65,20,20,18,2,0,"1,165"
Belvidere,,,124,5,11,2,4,1,4,0,151
Bennington,-,"Bennington 2-1","2,028",821,95,55,117,48,45,0,"3,209"
Bennington,-,"Bennington 2-2","2,007",890,106,45,41,54,29,0,"3,172"
Bennington,-,"Bennington 5",38,10,3,0,0,0,2,0,53
Benson,,,405,34,24,15,13,6,0,0,497
Berkshire,,,567,15,14,10,13,7,8,0,634
Berlin,,,"1,105",47,33,54,23,15,9,0,"1,286"
Bethel,,,813,51,25,25,24,12,7,0,957
Bloomfield,,,83,6,9,2,2,2,0,0,104
Bolton,,,507,16,30,17,15,2,1,0,588
Bradford,,,"1,022",49,39,42,27,21,7,0,"1,207"
Braintree,,,516,20,11,19,9,9,5,0,589
Brandon,,,"1,641",83,67,31,48,33,11,0,"1,914"
Brattleboro,-,"Windham 3-1","1,617",92,67,90,47,60,6,0,"1,979"
Brattleboro,-,"Windham 3-2","1,407",80,68,111,55,71,3,0,"1,795"
Brattleboro,-,"Windham 3-3","1,299",74,78,166,31,83,2,0,"1,733"
Bridgewater,,,415,31,18,6,20,7,2,0,499
Bridport,,,524,24,26,5,32,13,31,0,655
Brighton,,,455,22,48,12,13,9,3,0,562
Bristol,,,"1,626",69,59,67,40,29,33,0,"1,923"
Brookfield,,,562,28,32,26,20,7,6,0,681
Brookline,,,210,7,8,9,12,14,0,0,260
Brownington,,,300,16,34,11,9,8,1,0,379
Brunswick,,,49,5,3,1,0,0,0,0,58
Burke,,,617,22,35,10,26,15,3,0,728
Burlington,-,"Chittenden 3-1","3,223",108,88,96,69,39,45,0,"3,668"
Burlington,-,"Chittenden 3-2","1,772",67,55,107,33,26,11,0,"2,071"
Burlington,-,"Chittenden 3-3","2,876",171,243,340,94,93,42,0,"3,859"
Burlington,-,"Chittenden 3-4","2,498",194,286,416,155,70,29,0,"3,648"
Burlington,-,"Chittenden 3-5","3,904",134,170,236,79,72,19,0,"4,614"
Burlington,-,"Chittenden 3-6",520,27,30,47,12,8,3,0,647
Cabot,,,597,23,37,46,15,8,3,0,729
Calais,,,800,18,27,78,13,10,3,0,949
Cambridge,,,"1,496",76,70,36,54,27,14,0,"1,773"
Canaan,,,365,25,24,7,12,8,0,0,441
Castleton,,,"1,431",131,85,38,54,32,24,0,"1,795"
Cavendish,,,506,19,22,12,74,22,3,0,658
Charleston,,,347,6,50,10,13,9,3,0,438
Charlotte,,,"1,997",54,56,52,39,27,31,0,"2,256"
Chelsea,,,531,22,28,24,16,14,2,0,637
Chester,,,"1,206",48,53,28,229,47,8,0,"1,619"
Chittenden,,,581,29,24,10,18,11,14,0,687
Clarendon,,,"1,010",73,38,25,48,23,15,0,"1,232"
Colchester,-,"Chittenden 7-1","2,964",117,102,75,77,46,27,0,"3,408"
Colchester,-,"Chittenden 7-2","3,416",157,119,78,90,38,17,0,"3,915"
Concord,,,416,29,25,15,9,7,3,0,504
Corinth,,,511,28,28,33,19,12,2,0,633
Cornwall,,,604,19,19,17,16,6,10,0,691
Coventry,,,395,15,34,7,7,5,2,0,465
Craftsbury,,,534,23,39,33,17,13,10,0,669
Danby,,,539,58,27,15,28,32,7,0,706
Danville,,,"1,059",52,55,41,30,18,7,0,"1,262"
Derby,,,"1,891",56,126,37,36,28,14,0,"2,188"
Dorset,,,948,110,53,17,27,33,11,0,"1,199"
Dover,,,498,90,26,21,21,24,4,0,684
Dummerston,,,897,40,27,47,30,37,2,0,"1,080"
Duxbury,,,600,23,21,27,15,13,3,0,702
"E. Haven",,,105,11,9,4,6,6,0,0,141
"E. Montpelier",,,"1,348",35,34,87,21,14,21,0,"1,560"
Eden,,,399,14,28,17,11,9,2,0,480
Elmore,,,426,13,16,10,9,9,4,0,487
Enosburgh,,,995,35,32,23,24,14,17,0,"1,140"
Essex,-,"Chittenden 6-1","3,523",141,109,77,78,53,60,0,"4,041"
Essex,-,"Chittenden 6-2","4,002",156,132,90,88,53,69,0,"4,590"
Essex,-,"Chittenden 6-3","1,128",41,39,26,26,16,24,0,"1,300"
"Fair Haven",,,989,79,46,28,32,28,10,0,"1,212"
Fairfax,,,"1,734",81,86,48,49,28,30,0,"2,056"
Fairfield,,,799,24,26,19,14,9,7,0,898
Fairlee,,,446,20,17,12,13,10,2,0,520
Fayston,,,617,25,48,21,15,12,6,0,744
Ferrisburgh,,,"1,258",61,37,33,29,21,33,0,"1,472"
Fletcher,,,529,21,25,18,10,9,3,0,615
Franklin,,,473,19,21,52,9,5,12,0,591
Georgia,,,"1,763",93,80,30,53,40,21,0,"2,080"
Glover,,,460,8,36,25,22,13,1,0,565
Goshen,,,100,3,6,3,6,3,1,0,122
Grafton,,,254,18,13,13,39,19,3,0,359
Granby,,,30,2,3,2,2,0,0,0,39
"Grand Isle",,,993,32,40,23,26,12,15,0,"1,141"
Granville,,,117,7,10,13,6,2,1,0,156
Greensboro,,,354,11,20,18,8,5,7,0,423
Groton,,,358,24,15,20,10,6,1,0,434
Guildhall,,,94,8,6,6,4,5,0,0,123
Guilford,,,927,50,37,49,25,34,4,0,"1,126"
Halifax,,,263,39,19,19,8,13,0,0,361
Hancock,,,150,4,10,7,5,6,1,0,183
Hardwick,,,"1,177",44,63,51,28,16,2,0,"1,381"
Hartford,-,"Windsor 6-1",998,31,28,16,28,9,3,0,"1,113"
Hartford,-,"Windsor 6-2","3,177",145,126,72,85,48,12,0,"3,665"
Hartland,,,"1,638",48,37,28,37,29,14,0,"1,831"
Highgate,,,"1,103",39,41,17,20,9,18,0,"1,247"
Hinesburg,-,"Chittenden 1-1","1,916",86,87,55,34,21,23,0,"2,222"
Hinesburg,-,"Chittenden 1-2",91,6,1,0,1,0,0,0,99
Holland,,,230,11,24,7,7,2,2,0,283
Hubbardton,,,281,22,14,8,10,6,3,0,344
Huntington,,,922,31,25,39,20,22,12,0,"1,071"
"Hyde Park",,,"1,217",50,53,41,30,19,10,0,"1,420"
Ira,-,"Rutland Rutland 1-1",28,3,1,0,2,0,0,0,34
Ira,-,"Rutland Rutland 1-2",171,9,3,2,3,1,1,0,190
Irasburg,,,464,22,27,8,5,2,1,0,529
"Isle La Motte",,,261,24,14,4,8,2,5,0,318
Jamaica,,,340,20,24,8,15,76,0,0,483
Jay,,,149,2,13,3,7,2,3,0,179
Jericho,,,"2,540",108,107,71,58,33,32,0,"2,949"
Johnson,,,"1,049",43,70,58,37,21,2,0,"1,280"
Killington,,,449,30,31,6,21,11,0,0,548
Kirby,,,196,10,10,6,4,3,7,0,236
Landgrove,,,79,6,3,2,1,10,1,0,102
Leicester,,,413,25,20,7,11,10,8,0,494
Lemington,,,38,5,5,0,4,0,0,0,52
