City/Town,Ward,Pct,"Doug Racine","Edward Flanagan","Virginia Lyons","Diane B. Snelling","Hinda Miller","Tim Ashe","Denise Begins Barnard","Dennis B. Bedard","Darren Adams","Paula Spadaccini","Robyn Myers-Moore","Agnes Clift","Tom Licata","Larkin Forney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Democratic,Republican,Democratic,Democratic/Progressive,Democratic,Republican,Republican,Republican,Republican,Republican,Independent,"Justice for Vermonters"
Bolton,,,420,334,322,272,274,215,379,126,110,114,103,98,80,32,2,0,"2,881"
Burlington,-,"Chittenden 3-1","2,572","2,356","1,939","1,794","1,858","1,736","1,435",870,767,732,641,676,676,145,21,0,"18,218"
Burlington,-,"Chittenden 3-2","1,406","1,312","1,130",923,"1,021","1,071",820,464,367,381,331,355,399,82,9,0,"10,071"
Burlington,-,"Chittenden 3-3","2,522","2,516","2,197",848,"2,132","2,514","1,796",341,296,287,262,285,848,313,59,0,"17,216"
Burlington,-,"Chittenden 3-4","2,255","2,311","2,018",716,"1,992","2,385","1,730",375,318,288,284,278,894,295,100,0,"16,239"
Burlington,-,"Chittenden 3-5","3,196","3,000","2,733","1,689","2,644","2,649","2,032",676,535,607,515,534,"1,149",220,41,0,"22,220"
Burlington,-,"Chittenden 3-6",469,446,378,177,343,359,316,71,66,64,55,50,131,37,13,0,"2,975"
Charlotte,,,"1,520","1,318","1,251","1,212","1,062",783,858,528,482,863,475,467,328,50,3,0,"11,200"
Essex,-,"Chittenden 6-1","2,447","2,044","1,900","2,263","1,556","1,268","1,263","1,284","1,244","1,146","1,793","1,116",664,155,40,0,"20,183"
Essex,-,"Chittenden 6-2","2,863","2,416","2,173","2,393","1,868","1,593","1,608","1,360","1,272","1,187","1,799","1,172",843,167,34,0,"22,748"
Essex,-,"Chittenden 6-3",791,676,675,695,566,449,467,381,389,371,542,362,187,45,11,0,"6,607"
Hinesburg,-,"Chittenden 1-1","1,522","1,270","1,222","1,228","1,014",845,918,515,447,539,408,400,263,85,7,0,"10,683"
Hinesburg,-,"Chittenden 1-2",70,59,56,59,49,36,51,27,19,24,19,24,18,2,0,0,513
Huntington,,,798,649,637,503,511,475,696,194,177,166,163,140,161,46,0,0,"5,316"
Jericho,,,"2,003","1,602","1,543","1,509","1,274","1,063","1,443",822,782,727,775,754,344,102,10,0,"14,753"
Milton,-,"Fire Station",356,268,225,370,187,149,142,207,343,196,186,181,58,67,3,0,"2,938"
Milton,-,"Mun. Complex","2,287","1,862","1,536","2,157","1,222",912,964,"1,229","2,174","1,038","1,066","1,008",358,448,17,0,"18,278"
Richmond,,,"1,736","1,282","1,307","1,173",999,892,"1,757",523,451,422,411,378,322,80,8,0,"11,741"
Shelburne,-,"Chittenden 5-1","1,537","1,286","1,242","1,268","1,184",890,887,579,496,662,444,469,393,62,7,0,"11,406"
Shelburne,-,"Chittenden 5-2","1,203","1,000",958,"1,183",929,569,642,598,511,679,469,495,335,43,10,0,"9,624"
"S. Burlington",-,"Chamberlain Sch","1,316","1,130",924,"1,000",846,715,708,633,468,450,392,662,290,66,10,0,"9,610"
"S. Burlington",-,"Chittenden 3-10","1,393","1,228","1,071",909,"1,009",873,786,533,400,397,361,496,341,74,65,0,"9,936"
"S. Burlington",-,"Chittenden 3-8","1,811","1,523","1,378","1,609","1,345",938,987,"1,052",725,786,711,961,472,64,10,0,"14,372"
"S. Burlington",-,"Orchard Sch","1,347","1,185","1,089","1,032","1,010",783,823,624,443,489,414,541,361,43,6,0,"10,190"
"St. George",,,218,185,195,172,137,104,137,68,72,71,58,61,33,13,0,0,"1,524"
Underhill,,,"1,278","1,050",968,871,859,688,910,462,454,415,450,428,233,74,7,0,"9,147"
Westford,,,702,600,549,522,427,421,395,266,307,239,263,239,135,56,4,0,"5,125"
Williston,,,"3,014","2,493","2,925","2,790","1,927","1,608","1,689","1,428","1,319","1,377","1,243","1,181",699,133,16,0,"23,842"
Winooski,,,"1,804","1,597","1,328","1,057","1,212","1,120","1,048",524,460,393,396,381,396,142,11,0,"11,869"
TOTALS,,,"44,856","38,998","35,869","32,394","31,457","28,103","27,687","16,760","15,894","15,110","15,029","14,192","11,411","3,141",524,0,"331,425"
