City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,30,0,0,30
Albany,,,21,2,0,23
Alburgh,,,35,0,0,35
Andover,,,19,0,0,19
Arlington,,,68,0,0,68
Athens,,,10,1,0,11
Bakersfield,,,34,0,0,34
Baltimore,,,13,0,0,13
Barnard,,,26,1,0,27
Barnet,,,38,0,0,38
"Barre City",-,"Washington 3-1",73,0,0,73
"Barre City",-,"Washington 3-2",40,2,0,42
"Barre City",-,"Washington 3-3",12,0,0,12
"Barre Town",,,132,2,0,134
Barton,,,49,2,0,51
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",129,1,0,130
Bennington,-,"Bennington 2-2",100,0,0,100
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,21,0,0,21
Berkshire,,,42,0,0,42
Berlin,,,55,0,0,55
Bethel,,,70,2,0,72
Bloomfield,,,12,0,0,12
Bolton,,,52,0,0,52
Bradford,,,70,2,0,72
Braintree,,,34,0,0,34
Brandon,,,78,2,0,80
Brattleboro,-,"Windham 3-1",127,1,0,128
Brattleboro,-,"Windham 3-2",133,1,0,134
Brattleboro,-,"Windham 3-3",126,2,0,128
Bridgewater,,,18,2,0,20
Bridport,,,28,0,0,28
Brighton,,,12,0,0,12
Bristol,,,87,0,0,87
Brookfield,,,31,0,0,31
Brookline,,,17,0,0,17
Brownington,,,7,1,0,8
Brunswick,,,1,0,0,1
Burke,,,22,0,0,22
Burlington,-,"Chittenden 3-1",422,0,0,422
Burlington,-,"Chittenden 3-2",209,3,0,212
Burlington,-,"Chittenden 3-3",261,5,0,266
Burlington,-,"Chittenden 3-4",183,2,0,185
Burlington,-,"Chittenden 3-5",784,10,0,794
Burlington,-,"Chittenden 3-6",53,0,0,53
Cabot,,,52,2,0,54
Calais,,,66,1,0,67
Cambridge,,,46,1,0,47
Canaan,,,13,0,0,13
Castleton,,,36,0,0,36
Cavendish,,,41,2,0,43
Charleston,,,17,0,0,17
Charlotte,,,119,0,0,119
Chelsea,,,26,0,0,26
Chester,,,138,1,0,139
Chittenden,,,30,0,0,30
Clarendon,,,86,0,0,86
Colchester,-,"Chittenden 7-1",77,1,0,78
Colchester,-,"Chittenden 7-2",71,1,0,72
Concord,,,28,0,0,28
Corinth,,,62,1,0,63
Cornwall,,,58,2,0,60
Coventry,,,14,0,0,14
Craftsbury,,,55,0,0,55
Danby,,,71,1,0,72
Danville,,,173,2,0,175
Derby,,,74,0,0,74
Dorset,,,52,0,0,52
Dover,,,33,1,0,34
Dummerston,,,256,1,0,257
Duxbury,,,69,2,0,71
"E. Haven",,,9,0,0,9
"E. Montpelier",,,81,1,0,82
Eden,,,14,1,0,15
Elmore,,,38,0,0,38
Enosburgh,,,55,0,0,55
Essex,-,"Chittenden 6-1",110,3,0,113
Essex,-,"Chittenden 6-2",120,0,0,120
Essex,-,"Chittenden 6-3",34,0,0,34
"Fair Haven",,,15,0,0,15
Fairfax,,,79,1,0,80
Fairfield,,,120,1,0,121
Fairlee,,,33,0,0,33
Fayston,,,26,0,0,26
Ferrisburgh,,,71,0,0,71
Fletcher,,,28,0,0,28
Franklin,,,30,1,0,31
Georgia,,,61,0,0,61
Glover,,,41,1,0,42
Goshen,,,17,0,0,17
Grafton,,,23,0,0,23
Granby,,,4,0,0,4
"Grand Isle",,,57,1,0,58
Granville,,,4,0,0,4
Greensboro,,,46,0,0,46
Groton,,,26,0,0,26
Guildhall,,,9,0,0,9
Guilford,,,56,1,0,57
Halifax,,,10,1,0,11
Hancock,,,8,0,0,8
Hardwick,,,46,0,0,46
Hartford,-,"Windsor 6-1",22,0,0,22
Hartford,-,"Windsor 6-2",99,0,0,99
Hartland,,,165,0,0,165
Highgate,,,47,2,0,49
Hinesburg,-,"Chittenden 1-1",131,0,0,131
Hinesburg,-,"Chittenden 1-2",3,0,0,3
Holland,,,8,0,0,8
Hubbardton,,,10,0,0,10
Huntington,,,148,0,0,148
"Hyde Park",,,37,1,0,38
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",16,0,0,16
Irasburg,,,18,1,0,19
"Isle La Motte",,,23,0,0,23
Jamaica,,,25,0,0,25
Jay,,,8,1,0,9
Jericho,,,170,1,0,171
Johnson,,,38,0,0,38
Killington,,,19,0,0,19
Kirby,,,4,0,0,4
Landgrove,,,6,0,0,6
Leicester,,,35,0,0,35
Lincoln,,,74,2,0,76
Londonderry,,,26,0,0,26
Lowell,,,17,1,0,18
Ludlow,,,58,0,0,58
Lunenburg,,,14,2,0,16
Lyndon,,,46,0,0,46
Maidstone,,,5,0,0,5
Manchester,,,68,1,0,69
Marlboro,,,59,1,0,60
Marshfield,,,51,1,0,52
Mendon,,,110,0,0,110
Middlebury,,,144,0,0,144
Middlesex,,,56,0,0,56
"Middletown Springs",,,29,0,0,29
Milton,-,"Chittenden 9",114,0,0,114
Milton,-,"Grand Isle-Chittenden 1-1",24,0,0,24
Monkton,,,42,0,0,42
Montgomery,,,24,0,0,24
Montpelier,,,999,4,0,"1,003"
Moretown,,,41,1,0,42
Morgan,,,19,0,0,19
Morristown,,,75,2,0,77
"Mount Holly",,,54,0,0,54
"Mount Tabor",,,10,0,0,10
"New Haven",,,44,1,0,45
Newark,,,17,0,0,17
Newbury,-,"Center Town House",45,1,0,46
Newbury,-,"Town Office",16,0,0,16
Newbury,-,"West River Village",22,0,0,22
Newfane,,,56,0,0,56
"Newport City",,,59,1,0,60
"Newport Town",,,27,0,0,27
"N. Hero",,,26,0,0,26
Northfield,,,127,2,0,129
Norton,,,3,0,0,3
Norwich,,,221,1,0,222
Orange,,,7,2,0,9
Orwell,,,32,1,0,33
Panton,,,11,0,0,11
Pawlet,,,47,0,0,47
Peacham,,,67,0,0,67
Peru,,,19,0,0,19
Pittsfield,,,13,0,0,13
Pittsford,,,57,1,0,58
Plainfield,,,47,0,0,47
Plymouth,,,14,0,0,14
Pomfret,,,38,0,0,38
Poultney,,,41,0,0,41
Proctor,,,54,0,0,54
Putney,,,364,2,0,366
Randolph,,,163,2,0,165
Reading,,,32,0,0,32
Readsboro,,,21,1,0,22
Richford,,,48,0,0,48
Richmond,,,276,1,0,277
Ripton,,,38,0,0,38
Rochester,,,63,2,0,65
Rockingham,,,207,2,0,209
Roxbury,,,26,0,0,26
Royalton,,,54,1,0,55
Rupert,,,38,0,0,38
"Rutland City",-,"Rutland 5-1",123,1,0,124
"Rutland City",-,"Rutland 5-2",111,0,0,111
"Rutland City",-,"Rutland 5-3",57,2,0,59
"Rutland City",-,"Rutland 5-4",66,0,0,66
"Rutland Town",,,341,0,0,341
Ryegate,,,33,1,0,34
Salisbury,,,23,2,0,25
Sandgate,,,21,0,0,21
Searsburg,,,3,1,0,4
Shaftsbury,,,120,2,0,122
Sharon,,,32,0,0,32
Sheffield,,,10,1,0,11
Shelburne,-,"Chittenden 5-1",203,0,0,203
Shelburne,-,"Chittenden 5-2",93,1,0,94
Sheldon,,,38,0,0,38
Shoreham,,,38,1,0,39
Shrewsbury,,,130,0,0,130
"S. Burlington",-,"Chittenden 3-10",130,0,0,130
"S. Burlington",-,"Chittenden 3-7",159,0,0,159
"S. Burlington",-,"Chittenden 3-8",182,2,0,184
