City/Town,Ward,Pct,"Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,1,0,0,1
Alburgh,,,2,0,0,2
Bakersfield,,,1,0,0,1
"Barre City",-,"Washington 3-1",0,0,0,0
"Barre City",-,"Washington 3-2",2,0,0,2
"Barre City",-,"Washington 3-3",0,0,0,0
"Barre Town",,,1,0,0,1
Bennington,-,"Bennington 2-1",1,0,0,1
Bennington,-,"Bennington 2-2",4,0,0,4
Bennington,-,"Bennington 5",0,0,0,0
Berlin,,,1,0,0,1
Bradford,,,2,0,0,2
Brandon,,,2,0,0,2
Brattleboro,-,"Windham 3-1",2,0,0,2
Brattleboro,-,"Windham 3-2",1,0,0,1
Brattleboro,-,"Windham 3-3",2,0,0,2
Bridgewater,,,1,0,0,1
Bridport,,,0,1,0,1
Burke,,,2,0,0,2
Burlington,-,"Chittenden 3-1",2,0,0,2
Burlington,-,"Chittenden 3-2",1,0,0,1
Burlington,-,"Chittenden 3-3",3,0,0,3
Burlington,-,"Chittenden 3-4",0,0,0,0
Burlington,-,"Chittenden 3-5",0,0,0,0
Burlington,-,"Chittenden 3-6",1,0,0,1
Cabot,,,1,0,0,1
Charlotte,,,1,0,0,1
Chester,,,1,0,0,1
Chittenden,,,1,0,0,1
Concord,,,2,0,0,2
Corinth,,,1,0,0,1
Coventry,,,1,0,0,1
Derby,,,2,0,0,2
Dummerston,,,1,0,0,1
Essex,-,"Chittenden 6-1",2,0,0,2
Essex,-,"Chittenden 6-2",0,0,0,0
Essex,-,"Chittenden 6-3",0,0,0,0
Fairfax,,,1,0,0,1
Fairfield,,,1,1,0,2
Grafton,,,1,0,0,1
Groton,,,1,0,0,1
Hancock,,,1,0,0,1
Hardwick,,,1,0,0,1
Hartland,,,1,0,0,1
Huntington,,,1,0,0,1
"Hyde Park",,,1,0,0,1
Jamaica,,,1,0,0,1
Jericho,,,1,0,0,1
Maidstone,,,0,1,0,1
Mendon,,,1,0,0,1
Milton,-,"Chittenden 9",1,0,0,1
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Montpelier,,,1,0,0,1
"New Haven",,,1,0,0,1
Newark,,,1,0,0,1
Newbury,-,"Center Town House",2,0,0,2
Newbury,-,"Town Office",2,0,0,2
Newbury,-,"West River Village",0,0,0,0
Newfane,,,1,0,0,1
"Newport City",,,1,0,0,1
"Newport Town",,,1,0,0,1
Northfield,,,1,0,0,1
Norwich,,,2,0,0,2
Pawlet,,,1,0,0,1
Peacham,,,1,0,0,1
Pomfret,,,1,0,0,1
Poultney,,,1,0,0,1
Pownal,,,1,0,0,1
Putney,,,3,0,0,3
Randolph,,,1,0,0,1
Ripton,,,1,0,0,1
Rockingham,,,1,0,0,1
"Rutland City",-,"Rutland 5-1",1,0,0,1
"Rutland City",-,"Rutland 5-2",0,0,0,0
"Rutland City",-,"Rutland 5-3",1,0,0,1
"Rutland City",-,"Rutland 5-4",0,0,0,0
"Rutland Town",,,7,1,0,8
Shaftsbury,,,2,0,0,2
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",3,0,0,3
"St. Johnsbury",,,3,0,0,3
Swanton,,,1,0,0,1
Townshend,,,1,0,0,1
Troy,,,2,0,0,2
Vergennes,,,1,0,0,1
Vernon,,,1,0,0,1
Waitsfield,,,3,0,0,3
Wells,,,1,0,0,1
"W. Fairlee",,,1,0,0,1
"W. Haven",,,1,0,0,1
"W. Windsor",,,1,0,0,1
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",1,0,0,1
Wheelock,,,1,0,0,1
Whitingham,,,1,0,0,1
Woodbury,,,1,0,0,1
Woodstock,,,2,0,0,2
Worcester,,,1,0,0,1
TOTALS,,,119,4,0,123
