City/Town,Ward,Pct,"Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,30,5,0,35
Albany,,,25,3,0,28
Alburgh,,,11,0,0,11
Andover,,,9,1,0,10
Arlington,,,38,1,0,39
Athens,,,4,0,0,4
Bakersfield,,,26,5,0,31
Baltimore,,,6,2,0,8
Barnard,,,12,1,0,13
Barnet,,,43,5,0,48
"Barre City",-,"Washington 3-1",45,2,0,47
"Barre City",-,"Washington 3-2",19,3,0,22
"Barre City",-,"Washington 3-3",7,0,0,7
"Barre Town",,,138,16,0,154
Barton,,,44,12,0,56
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",25,2,0,27
Bennington,-,"Bennington 2-2",22,1,0,23
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,12,2,0,14
Berkshire,,,19,4,0,23
Berlin,,,13,3,0,16
Bethel,,,19,6,0,25
Bloomfield,,,9,2,0,11
Bolton,,,13,1,0,14
Bradford,,,39,8,0,47
Braintree,,,29,2,0,31
Brandon,,,73,3,0,76
Brattleboro,-,"Windham 3-1",20,3,0,23
Brattleboro,-,"Windham 3-2",12,3,0,15
Brattleboro,-,"Windham 3-3",13,0,0,13
Bridgewater,,,12,4,0,16
Bridport,,,33,3,0,36
Brighton,,,27,2,0,29
Bristol,,,37,1,0,38
Brookfield,,,23,1,0,24
Brookline,,,10,0,0,10
Brownington,,,8,3,0,11
Brunswick,,,4,4,0,8
Burke,,,32,1,0,33
Burlington,-,"Chittenden 3-1",107,3,0,110
Burlington,-,"Chittenden 3-2",34,4,0,38
Burlington,-,"Chittenden 3-3",27,0,0,27
Burlington,-,"Chittenden 3-4",10,0,0,10
Burlington,-,"Chittenden 3-5",39,8,0,47
Burlington,-,"Chittenden 3-6",4,0,0,4
Cabot,,,10,0,0,10
Calais,,,12,2,0,14
Cambridge,,,22,3,0,25
Canaan,,,32,2,0,34
Castleton,,,19,0,0,19
Cavendish,,,10,5,0,15
Charleston,,,12,0,0,12
Charlotte,,,10,2,0,12
Chelsea,,,14,3,0,17
Chester,,,51,4,0,55
Chittenden,,,14,0,0,14
Clarendon,,,44,1,0,45
Colchester,-,"Chittenden 7-1",14,0,0,14
Colchester,-,"Chittenden 7-2",34,3,0,37
Concord,,,72,2,0,74
Corinth,,,24,0,0,24
Cornwall,,,14,0,0,14
Coventry,,,38,5,0,43
Craftsbury,,,14,6,0,20
Danby,,,58,5,0,63
Danville,,,61,7,0,68
Derby,,,42,16,0,58
Dorset,,,47,0,0,47
Dover,,,23,0,0,23
Dummerston,,,28,1,0,29
Duxbury,,,16,1,0,17
"E. Haven",,,11,0,0,11
"E. Montpelier",,,30,2,0,32
Eden,,,3,3,0,6
Elmore,,,7,2,0,9
Enosburgh,,,74,28,0,102
Essex,-,"Chittenden 6-1",31,1,0,32
Essex,-,"Chittenden 6-2",47,3,0,50
Essex,-,"Chittenden 6-3",6,0,0,6
"Fair Haven",,,24,2,0,26
Fairfax,,,43,1,0,44
Fairfield,,,10,6,0,16
Fairlee,,,28,2,0,30
Fayston,,,7,0,0,7
Ferrisburgh,,,21,0,0,21
Fletcher,,,3,0,0,3
Franklin,,,22,1,0,23
Georgia,,,46,6,0,52
Glover,,,25,10,0,35
Goshen,,,2,0,0,2
Grafton,,,10,0,0,10
Granby,,,11,0,0,11
"Grand Isle",,,25,7,0,32
Granville,,,3,0,0,3
Greensboro,,,7,1,0,8
Groton,,,33,1,0,34
Guildhall,,,21,1,0,22
Guilford,,,11,1,0,12
Halifax,,,8,0,0,8
Hancock,,,3,0,0,3
Hardwick,,,19,1,0,20
Hartford,-,"Windsor 6-1",12,0,0,12
Hartford,-,"Windsor 6-2",48,3,0,51
Hartland,,,38,2,0,40
Highgate,,,40,7,0,47
Hinesburg,-,"Chittenden 1-1",25,3,0,28
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Holland,,,13,0,0,13
Hubbardton,,,12,0,0,12
Huntington,,,22,0,0,22
"Hyde Park",,,14,3,0,17
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",8,0,0,8
Irasburg,,,22,6,0,28
"Isle La Motte",,,4,0,0,4
Jamaica,,,16,2,0,18
Jay,,,5,1,0,6
