City/Town,Ward,Pct,"Gaye Symington",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,22,5,0,27
Albany,,,17,5,0,22
Alburgh,,,31,4,0,35
Andover,,,19,1,0,20
Arlington,,,66,0,0,66
Athens,,,9,2,0,11
Bakersfield,,,33,4,0,37
Baltimore,,,12,3,0,15
Barnard,,,26,2,0,28
Barnet,,,33,4,0,37
"Barre City",-,"Washington 3-1",64,5,0,69
"Barre City",-,"Washington 3-2",35,7,0,42
"Barre City",-,"Washington 3-3",11,2,0,13
"Barre Town",,,114,10,0,124
Barton,,,33,17,0,50
Belvidere,,,5,0,0,5
Bennington,-,"Bennington 2-1",129,2,0,131
Bennington,-,"Bennington 2-2",97,3,0,100
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,21,1,0,22
Berkshire,,,30,10,0,40
Berlin,,,46,6,0,52
Bethel,,,63,11,0,74
Bloomfield,,,12,1,0,13
Bolton,,,49,4,0,53
Bradford,,,56,10,0,66
Braintree,,,31,1,0,32
Brandon,,,81,7,0,88
Brattleboro,-,"Windham 3-1",124,8,0,132
Brattleboro,-,"Windham 3-2",129,14,0,143
Brattleboro,-,"Windham 3-3",113,13,0,126
Bridgewater,,,16,6,0,22
Bridport,,,17,3,0,20
Brighton,,,5,3,0,8
Bristol,,,76,6,0,82
Brookfield,,,30,0,0,30
Brookline,,,17,1,0,18
Brownington,,,7,2,0,9
Brunswick,,,1,0,0,1
Burke,,,19,0,0,19
Burlington,-,"Chittenden 3-1",383,19,0,402
Burlington,-,"Chittenden 3-2",172,26,0,198
Burlington,-,"Chittenden 3-3",249,28,0,277
Burlington,-,"Chittenden 3-4",176,19,0,195
Burlington,-,"Chittenden 3-5",754,42,0,796
Burlington,-,"Chittenden 3-6",47,2,0,49
Cabot,,,48,7,0,55
Calais,,,62,13,0,75
Cambridge,,,36,9,0,45
Canaan,,,8,2,0,10
Castleton,,,29,4,0,33
Cavendish,,,32,7,0,39
Charleston,,,17,2,0,19
Charlotte,,,114,8,0,122
Chelsea,,,26,3,0,29
Chester,,,138,3,0,141
Chittenden,,,30,4,0,34
Clarendon,,,68,5,0,73
Colchester,-,"Chittenden 7-1",62,10,0,72
Colchester,-,"Chittenden 7-2",71,8,0,79
Concord,,,28,5,0,33
Corinth,,,56,4,0,60
Cornwall,,,57,2,0,59
Coventry,,,12,2,0,14
Craftsbury,,,43,10,0,53
Danby,,,66,2,0,68
Danville,,,152,11,0,163
Derby,,,61,10,0,71
Dorset,,,52,1,0,53
Dover,,,33,7,0,40
Dummerston,,,268,12,0,280
Duxbury,,,59,11,0,70
"E. Haven",,,5,0,0,5
"E. Montpelier",,,78,9,0,87
Eden,,,12,3,0,15
Elmore,,,27,6,0,33
Enosburgh,,,44,5,0,49
Essex,-,"Chittenden 6-1",87,10,0,97
Essex,-,"Chittenden 6-2",102,12,0,114
Essex,-,"Chittenden 6-3",32,2,0,34
"Fair Haven",,,17,1,0,18
