City/Town,Ward,Pct,"Thomas W. Costello","Nate Freeman",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,20,7,6,0,33
Albany,,,11,9,3,0,23
Alburgh,,,22,14,3,0,39
Andover,,,14,6,0,0,20
Arlington,,,54,19,0,0,73
Athens,,,5,6,2,0,13
Bakersfield,,,23,9,3,0,35
Baltimore,,,7,4,2,0,13
Barnard,,,18,10,1,0,29
Barnet,,,18,17,1,0,36
"Barre City",-,"Washington 3-1",34,31,1,0,66
"Barre City",-,"Washington 3-2",25,18,1,0,44
"Barre City",-,"Washington 3-3",8,5,1,0,14
"Barre Town",,,60,71,2,0,133
Barton,,,21,15,14,0,50
Belvidere,,,3,4,0,0,7
Bennington,-,"Bennington 2-1",25,28,2,0,55
Bennington,-,"Bennington 2-2",90,26,0,0,116
Bennington,-,"Bennington 5",2,0,0,0,2
Benson,,,13,15,0,0,28
Berkshire,,,18,16,5,0,39
Berlin,,,26,32,1,0,59
Bethel,,,36,39,1,0,76
Bloomfield,,,5,9,0,0,14
Bolton,,,30,23,2,0,55
Bradford,,,26,36,7,0,69
Braintree,,,15,15,0,0,30
Brandon,,,37,41,3,0,81
Brattleboro,-,"Windham 3-1",115,29,2,0,146
Brattleboro,-,"Windham 3-2",126,30,2,0,158
Brattleboro,-,"Windham 3-3",113,28,8,0,149
Bridgewater,,,7,7,7,0,21
Bridport,,,15,12,0,0,27
Brighton,,,9,3,0,0,12
Bristol,,,41,39,2,0,82
Brookfield,,,17,15,0,0,32
Brookline,,,13,4,1,0,18
Brownington,,,3,5,1,0,9
Brunswick,,,0,1,0,0,1
Burke,,,13,6,0,0,19
Burlington,-,"Chittenden 3-1",260,126,9,0,395
Burlington,-,"Chittenden 3-2",110,69,7,0,186
Burlington,-,"Chittenden 3-3",157,98,6,0,261
Burlington,-,"Chittenden 3-4",110,65,7,0,182
Burlington,-,"Chittenden 3-5",499,230,12,0,741
Burlington,-,"Chittenden 3-6",33,13,4,0,50
Cabot,,,22,32,1,0,55
Calais,,,27,41,5,0,73
Cambridge,,,24,21,3,0,48
Canaan,,,7,4,0,0,11
Castleton,,,26,13,0,0,39
Cavendish,,,20,19,0,0,39
Charleston,,,12,6,1,0,19
Charlotte,,,83,41,0,0,124
Chelsea,,,8,17,1,0,26
Chester,,,80,54,2,0,136
Chittenden,,,24,7,0,0,31
Clarendon,,,70,22,3,0,95
Colchester,-,"Chittenden 7-1",64,23,2,0,89
Colchester,-,"Chittenden 7-2",56,29,3,0,88
Concord,,,12,15,4,0,31
Corinth,,,22,38,2,0,62
Cornwall,,,33,24,0,0,57
Coventry,,,5,5,2,0,12
Craftsbury,,,20,25,4,0,49
Danby,,,47,23,0,0,70
Danville,,,87,67,4,0,158
Derby,,,43,17,18,0,78
Dorset,,,34,22,1,0,57
Dover,,,24,10,4,0,38
Dummerston,,,214,55,5,0,274
