City/Town,Ward,Pct,"Barack Obama","Hillary Clinton","John Edwards","Dennis Kucinich",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,
Addison,,,152,142,3,1,1,0,0,299
Albany,,,123,71,1,5,0,0,0,200
Alburgh,,,235,214,6,0,0,0,0,455
Andover,,,83,35,1,3,0,0,0,122
Arlington,,,361,268,8,2,3,0,0,642
Athens,,,36,24,1,1,0,0,0,62
Bakersfield,,,176,99,6,2,1,0,0,284
Baltimore,,,17,15,2,0,0,0,0,34
Barnard,,,176,98,1,4,0,0,0,279
Barnet,,,225,123,1,4,2,0,0,355
"Barre City",,,950,734,35,10,6,0,0,"1,735"
"Barre Town",,,908,786,25,5,0,0,0,"1,724"
Barton,,,218,204,20,18,0,0,0,460
Belvidere,,,22,21,2,1,1,0,0,47
Bennington,-,1,261,143,1,2,0,0,0,407
Bennington,-,"Bennington 2-1 And 2-2","1,348","1,572",49,8,0,0,0,"2,977"
Benson,,,134,117,1,0,0,0,0,252
Berkshire,,,121,132,5,0,0,0,0,258
Berlin,,,389,231,10,6,1,0,0,637
Bethel,,,268,184,4,3,1,0,0,460
Bloomfield,,,21,26,2,0,0,0,0,49
Bolton,,,193,134,2,1,0,0,0,330
Bradford,,,321,184,5,3,0,0,0,513
Braintree,,,154,89,2,1,2,0,0,248
Brandon,,,571,449,12,2,2,0,0,"1,036"
Brattleboro,,,"2,254","1,309",41,49,0,0,0,"3,653"
Bridgewater,,,141,73,0,3,0,0,0,217
Bridport,,,180,99,4,1,0,0,0,284
Brighton,,,188,164,9,0,1,0,0,362
Bristol,,,587,374,14,9,4,0,0,988
Brookfield,,,238,114,5,2,0,0,0,359
Brookline,,,82,42,1,0,0,0,0,125
Brownington,,,86,48,2,0,0,0,0,136
Brunswick,,,18,10,0,0,0,0,0,28
Burke,,,236,117,4,1,1,0,0,359
Burlington,-,"Chittenden Ward 1","1,032",402,16,13,2,0,0,"1,465"
Burlington,-,"Chittenden Ward 2",806,322,8,12,9,0,0,"1,157"
Burlington,-,"Chittenden Ward 3",990,434,17,24,5,0,0,"1,470"
Burlington,-,"Chittenden Ward 4",985,712,24,10,8,0,0,"1,739"
Burlington,-,"Chittenden Ward 5","1,264",602,21,24,3,0,0,"1,914"
Burlington,-,"Chittenden Ward 6","1,141",436,10,16,5,0,0,"1,608"
Burlington,-,"Chittenden Ward 7",903,646,21,7,3,0,0,"1,580"
Cabot,,,265,136,10,11,1,0,0,423
Calais,,,430,136,9,5,4,0,0,584
Cambridge,,,497,328,12,3,0,0,0,840
Canaan,,,107,111,4,0,2,0,0,224
Castleton,,,464,350,12,3,0,0,0,829
Cavendish,,,189,133,5,2,1,0,0,330
Charleston,,,100,54,1,1,1,0,0,157
Charlotte,,,"1,006",390,12,6,0,0,0,"1,414"
Chelsea,,,166,80,2,1,0,0,0,249
Chester,,,467,342,15,3,1,0,0,828
Chittenden,,,222,137,1,4,0,0,0,364
Clarendon,,,252,244,9,5,0,0,0,510
Colchester,-,"Chittenden 7-1",987,679,14,5,3,0,0,"1,688"
Colchester,-,"Chittenden 7-2","1,168",881,25,4,3,0,0,"2,081"
Concord,,,125,99,10,0,1,0,0,235
Corinth,,,196,112,3,3,0,0,0,314
Cornwall,,,318,128,6,1,0,0,0,453
Coventry,,,105,85,2,3,0,0,0,195
Craftsbury,,,233,93,4,4,1,0,0,335
Danby,,,151,143,6,2,2,0,0,304
Danville,,,341,164,0,0,0,0,0,505
Derby,,,484,431,20,1,1,0,0,937
Dorset,,,407,204,7,5,1,0,0,624
Dover,,,192,127,5,2,1,0,0,327
Dummerston,,,451,183,5,9,1,0,0,649
Duxbury,,,250,120,4,2,4,0,0,380
"E. Haven",,,51,30,0,0,0,0,0,81
"E. Montpelier",,,622,276,15,12,5,0,0,930
Eden,,,107,74,3,0,1,0,0,185
Elmore,,,159,85,2,1,0,0,0,247
Enosburgh,,,239,191,5,5,0,0,0,440
