City/Town,Ward,Pct,"Thomas James Hermann",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,1,0,0,1
Arlington,,,1,0,0,1
Bakersfield,,,1,1,0,2
"Barre City",-,"Washington 3-1",1,0,0,1
"Barre City",-,"Washington 3-2",3,1,0,4
"Barre City",-,"Washington 3-3",0,0,0,0
Barton,,,1,0,0,1
Bennington,-,"Bennington 2-1",2,0,0,2
Bennington,-,"Bennington 2-2",1,1,0,2
Bennington,-,"Bennington 5",0,0,0,0
Benson,,,1,0,0,1
Bethel,,,4,0,0,4
Braintree,,,1,0,0,1
Brattleboro,-,"Windham 3-1",4,1,0,5
Brattleboro,-,"Windham 3-2",4,1,0,5
Brattleboro,-,"Windham 3-3",12,1,0,13
Brighton,,,2,0,0,2
Bristol,,,2,1,0,3
Burlington,-,"Chittenden 3-1",0,1,0,1
Burlington,-,"Chittenden 3-2",3,0,0,3
Burlington,-,"Chittenden 3-3",5,2,0,7
Burlington,-,"Chittenden 3-4",13,1,0,14
Burlington,-,"Chittenden 3-5",8,0,0,8
Burlington,-,"Chittenden 3-6",2,0,0,2
Cambridge,,,1,0,0,1
Charlotte,,,0,1,0,1
Chittenden,,,1,0,0,1
Colchester,-,"Chittenden 7-1",1,0,0,1
Colchester,-,"Chittenden 7-2",1,0,0,1
Concord,,,3,0,0,3
Corinth,,,1,0,0,1
Craftsbury,,,1,2,0,3
Danville,,,1,0,0,1
Dummerston,,,1,0,0,1
"E. Montpelier",,,2,0,0,2
Enosburgh,,,7,5,0,12
Essex,-,"Chittenden 6-1",1,0,0,1
Essex,-,"Chittenden 6-2",2,0,0,2
Essex,-,"Chittenden 6-3",0,0,0,0
Fairfax,,,3,0,0,3
Ferrisburgh,,,3,0,0,3
Franklin,,,1,0,0,1
Glover,,,4,0,0,4
Granville,,,1,0,0,1
Greensboro,,,0,1,0,1
Guilford,,,2,0,0,2
Hardwick,,,1,0,0,1
Hartland,,,1,0,0,1
Hinesburg,-,"Chittenden 1-1",2,0,0,2
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,2,1,0,3
Huntington,,,4,0,0,4
"Hyde Park",,,1,0,0,1
Jericho,,,4,0,0,4
Landgrove,,,2,0,0,2
Lincoln,,,1,0,0,1
Lowell,,,1,0,0,1
Lyndon,,,1,0,0,1
Marlboro,,,1,0,0,1
Marshfield,,,2,0,0,2
Middlebury,,,3,1,0,4
Middlesex,,,2,0,0,2
"Middletown Springs",,,3,0,0,3
Monkton,,,1,0,0,1
Montgomery,,,4,0,0,4
Montpelier,,,7,0,0,7
Moretown,,,1,0,0,1
Morristown,,,1,0,0,1
"Mount Holly",,,2,0,0,2
Newfane,,,2,0,0,2
"Newport City",,,1,0,0,1
Northfield,,,2,0,0,2
Orwell,,,1,0,0,1
Pittsfield,,,2,0,0,2
Pittsford,,,3,0,0,3
Plainfield,,,5,0,0,5
Poultney,,,1,1,0,2
Putney,,,1,1,0,2
Randolph,,,2,0,0,2
Richmond,,,1,0,0,1
Rochester,,,6,3,0,9
Royalton,,,1,0,0,1
Rupert,,,1,0,0,1
"Rutland City",-,"Rutland 5-1",0,0,0,0
"Rutland City",-,"Rutland 5-2",1,0,0,1
"Rutland City",-,"Rutland 5-3",1,0,0,1
"Rutland City",-,"Rutland 5-4",1,0,0,1
"Rutland Town",,,4,0,0,4
Shaftsbury,,,1,0,0,1
Shelburne,-,"Chittenden 5-1",0,1,0,1
Shelburne,-,"Chittenden 5-2",0,0,0,0
Sheldon,,,2,0,0,2
Shrewsbury,,,1,0,0,1
"S. Burlington",-,"Chittenden 3-10",1,0,0,1
"S. Burlington",-,"Chittenden 3-7",2,0,0,2
"S. Burlington",-,"Chittenden 3-8",1,0,0,1
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",2,0,0,2
"St. Johnsbury",,,3,0,0,3
Stamford,,,1,0,0,1
Starksboro,,,1,0,0,1
Stockbridge,,,2,1,0,3
Strafford,,,1,0,0,1
Sudbury,,,0,1,0,1
Thetford,,,2,0,0,2
Townshend,,,3,0,0,3
Tunbridge,,,3,1,0,4
Underhill,,,4,0,0,4
Vergennes,,,1,0,0,1
Vernon,,,1,0,0,1
Vershire,,,1,0,0,1
Wallingford,,,2,0,0,2
Warren,,,3,0,0,3
Washington,,,3,0,0,3
Waterford,,,2,0,0,2
Weathersfield,,,1,1,0,2
"W. Windsor",,,10,0,0,10
Westford,,,2,0,0,2
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",1,0,0,1
Weybridge,,,2,0,0,2
Wheelock,,,0,1,0,1
Williston,,,4,0,0,4
Wilmington,,,2,0,0,2
Wolcott,,,1,1,0,2
Woodbury,,,2,0,0,2
Worcester,,,1,0,0,1
TOTALS,,,261,34,0,295
