City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,31,0,0,31
Albany,,,22,2,0,24
Alburgh,,,38,0,0,38
Andover,,,20,0,0,20
Arlington,,,71,0,0,71
Athens,,,12,1,0,13
Bakersfield,,,39,0,0,39
Baltimore,,,15,0,0,15
Barnard,,,31,1,0,32
Barnet,,,41,0,0,41
"Barre City",-,"Washington 3-1",75,0,0,75
"Barre City",-,"Washington 3-2",41,3,0,44
"Barre City",-,"Washington 3-3",12,0,0,12
"Barre Town",,,144,1,0,145
Barton,,,52,2,0,54
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",143,0,0,143
Bennington,-,"Bennington 2-2",107,0,0,107
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,23,0,0,23
Berkshire,,,42,0,0,42
Berlin,,,60,0,0,60
Bethel,,,78,0,0,78
Bloomfield,,,14,0,0,14
Bolton,,,54,1,0,55
Bradford,,,76,0,0,76
Braintree,,,36,0,0,36
Brandon,,,89,0,0,89
Brattleboro,-,"Windham 3-1",144,0,0,144
Brattleboro,-,"Windham 3-2",151,0,0,151
Brattleboro,-,"Windham 3-3",134,2,0,136
Bridgewater,,,23,0,0,23
Bridport,,,29,0,0,29
Brighton,,,11,1,0,12
Bristol,,,91,0,0,91
Brookfield,,,31,0,0,31
Brookline,,,18,0,0,18
Brownington,,,9,0,0,9
Brunswick,,,2,0,0,2
Burke,,,24,0,0,24
Burlington,-,"Chittenden 3-1",431,0,0,431
Burlington,-,"Chittenden 3-2",210,2,0,212
Burlington,-,"Chittenden 3-3",286,2,0,288
Burlington,-,"Chittenden 3-4",191,2,0,193
Burlington,-,"Chittenden 3-5",831,4,0,835
Burlington,-,"Chittenden 3-6",56,0,0,56
Cabot,,,50,0,0,50
Calais,,,79,0,0,79
Cambridge,,,47,1,0,48
Canaan,,,13,0,0,13
Castleton,,,40,0,0,40
Cavendish,,,42,0,0,42
Charleston,,,19,0,0,19
Charlotte,,,126,1,0,127
Chelsea,,,27,0,0,27
Chester,,,146,0,0,146
Chittenden,,,34,0,0,34
Clarendon,,,92,0,0,92
Colchester,-,"Chittenden 7-1",77,0,0,77
Colchester,-,"Chittenden 7-2",76,1,0,77
Concord,,,35,0,0,35
Corinth,,,60,2,0,62
Cornwall,,,58,1,0,59
Coventry,,,14,0,0,14
Craftsbury,,,56,1,0,57
Danby,,,73,0,0,73
Danville,,,187,0,0,187
Derby,,,76,1,0,77
Dorset,,,58,0,0,58
Dover,,,39,0,0,39
Dummerston,,,278,1,0,279
Duxbury,,,76,2,0,78
"E. Haven",,,8,0,0,8
"E. Montpelier",,,87,2,0,89
Eden,,,15,0,0,15
Elmore,,,37,0,0,37
Enosburgh,,,58,0,0,58
Essex,-,"Chittenden 6-1",109,3,0,112
Essex,-,"Chittenden 6-2",132,0,0,132
Essex,-,"Chittenden 6-3",38,0,0,38
"Fair Haven",,,21,0,0,21
Fairfax,,,80,0,0,80
Fairfield,,,123,1,0,124
Fairlee,,,37,0,0,37
Fayston,,,28,0,0,28
Ferrisburgh,,,73,0,0,73
Fletcher,,,29,0,0,29
Franklin,,,31,0,0,31
Georgia,,,62,0,0,62
Glover,,,45,0,0,45
Goshen,,,17,0,0,17
Grafton,,,24,0,0,24
Granby,,,3,0,0,3
"Grand Isle",,,62,0,0,62
Granville,,,6,0,0,6
Greensboro,,,46,0,0,46
Groton,,,28,1,0,29
Guildhall,,,10,0,0,10
Guilford,,,63,0,0,63
Halifax,,,13,0,0,13
Hancock,,,9,0,0,9
Hardwick,,,50,0,0,50
Hartford,-,"Windsor 6-1",22,0,0,22
Hartford,-,"Windsor 6-2",108,0,0,108
Hartland,,,173,1,0,174
Highgate,,,48,1,0,49
Hinesburg,-,"Chittenden 1-1",138,0,0,138
Hinesburg,-,"Chittenden 1-2",3,0,0,3
Holland,,,9,0,0,9
Hubbardton,,,13,0,0,13
Huntington,,,160,0,0,160
"Hyde Park",,,39,0,0,39
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",15,0,0,15
Irasburg,,,21,0,0,21
"Isle La Motte",,,23,0,0,23
Jamaica,,,29,0,0,29
Jay,,,8,0,0,8
Jericho,,,176,0,0,176
Johnson,,,39,0,0,39
Killington,,,19,0,0,19
Kirby,,,4,0,0,4
Landgrove,,,6,0,0,6
Leicester,,,36,0,0,36
Lincoln,,,78,1,0,79
Londonderry,,,28,0,0,28
Lowell,,,17,0,0,17
Ludlow,,,60,1,0,61
Lunenburg,,,16,0,0,16
Lyndon,,,51,0,0,51
Maidstone,,,5,0,0,5
Manchester,,,82,1,0,83
Marlboro,,,72,0,0,72
Marshfield,,,59,0,0,59
Mendon,,,118,0,0,118
Middlebury,,,147,0,0,147
Middlesex,,,61,0,0,61
"Middletown Springs",,,32,0,0,32
Milton,-,"Chittenden 9",124,1,0,125
Milton,-,"Grand Isle-Chittenden 1-1",24,0,0,24
Monkton,,,45,0,0,45
