City/Town,Ward,Pct,"Eugene J. Bifano",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,34,7,0,41
Albany,,,23,2,0,25
Alburgh,,,13,0,0,13
Andover,,,11,0,0,11
Arlington,,,43,0,0,43
Athens,,,4,0,0,4
Bakersfield,,,29,2,0,31
Baltimore,,,7,1,0,8
Barnard,,,13,1,0,14
Barnet,,,52,2,0,54
"Barre City",-,"Washington 3-1",55,0,0,55
"Barre City",-,"Washington 3-2",25,3,0,28
"Barre City",-,"Washington 3-3",9,0,0,9
"Barre Town",,,71,11,0,82
Barton,,,42,15,0,57
Belvidere,,,5,2,0,7
Bennington,-,"Bennington 2-1",25,3,0,28
Bennington,-,"Bennington 2-2",28,0,0,28
Bennington,-,"Bennington 5",5,0,0,5
Benson,,,15,1,0,16
Berkshire,,,21,4,0,25
Berlin,,,19,4,0,23
Bethel,,,18,6,0,24
Bloomfield,,,10,1,0,11
Bolton,,,11,3,0,14
Bradford,,,42,6,0,48
Braintree,,,32,2,0,34
Brandon,,,78,2,0,80
Brattleboro,-,"Windham 3-1",23,4,0,27
Brattleboro,-,"Windham 3-2",11,4,0,15
Brattleboro,-,"Windham 3-3",0,2,0,2
Bridgewater,,,14,2,0,16
Bridport,,,35,1,0,36
Brighton,,,28,1,0,29
Bristol,,,36,2,0,38
Brookfield,,,28,2,0,30
Brookline,,,10,1,0,11
Brownington,,,11,3,0,14
Brunswick,,,5,2,0,7
Burke,,,31,1,0,32
Burlington,-,"Chittenden 3-1",118,2,0,120
Burlington,-,"Chittenden 3-2",35,3,0,38
Burlington,-,"Chittenden 3-3",30,0,0,30
Burlington,-,"Chittenden 3-4",9,0,0,9
Burlington,-,"Chittenden 3-5",51,5,0,56
Burlington,-,"Chittenden 3-6",3,0,0,3
Cabot,,,12,1,0,13
Calais,,,15,0,0,15
Cambridge,,,26,3,0,29
Canaan,,,30,3,0,33
Castleton,,,26,0,0,26
Cavendish,,,17,2,0,19
Charleston,,,10,1,0,11
Charlotte,,,17,1,0,18
Chelsea,,,18,3,0,21
Chester,,,58,4,0,62
