City/Town,Ward,Pct,"Doug Racine","Virginia Lyons","Edward Flanagan","Hinda Miller","Tim Ashe","Denise Begins Barnard","Tim Palmer","Dennis McMahon","Sean Starfighter",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,,,
Bolton,,,50,46,41,37,17,47,22,19,10,1,0,290
Burlington,-,"Chittenden 3-1",389,334,361,266,313,175,184,171,94,4,0,"2,291"
Burlington,-,"Chittenden 3-2",170,150,162,120,154,85,103,82,51,4,0,"1,081"
Burlington,-,"Chittenden 3-3",220,207,223,176,243,104,121,96,80,7,0,"1,477"
Burlington,-,"Chittenden 3-4",166,154,153,133,145,90,84,76,45,1,0,"1,047"
Burlington,-,"Chittenden 3-5",724,691,660,586,610,340,344,230,154,3,0,"4,342"
Burlington,-,"Chittenden 3-6",55,45,50,34,35,21,20,20,9,1,0,290
Charlotte,,,125,114,113,107,51,82,78,27,16,0,0,713
Essex,-,"Chittenden 6-1",103,94,87,63,56,57,46,31,20,5,0,562
Essex,-,"Chittenden 6-2",120,117,106,94,59,75,54,41,20,0,0,686
Essex,-,"Chittenden 6-3",40,37,28,25,21,26,22,15,3,0,0,217
Hinesburg,-,"Chittenden 1-1",129,125,118,102,84,84,75,17,23,0,0,757
Hinesburg,-,"Chittenden 1-2",2,2,2,2,3,1,2,1,0,0,0,15
Huntington,,,152,137,114,117,67,136,54,24,39,0,0,840
Jericho,,,165,154,127,111,71,121,78,32,20,3,0,882
Milton,-,"Fire Station",22,21,22,16,14,12,11,9,9,2,0,138
Milton,-,"Mun. Complex",114,100,100,82,53,65,44,53,33,0,0,644
Richmond,,,282,246,213,194,118,291,155,42,32,7,0,"1,580"
Shelburne,-,"Chittenden 5-1",196,191,157,166,120,111,114,52,37,4,0,"1,148"
Shelburne,-,"Chittenden 5-2",86,83,71,72,45,62,37,23,22,2,0,503
"S. Burlington",-,"Chamberlain Sch",133,109,114,98,71,76,54,52,32,5,0,744
"S. Burlington",-,"Chittenden 3-10",124,112,109,98,86,69,59,44,26,1,0,728
"S. Burlington",-,"Chittenden 3-8",184,161,149,150,86,124,88,54,34,1,0,"1,031"
"S. Burlington",-,"Orchard Sch",153,150,148,124,96,90,77,52,26,1,0,917
"St. George",,,18,18,15,14,7,9,9,0,3,1,0,94
Underhill,,,130,127,117,99,51,93,67,33,26,2,0,745
Westford,,,43,42,37,34,24,26,21,12,9,1,0,249
Williston,,,171,182,151,118,88,116,129,39,21,2,0,"1,017"
Winooski,,,92,80,75,70,64,52,49,26,18,2,0,528
TOTALS,,,"4,358","4,029","3,823","3,308","2,852","2,640","2,201","1,373",912,60,0,"25,556"
