City/Town,Ward,Pct,"Robert A. Starr",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,22,5,0,27
Barton,,,51,13,0,64
Bloomfield,,,12,1,0,13
Brighton,,,8,2,0,10
Brownington,,,8,2,0,10
Brunswick,,,2,0,0,2
Canaan,,,13,2,0,15
Charleston,,,13,1,0,14
Concord,,,23,5,0,28
Coventry,,,12,2,0,14
Craftsbury,,,53,5,0,58
Derby,,,68,11,0,79
"E. Haven",,,8,0,0,8
Eden,,,15,3,0,18
Glover,,,43,6,0,49
Granby,,,3,0,0,3
Greensboro,,,39,4,0,43
Guildhall,,,5,2,0,7
Holland,,,7,2,0,9
Irasburg,,,19,5,0,24
Jay,,,9,1,0,10
Lowell,,,18,2,0,20
Lunenburg,,,10,5,0,15
Maidstone,,,4,0,0,4
Montgomery,,,25,1,0,26
Morgan,,,21,1,0,22
"Newport City",,,61,9,0,70
"Newport Town",,,28,5,0,33
Norton,,,4,2,0,6
Richford,,,47,5,0,52
Troy,,,24,0,0,24
Victory,,,3,0,0,3
Westfield,,,13,2,0,15
Westmore,,,12,2,0,14
Wolcott,,,45,6,0,51
TOTALS,,,748,112,0,860
