City/Town,Ward,Pct,"Sara Branon Kittell","Donald Collins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,33,34,1,0,68
Bakersfield,,,34,27,0,0,61
Berkshire,,,33,32,4,0,69
Enosburgh,,,50,40,6,0,96
Fairfax,,,76,75,0,0,151
Fairfield,,,97,91,22,0,210
Fletcher,,,26,21,0,0,47
Franklin,,,31,28,5,0,64
Georgia,,,60,50,3,0,113
Highgate,,,26,34,16,0,76
Sheldon,,,26,30,12,0,68
"St. Albans City",,,106,98,5,0,209
"St. Albans Town",,,156,134,18,0,308
Swanton,,,88,105,17,0,210
TOTALS,,,842,799,109,0,"1,750"
