City/Town,Ward,Pct,"Ann Cummings","Kimberly B. Cheney","Laura Day Moore",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",-,"Washington 3-1",66,62,56,2,0,186
"Barre City",-,"Washington 3-2",35,32,30,7,0,104
"Barre City",-,"Washington 3-3",9,10,9,2,0,30
"Barre Town",,,131,107,121,8,0,367
Berlin,,,56,50,46,3,0,155
Cabot,,,52,40,37,0,0,129
Calais,,,74,66,55,1,0,196
Duxbury,,,68,63,52,11,0,194
"E. Montpelier",,,87,70,61,6,0,224
Fayston,,,27,22,23,0,0,72
Marshfield,,,52,44,40,2,0,138
Middlesex,,,54,51,40,3,0,148
Montpelier,,,"1,013",800,667,36,0,"2,516"
Moretown,,,41,36,28,0,0,105
Northfield,,,121,101,86,9,0,317
Plainfield,,,49,47,38,1,0,135
Roxbury,,,27,17,17,2,0,63
Waitsfield,,,68,68,59,0,0,195
Warren,,,43,42,31,2,0,118
Waterbury,,,294,255,226,10,0,785
Woodbury,,,43,37,30,7,0,117
Worcester,,,49,44,37,0,0,130
TOTALS,,,"2,459","2,064","1,789",112,0,"6,424"
