City/Town,Ward,Pct,"John S. Hall","John R. Kascenska, II","James E. Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Barnet,,,61,33,14,3,0,111
Bradford,,,39,17,26,14,0,96
Burke,,,25,22,25,1,0,73
Danville,,,93,27,32,6,0,158
Fairlee,,,28,6,13,5,0,52
Groton,,,41,11,24,1,0,77
Hardwick,,,23,8,12,1,0,44
Kirby,,,15,11,8,1,0,35
Lyndon,,,73,78,47,1,0,199
Newark,,,11,11,26,0,0,48
Newbury,-,"Center Town House",36,12,19,2,0,69
Newbury,-,"Town Office",20,4,11,2,0,37
Newbury,-,"West River Village",12,6,7,1,0,26
Orange,,,17,6,7,3,0,33
Peacham,,,25,5,7,0,0,37
Ryegate,,,29,13,11,2,0,55
Sheffield,,,11,10,5,1,0,27
"St. Johnsbury",,,268,137,107,6,0,518
Stannard,,,2,4,1,1,0,8
Sutton,,,20,12,15,3,0,50
Topsham,,,27,6,20,0,0,53
Walden,,,20,8,3,0,0,31
Waterford,,,38,20,16,0,0,74
"W. Fairlee",,,9,1,2,0,0,12
Wheelock,,,12,20,2,0,0,34
TOTALS,,,955,488,460,54,0,"1,957"
