City/Town,Ward,Pct,"Diane B. Snelling",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bolton,,,14,11,0,25
Burlington,-,"Chittenden 3-1",135,16,0,151
Burlington,-,"Chittenden 3-2",41,13,0,54
Burlington,-,"Chittenden 3-3",36,14,0,50
Burlington,-,"Chittenden 3-4",13,7,0,20
Burlington,-,"Chittenden 3-5",68,58,0,126
Burlington,-,"Chittenden 3-6",4,1,0,5
Charlotte,,,21,8,0,29
Essex,-,"Chittenden 6-1",43,21,0,64
Essex,-,"Chittenden 6-2",53,29,0,82
Essex,-,"Chittenden 6-3",11,10,0,21
Hinesburg,-,"Chittenden 1-1",39,52,0,91
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Huntington,,,23,26,0,49
Jericho,,,57,94,0,151
Milton,-,"Fire Station",26,0,0,26
Milton,-,"Mun. Complex",148,62,0,210
Richmond,,,91,199,0,290
Shelburne,-,"Chittenden 5-1",93,45,0,138
Shelburne,-,"Chittenden 5-2",43,51,0,94
"S. Burlington",-,"Chamberlain Sch",60,39,0,99
"S. Burlington",-,"Chittenden 3-10",47,30,0,77
"S. Burlington",-,"Chittenden 3-8",57,32,0,89
"S. Burlington",-,"Orchard Sch",72,48,0,120
"St. George",,,6,1,0,7
Underhill,,,32,23,0,55
Westford,,,23,13,0,36
Williston,,,51,42,0,93
Winooski,,,26,28,0,54
TOTALS,,,"1,334",973,0,"2,307"
