City/Town,Ward,Pct,"Vincent Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,27,3,0,30
Barton,,,60,17,0,77
Bloomfield,,,13,1,0,14
Brighton,,,31,1,0,32
Brownington,,,14,0,0,14
Brunswick,,,11,4,0,15
Canaan,,,48,4,0,52
Charleston,,,17,4,0,21
Concord,,,102,1,0,103
Coventry,,,54,4,0,58
Craftsbury,,,19,6,0,25
Derby,,,69,18,0,87
"E. Haven",,,9,0,0,9
Eden,,,4,2,0,6
Glover,,,40,17,0,57
Granby,,,14,0,0,14
Greensboro,,,14,0,0,14
Guildhall,,,26,6,0,32
Holland,,,13,3,0,16
Irasburg,,,34,7,0,41
Jay,,,7,2,0,9
Lemington,,,4,0,0,4
Lowell,,,23,2,0,25
Lunenburg,,,104,11,0,115
Maidstone,,,21,2,0,23
Montgomery,,,3,0,0,3
Morgan,,,14,1,0,15
"Newport City",,,133,22,0,155
"Newport Town",,,35,13,0,48
Norton,,,14,3,0,17
Richford,,,26,3,0,29
Troy,,,13,4,0,17
Victory,,,3,0,0,3
Westfield,,,17,6,0,23
Westmore,,,3,1,0,4
Wolcott,,,17,2,0,19
TOTALS,,,"1,056",170,0,"1,226"
