City/Town,Ward,Pct,"Kevin J. Mullin","Hull Maynard","Gregory J. Decker",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,15,18,13,2,0,48
Castleton,,,30,30,25,0,0,85
Chittenden,,,22,23,21,0,0,66
Clarendon,,,55,51,45,1,0,152
Danby,,,74,75,63,5,0,217
"Fair Haven",,,31,27,26,0,0,84
Hubbardton,,,12,9,8,2,0,31
Ira,-,"Rutland 1-1",0,0,0,0,0,0
Ira,-,"Rutland 1-2",14,14,10,0,0,38
Killington,,,15,14,11,0,0,40
Mendon,,,148,158,129,1,0,436
"Middletown Springs",,,12,12,10,0,0,34
"Mount Holly",,,21,26,23,4,0,74
"Mount Tabor",,,0,2,1,1,0,4
Pawlet,,,18,20,15,1,0,54
Pittsfield,,,21,22,16,3,0,62
Pittsford,,,30,32,26,6,0,94
Poultney,,,40,42,34,0,0,116
Proctor,,,16,11,11,2,0,40
"Rutland City",-,"American Legion",32,31,23,2,0,88
"Rutland City",-,"Cal. Bib. Church",47,50,40,3,0,140
"Rutland City",-,"Christ King Sch",70,57,49,2,0,178
"Rutland City",-,"Godnick Adlt Ctr",66,57,40,2,0,165
"Rutland Town",-,"Elementary Sch",570,492,406,15,0,"1,483"
"Rutland Town",-,"Town Office",0,0,0,0,0,0
Shrewsbury,,,43,52,35,0,0,130
Sudbury,,,10,11,9,3,0,33
Tinmouth,,,36,44,31,0,0,111
Wallingford,,,52,56,43,1,0,152
Wells,,,22,20,21,0,0,63
"W. Haven",,,8,9,7,1,0,25
"W. Rutland",,,44,46,41,0,0,131
TOTALS,,,"1,574","1,511","1,232",57,0,"4,374"
