City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Athens,,,-,3,0,3
Brattleboro,-,"Windham 3-1",-,6,0,6
Brattleboro,-,"Windham 3-2",-,2,0,2
Brattleboro,-,"Windham 3-3",-,2,0,2
Dummerston,,,-,9,0,9
Grafton,,,-,3,0,3
Guilford,,,-,2,0,2
Jamaica,,,-,6,0,6
Londonderry,,,-,7,0,7
Marlboro,,,-,2,0,2
Putney,,,-,3,0,3
Rockingham,,,-,8,0,8
Townshend,,,-,1,0,1
Vernon,,,-,14,0,14
Westminster,-,"Windham 4",-,0,0,0
Westminster,-,"Windham 5",-,2,0,2
Whitingham,,,-,1,0,1
TOTALS,,,-,71,0,71
