City/Town,Ward,Pct,"Thomas M. Salmon","Doug Hoffer","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic/Progressive,"Liberty Union"
Addison,,,423,180,8,0,0,611
Albany,,,219,151,9,0,0,379
Alburgh,,,424,284,24,0,0,732
Andover,,,123,97,4,0,0,224
Arlington,,,477,442,41,0,0,960
Athens,,,63,34,8,0,0,105
Bakersfield,,,309,185,11,0,0,505
Baltimore,,,50,32,2,0,0,84
Barnard,,,229,179,10,0,0,418
Barnet,,,453,272,11,0,0,736
"Barre City",-,"Washington 3-1",772,526,28,0,0,"1,326"
"Barre City",-,"Washington 3-2",611,470,21,0,0,"1,102"
"Barre City",-,"Washington 3-3",121,97,2,0,0,220
"Barre Town",,,"2,236","1,004",43,0,0,"3,283"
Barton,,,541,244,24,0,0,809
Belvidere,,,77,38,6,0,0,121
Bennington,-,"Bennington 2-1","1,067","1,368",132,0,0,"2,567"
Bennington,-,"Bennington 2-2","1,022","1,096",133,0,0,"2,251"
Benson,,,212,136,16,0,0,364
Berkshire,,,276,144,7,0,0,427
Berlin,,,622,431,22,0,0,"1,075"
Bethel,,,390,347,25,0,0,762
Bloomfield,,,41,36,1,0,0,78
Bolton,,,246,239,10,0,0,495
Bradford,,,501,392,23,0,0,916
Braintree,,,268,209,8,0,0,485
Brandon,,,751,605,23,0,0,"1,379"
Brattleboro,-,"Windham 3-1",659,878,120,0,0,"1,657"
Brattleboro,-,"Windham 3-2",385,740,131,0,0,"1,256"
Brattleboro,-,"Windham 3-3",312,824,120,0,0,"1,256"
Bridgewater,,,215,151,6,0,0,372
Bridport,,,351,176,8,0,0,535
Brighton,,,299,141,14,0,0,454
Bristol,,,774,727,33,0,0,"1,534"
Brookfield,,,268,276,17,0,0,561
Brookline,,,88,101,10,0,0,199
Brownington,,,193,102,4,0,0,299
Brunswick,,,30,16,1,0,0,47
Burke,,,385,194,6,0,0,585
Burlington,-,"Chittenden 3-1","1,359","1,504",31,0,0,"2,894"
Burlington,-,"Chittenden 3-2",658,929,21,0,0,"1,608"
Burlington,-,"Chittenden 3-3",416,"1,710",52,0,0,"2,178"
Burlington,-,"Chittenden 3-4",343,"1,348",38,0,0,"1,729"
Burlington,-,"Chittenden 3-5",914,"2,439",38,0,0,"3,391"
Burlington,-,"Chittenden 3-6",95,307,7,0,0,409
Cabot,,,277,302,10,0,0,589
Calais,,,311,507,7,0,0,825
Cambridge,,,737,644,44,0,0,"1,425"
Canaan,,,188,92,5,0,0,285
Castleton,,,761,399,36,0,0,"1,196"
Cavendish,,,298,196,17,0,0,511
Charleston,,,216,126,11,0,0,353
Charlotte,,,870,"1,005",23,0,0,"1,898"
Chelsea,,,334,172,18,0,0,524
Chester,,,596,544,37,0,0,"1,177"
Chittenden,,,315,211,15,0,0,541
Clarendon,,,635,269,20,0,0,924
Colchester,-,"Chittenden 7-1","1,421","1,059",34,0,0,"2,514"
Colchester,-,"Chittenden 7-2","1,805","1,258",44,0,0,"3,107"
Concord,,,295,85,8,0,0,388
Corinth,,,225,233,50,0,0,508
Cornwall,,,266,327,3,0,0,596
Coventry,,,228,121,11,0,0,360
Craftsbury,,,251,247,15,0,0,513
Danby,,,290,197,21,0,0,508
Danville,,,657,341,11,0,0,"1,009"
Derby,,,"1,175",507,32,0,0,"1,714"
Dorset,,,479,377,20,0,0,876
Dover,,,304,167,45,0,41,557
Dummerston,,,357,520,38,0,33,948
Duxbury,,,287,301,15,1,33,637
"E. Haven",,,71,42,5,1,9,128
"E. Montpelier",,,557,706,11,1,55,"1,330"
Eden,,,221,108,13,1,17,360
Elmore,,,206,213,7,0,18,444
Enosburgh,,,608,363,27,2,60,"1,060"
Essex,-,"Chittenden 6-1","1,910","1,304",33,1,190,"3,438"
Essex,-,"Chittenden 6-2","2,154","1,529",47,1,198,"3,929"
Essex,-,"Chittenden 6-3",642,468,5,2,58,"1,175"
"Fair Haven",,,551,264,21,1,33,870
Fairfax,,,971,661,35,1,90,"1,758"
Fairfield,,,453,284,10,1,39,787
Fairlee,,,172,190,9,0,20,391
Fayston,,,268,315,6,1,42,632
Ferrisburgh,,,654,515,40,0,58,"1,267"
Fletcher,,,242,221,9,0,29,501
Franklin,,,334,142,7,1,16,500
Georgia,,,"1,132",560,36,1,70,"1,799"
Glover,,,279,196,10,1,18,504
Goshen,,,40,49,2,0,2,93
Grafton,,,158,116,13,0,19,306
Granby,,,28,7,0,0,6,41
"Grand Isle",,,571,392,19,0,37,"1,019"
Granville,,,50,67,3,0,12,132
Greensboro,,,153,181,8,0,13,355
Groton,,,251,95,5,0,28,379
Guildhall,,,79,42,1,0,18,140
Guilford,,,302,467,69,1,39,878
Halifax,,,129,144,17,0,18,308
Hancock,,,69,62,6,0,5,142
Hardwick,,,617,463,26,0,71,"1,177"
Hartford,-,"Windsor 6-1",422,330,10,0,49,811
Hartford,-,"Windsor 6-2","1,137","1,195",56,2,139,"2,529"
Hartland,,,658,675,51,0,103,"1,487"
Highgate,,,624,319,32,2,34,"1,011"
Hinesburg,-,"Chittenden 1-1",827,922,33,1,119,"1,902"
Hinesburg,-,"Chittenden 1-2",40,46,2,0,4,92
Holland,,,132,71,12,0,10,225
Hubbardton,,,157,94,9,0,11,271
Huntington,,,363,535,17,1,50,966
"Hyde Park",,,651,471,19,0,40,"1,181"
Ira,-,"Rutland 1-1",18,7,0,0,1,26
Ira,-,"Rutland 1-2",94,66,4,0,9,173
Irasburg,,,283,124,7,0,15,429
"Isle La Motte",,,159,102,6,0,8,275
Jamaica,,,173,159,29,0,21,382
Jay,,,86,58,0,0,13,157
Jericho,,,"1,228","1,188",33,0,146,"2,595"
Johnson,,,463,438,23,0,43,967
Killington,,,276,140,12,0,43,471
Kirby,,,124,74,2,0,11,211
Landgrove,,,41,46,2,0,3,92
Leicester,,,220,161,9,0,13,403
Lemington,,,29,9,0,0,1,39
Lincoln,,,262,394,8,0,31,695
Londonderry,,,376,267,26,0,41,710
Lowell,,,180,89,10,0,26,305
Ludlow,,,514,320,19,0,58,911
Lunenburg,,,308,125,10,0,33,476
Lyndon,,,"1,149",444,26,0,57,"1,676"
Maidstone,,,68,20,2,1,12,103
Manchester,,,924,637,40,2,110,"1,713"
Marlboro,,,111,275,51,0,36,473
Marshfield,,,328,375,20,0,24,747
Mendon,,,293,167,11,2,24,497
Middlebury,,,958,"1,595",35,5,124,"2,717"
Middlesex,,,330,519,13,0,39,901
"Middletown Springs",,,170,194,9,0,24,397
Milton,-,"Chittenden 9","1,967","1,006",54,2,191,"3,220"
Milton,-,"Grand Isle-Chittenden 1-1",322,170,11,0,27,530
Monkton,,,428,458,8,0,45,939
Montgomery,,,212,234,17,0,29,492
Montpelier,,,"1,120","2,559",63,2,3,"3,747"
Moretown,,,384,399,17,0,42,842
Morgan,,,216,73,2,0,10,301
Morristown,,,"1,075",859,41,3,105,"2,083"
"Mount Holly",,,334,245,12,0,35,626
"Mount Tabor",,,32,30,1,0,1,64
"New Haven",,,444,363,17,0,23,847
Newark,,,33,173,9,0,8,223
Newbury,,,452,315,18,0,51,836
Newfane,,,273,439,43,0,59,814
"Newport City",,,750,430,22,0,54,"1,256"
"Newport Town",,,335,143,18,1,22,519
"N. Hero",,,306,174,7,0,11,498
Northfield,,,923,655,44,1,90,"1,713"
Norton,,,57,14,0,0,2,73
Norwich,,,391,"1,180",30,1,164,"1,766"
Orange,,,286,121,11,0,17,435
Orwell,,,341,185,11,1,25,563
Panton,,,156,102,6,0,14,278
Pawlet,,,279,234,15,0,36,564
Peacham,,,180,201,4,0,25,410
Peru,,,69,71,3,0,10,153
Pittsfield,,,135,88,4,0,8,235
Pittsford,,,709,399,20,0,58,"1,186"
Plainfield,,,221,350,15,0,20,606
Plymouth,,,151,99,5,0,14,269
Pomfret,,,202,240,12,0,23,477
Poultney,,,562,424,24,3,43,"1,056"
Pownal,,,502,534,75,0,82,"1,193"
Proctor,,,358,232,13,0,32,635
Putney,,,262,692,69,0,65,"1,088"
Randolph,,,902,802,54,1,77,"1,836"
Reading,,,161,157,16,0,23,357
