City/Town,Ward,Pct,"William H. Sorrell","Aaron Michael Toscano","Charlotte Dennett","Karen Kerin","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,Libertarian,"Liberty Union"
Addison,,,338,265,8,5,2,0,0,618
Albany,,,228,118,25,8,6,0,0,385
Alburgh,,,419,251,26,27,7,0,0,730
Andover,,,107,99,7,7,3,0,0,223
Arlington,,,507,335,34,21,55,0,0,952
Athens,,,44,46,6,4,4,0,0,104
Bakersfield,,,313,136,36,15,4,0,0,504
Baltimore,,,38,36,3,5,1,0,0,83
Barnard,,,251,128,14,19,4,0,0,416
Barnet,,,385,276,35,25,7,0,0,728
"Barre City",-,"Washington 3-1",784,412,45,42,23,0,0,"1,306"
"Barre City",-,"Washington 3-2",671,319,38,61,7,0,0,"1,096"
"Barre City",-,"Washington 3-3",124,67,8,14,4,0,0,217
"Barre Town",,,"1,796","1,296",58,103,21,0,0,"3,274"
Barton,,,478,273,23,22,15,0,0,811
Belvidere,,,64,43,4,6,3,0,0,120
Bennington,-,"Bennington 2-1","1,535",646,81,59,273,0,0,"2,594"
Bennington,-,"Bennington 2-2","1,254",613,69,56,256,0,0,"2,248"
Benson,,,176,152,14,16,6,0,0,364
Berkshire,,,248,150,21,6,5,0,0,430
Berlin,,,668,295,41,49,6,0,0,"1,059"
Bethel,,,461,218,19,46,8,0,0,752
Bloomfield,,,38,31,2,4,2,0,0,77
Bolton,,,325,132,21,13,5,0,0,496
Bradford,,,506,332,35,35,17,0,0,925
Braintree,,,283,149,16,31,2,0,0,481
Brandon,,,815,455,39,51,16,0,0,"1,376"
Brattleboro,-,"Windham 3-1","1,119",340,113,30,23,0,0,"1,625"
Brattleboro,-,"Windham 3-2",867,198,125,33,24,0,0,"1,247"
Brattleboro,-,"Windham 3-3",862,179,148,17,41,0,0,"1,247"
Bridgewater,,,184,143,12,24,6,0,0,369
Bridport,,,305,183,28,20,7,0,0,543
Brighton,,,228,169,22,18,11,0,0,448
Bristol,,,998,401,73,38,24,0,0,"1,534"
Brookfield,,,338,159,22,37,8,0,0,564
Brookline,,,100,70,13,5,7,0,0,195
Brownington,,,146,126,9,5,8,0,0,294
Brunswick,,,22,13,2,4,1,0,0,42
Burke,,,319,224,20,9,2,0,0,574
Burlington,-,"Chittenden 3-1","2,103",625,115,43,19,0,0,"2,905"
Burlington,-,"Chittenden 3-2","1,138",317,118,22,10,0,0,"1,605"
Burlington,-,"Chittenden 3-3","1,565",199,298,71,29,0,0,"2,162"
Burlington,-,"Chittenden 3-4","1,249",171,228,55,20,0,0,"1,723"
Burlington,-,"Chittenden 3-5","2,621",419,271,57,25,0,0,"3,393"
Burlington,-,"Chittenden 3-6",313,45,35,11,3,0,0,407
Cabot,,,359,160,47,22,3,0,0,591
Calais,,,546,160,79,19,16,0,0,820
Cambridge,,,895,340,161,28,14,0,0,"1,438"
Canaan,,,146,106,11,10,7,0,0,280
Castleton,,,565,562,37,27,18,0,0,"1,209"
Cavendish,,,253,207,15,15,11,0,0,501
Charleston,,,189,117,17,14,8,0,0,345
Charlotte,,,"1,288",491,82,36,15,0,0,"1,912"
Chelsea,,,278,195,15,26,8,0,0,522
Chester,,,688,368,53,35,19,0,0,"1,163"
Chittenden,,,274,224,20,19,5,0,0,542
Clarendon,,,412,436,29,29,18,0,0,924
Colchester,-,"Chittenden 7-1","1,715",682,78,62,10,0,0,"2,547"
Colchester,-,"Chittenden 7-2","2,024",926,78,65,25,0,0,"3,118"
Concord,,,192,155,10,19,9,0,0,385
Corinth,,,263,182,28,19,6,0,0,498
Cornwall,,,413,164,11,7,3,0,0,598
Coventry,,,217,100,18,16,11,0,0,362
Craftsbury,,,348,95,41,18,3,0,0,505
Danby,,,253,197,23,22,14,0,0,509
Danville,,,554,376,30,23,9,0,0,992
Derby,,,"1,021",580,52,40,29,0,0,"1,722"
Dorset,,,480,339,22,13,23,0,0,877
Dover,,,215,248,17,10,24,0,0,514
Dummerston,,,629,187,48,14,13,0,0,891
Duxbury,,,402,150,29,11,10,0,0,602
"E. Haven",,,58,39,9,10,2,0,0,118
"E. Montpelier",,,887,286,71,20,5,0,0,"1,269"
Eden,,,200,99,24,13,3,0,0,339
Elmore,,,301,95,18,4,3,0,0,421
Enosburgh,,,620,273,64,26,9,0,0,992
Essex,-,"Chittenden 6-1","2,049","1,078",82,68,13,0,0,"3,290"
Essex,-,"Chittenden 6-2","2,407","1,155",93,52,20,0,0,"3,727"
Essex,-,"Chittenden 6-3",704,358,40,14,7,0,0,"1,123"
"Fair Haven",,,421,351,19,35,9,0,0,835
Fairfax,,,"1,010",529,77,43,13,0,0,"1,672"
Fairfield,,,520,175,27,12,9,0,0,743
Fairlee,,,232,105,18,12,6,0,0,373
Fayston,,,378,153,33,16,7,0,0,587
Ferrisburgh,,,754,382,39,21,5,0,0,"1,201"
Fletcher,,,292,133,41,12,6,0,0,484
Franklin,,,269,183,18,12,3,0,0,485
Georgia,,,981,650,49,31,18,0,0,"1,729"
Glover,,,282,139,39,9,7,0,0,476
Goshen,,,59,23,5,3,1,0,0,91
Grafton,,,158,97,13,11,4,0,0,283
